Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1991-08-13 00:00:00,0.2532,25.1471,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2533,25.1519,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2538,25.1511,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2539,25.1527,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2549,25.1472,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2552,25.1527,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2561,25.1479,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2574,25.1505,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2577,25.1453,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2587,25.1484,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.26,25.1478,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2613,25.1479,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2613,25.1438,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2625,25.1484,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2637,25.1517,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2649,25.1509,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2659,25.1504,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.266,25.1466,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2672,25.1484,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2683,25.1522,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2694,25.1501,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2705,25.1477,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2715,25.1486,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2716,25.1534,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2725,25.149,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2734,25.1487,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2743,25.1483,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.275,25.149,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2757,25.1493,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2763,25.1476,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2769,25.1477,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2773,25.1476,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2776,25.1465,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2779,25.1476,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2781,25.1486,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2782,25.1467,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2783,25.1486,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2783,25.1471,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2783,25.1522,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2784,25.1476,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2784,25.1483,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2859,25.1514,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.2943,25.1503,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.3034,25.1505,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.313,25.1515,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.3232,25.15,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.3338,25.1482,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.3449,25.1493,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.3563,25.1508,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.3683,25.1506,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.3809,25.1471,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.3942,25.1447,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.4083,25.1473,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.4231,25.1486,N
