Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.2917,42920.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.2958,42927.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.3016,42923.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.3095,42915.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.3193,42915.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.3312,42926.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.3451,42938.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.3608,42939.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.3783,42932.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.3979,42925.00000000001,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.4193,42920.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.4426,42914.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.4674,42914.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.4936,42919.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.5212,42926.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.5497,42929.00000000001,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.5794,42928.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.6099,42932.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.6411,42939.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.6729,42942.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.7049,42938.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.7373,42933.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.7696,42928.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.8019,42930.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.8338,42938.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.8653,42934.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.8961,42922.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.9266,42920.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.9567,42933.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,0.9862,42944.00000000001,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.0153,42945.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.0439,42939.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.0718,42933.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.0993,42931.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.1263,42932.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.1526,42931.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.1783,42932.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.2036,42936.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.2284,42939.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.2529,42939.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.2769,42939.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.3006,42936.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.3239,42936.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.3473,42938.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.3705,42939.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.3939,42939.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.4172,42941.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.4408,42942.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.4644,42942.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.4881,42943.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.5122,42945.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.5364,42948.00000000001,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.5609,42949.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.5855,42950.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.6105,42954.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.6355,42956.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.6608,42955.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.6863,42956.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.712,42956.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.7377,42953.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.7636,42951.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.7895,42955.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.8154,42958.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.8412,42958.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.867,42957.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.8928,42958.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.9187,42962.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.9446,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.9705,42961.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,1.9964,42960.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.0222,42962.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.0481,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.0738,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.0997,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.1255,42960.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.1513,42958.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.1769,42961.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.2027,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.2285,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.2544,42962.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.2802,42962.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.3062,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.3323,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.3587,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.3851,42961.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.4116,42960.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.4383,42961.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.4653,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.4923,42966.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.5196,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.5467,42962.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.5737,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.6004,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.6271,42960.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.6533,42960.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.6794,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.7052,42966.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.7309,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.7565,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.7818,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.807,42962.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.8321,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.8575,42966.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.8828,42966.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.908,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.9334,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.9589,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,2.9845,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.0102,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.0362,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.0624,42962.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.0889,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.1158,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.1429,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.1701,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.1977,42967.00000000001,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.2255,42967.00000000001,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.2533,42966.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.2815,42967.00000000001,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.3096,42968.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.3377,42967.00000000001,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.3657,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.3935,42962.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.4211,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.4487,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.4763,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.5039,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.5314,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.559,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.5867,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.6143,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.6421,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.67,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.6982,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.7265,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.7548,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.7833,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.8117,42962.99999999999,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.8401,42964.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.8685,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.897,42965.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.9255,42966.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.954,42966.0,N
CONDUCTIVITY (sm),1991-08-20 00:00:00,3.9827,42965.0,N
