Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-13 00:00:00,0.1917,16.8941,N
TEMPERATURE (C),1991-08-13 00:00:00,0.192,16.8953,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1924,16.895,N
TEMPERATURE (C),1991-08-13 00:00:00,0.193,16.897,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1936,16.8981,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1944,16.8978,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1952,16.8988,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1961,16.8997,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1971,16.8998,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1981,16.9007,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1991,16.9015,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2002,16.9018,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2012,16.9008,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2023,16.9004,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2035,16.9014,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2047,16.9012,N
TEMPERATURE (C),1991-08-13 00:00:00,0.206,16.9019,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2076,16.9023,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2094,16.9017,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2116,16.9039,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2143,16.9023,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2177,16.8989,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2218,16.9031,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2268,16.9042,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2327,16.8999,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2395,16.901,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2474,16.9015,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2563,16.8993,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2663,16.9002,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2773,16.8993,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2894,16.8971,N
TEMPERATURE (C),1991-08-13 00:00:00,0.3024,16.8963,N
TEMPERATURE (C),1991-08-13 00:00:00,0.3161,16.8926,N
TEMPERATURE (C),1991-08-13 00:00:00,0.3304,16.8915,N
TEMPERATURE (C),1991-08-13 00:00:00,0.345,16.8966,N
TEMPERATURE (C),1991-08-13 00:00:00,0.3599,16.8974,N
