Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1991-08-13 00:00:00,0.3519,0.0678,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3535,0.0993,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3558,0.1316,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3588,0.1646,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3624,0.1989,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3667,0.2353,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3668,0.1118,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3696,0.1625,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3717,0.2751,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3733,0.2152,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3776,0.3184,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3781,0.2694,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3841,0.3234,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3844,0.364,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3911,0.3762,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3921,0.4112,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.3991,0.4283,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4009,0.4583,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4082,0.4796,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4105,0.5023,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4184,0.5281,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4211,0.5411,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4294,0.573,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4323,0.5737,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4414,0.6153,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4441,0.6004,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4541,0.6568,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4564,0.6225,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4676,0.6996,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4691,0.6402,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.482,0.7436,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4821,0.6535,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4953,0.6638,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.4974,0.7859,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.5087,0.6721,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.5135,0.8242,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.5222,0.6781,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.5304,0.8581,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.5359,0.6819,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.548,0.8868,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.5495,0.6839,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.5632,0.685,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.566,0.9095,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.5769,0.6863,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.5845,0.9266,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.5907,0.6888,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6032,0.9383,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6045,0.6927,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6183,0.6983,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6221,0.945,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6323,0.7053,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6411,0.9465,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6465,0.7125,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.66,0.9427,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6609,0.7191,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6753,0.7253,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6789,0.9346,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6899,0.731,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.6975,0.9236,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.7046,0.7349,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.7159,0.9103,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.7193,0.7367,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.7339,0.8951,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.7341,0.7369,N
VELOCITY (ms-1),1991-08-13 00:00:00,0.7488,0.7352,N
