Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-12 00:00:00,0.217,0.0393,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2179,0.057,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2193,0.0749,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2209,0.0928,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.223,0.1109,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2254,0.1293,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2281,0.1478,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2313,0.1668,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2348,0.1872,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2387,0.2084,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2431,0.2297,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2479,0.2511,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2532,0.2727,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2588,0.2943,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2649,0.3157,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2715,0.3367,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2784,0.3573,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2858,0.3783,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.2935,0.3999,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.3017,0.4224,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.3104,0.4453,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.3195,0.4686,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.3292,0.4915,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.3392,0.5124,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.3497,0.5298,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.3605,0.5426,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.3715,0.5504,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.3826,0.5531,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.3937,0.5509,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.4048,0.5446,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.4156,0.5353,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.4262,0.5239,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.4366,0.5111,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.4467,0.4974,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.4565,0.4834,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.466,0.4695,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.4752,0.4559,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.4842,0.4422,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.4929,0.4282,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5014,0.4142,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5095,0.3997,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5174,0.3847,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5249,0.3696,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5321,0.355,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5391,0.3416,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5458,0.3296,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5522,0.3194,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5585,0.3113,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5646,0.3053,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5707,0.3015,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5767,0.2995,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5826,0.2992,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5886,0.2998,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.5946,0.3013,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.6007,0.3035,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.6067,0.3062,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.6129,0.3093,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.6191,0.3132,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.6254,0.3179,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.6318,0.3235,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.6383,0.3303,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.645,0.3379,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.6518,0.3458,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.6588,0.3538,N
VELOCITY (ms-1),1992-03-12 00:00:00,0.666,0.3618,N
