Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-12 00:00:00,0.4062,36.2975,N
SALINITY (pss),1992-03-12 00:00:00,0.4076,36.2984,N
SALINITY (pss),1992-03-12 00:00:00,0.4097,36.2985,N
SALINITY (pss),1992-03-12 00:00:00,0.4126,36.2993,N
SALINITY (pss),1992-03-12 00:00:00,0.4163,36.3024,N
SALINITY (pss),1992-03-12 00:00:00,0.4207,36.3013,N
SALINITY (pss),1992-03-12 00:00:00,0.4262,36.2983,N
SALINITY (pss),1992-03-12 00:00:00,0.4326,36.3009,N
SALINITY (pss),1992-03-12 00:00:00,0.4401,36.3031,N
SALINITY (pss),1992-03-12 00:00:00,0.4485,36.303,N
SALINITY (pss),1992-03-12 00:00:00,0.4579,36.306,N
SALINITY (pss),1992-03-12 00:00:00,0.4681,36.3075,N
SALINITY (pss),1992-03-12 00:00:00,0.4791,36.3042,N
SALINITY (pss),1992-03-12 00:00:00,0.491,36.3034,N
SALINITY (pss),1992-03-12 00:00:00,0.5037,36.3067,N
SALINITY (pss),1992-03-12 00:00:00,0.5169,36.3082,N
SALINITY (pss),1992-03-12 00:00:00,0.5308,36.3073,N
SALINITY (pss),1992-03-12 00:00:00,0.5454,36.3068,N
SALINITY (pss),1992-03-12 00:00:00,0.5603,36.3066,N
SALINITY (pss),1992-03-12 00:00:00,0.5758,36.3062,N
SALINITY (pss),1992-03-12 00:00:00,0.5915,36.3066,N
SALINITY (pss),1992-03-12 00:00:00,0.6076,36.3075,N
SALINITY (pss),1992-03-12 00:00:00,0.6241,36.3074,N
SALINITY (pss),1992-03-12 00:00:00,0.6408,36.3062,N
SALINITY (pss),1992-03-12 00:00:00,0.6576,36.3062,N
SALINITY (pss),1992-03-12 00:00:00,0.6745,36.307,N
SALINITY (pss),1992-03-12 00:00:00,0.6916,36.3052,N
SALINITY (pss),1992-03-12 00:00:00,0.7089,36.3031,N
SALINITY (pss),1992-03-12 00:00:00,0.7262,36.3033,N
SALINITY (pss),1992-03-12 00:00:00,0.7437,36.302,N
SALINITY (pss),1992-03-12 00:00:00,0.7612,36.3007,N
SALINITY (pss),1992-03-12 00:00:00,0.7788,36.3026,N
SALINITY (pss),1992-03-12 00:00:00,0.7965,36.3048,N
SALINITY (pss),1992-03-12 00:00:00,0.8144,36.3053,N
SALINITY (pss),1992-03-12 00:00:00,0.8324,36.3038,N
SALINITY (pss),1992-03-12 00:00:00,0.8506,36.3041,N
SALINITY (pss),1992-03-12 00:00:00,0.8688,36.3061,N
SALINITY (pss),1992-03-12 00:00:00,0.8871,36.3052,N
SALINITY (pss),1992-03-12 00:00:00,0.9056,36.3052,N
SALINITY (pss),1992-03-12 00:00:00,0.9242,36.307,N
SALINITY (pss),1992-03-12 00:00:00,0.9429,36.3065,N
SALINITY (pss),1992-03-12 00:00:00,0.9619,36.3045,N
SALINITY (pss),1992-03-12 00:00:00,0.981,36.3023,N
SALINITY (pss),1992-03-12 00:00:00,1.0004,36.301,N
SALINITY (pss),1992-03-12 00:00:00,1.0199,36.3026,N
SALINITY (pss),1992-03-12 00:00:00,1.0396,36.304,N
SALINITY (pss),1992-03-12 00:00:00,1.0597,36.3026,N
SALINITY (pss),1992-03-12 00:00:00,1.0801,36.3032,N
SALINITY (pss),1992-03-12 00:00:00,1.1007,36.3071,N
SALINITY (pss),1992-03-12 00:00:00,1.1214,36.3095,N
SALINITY (pss),1992-03-12 00:00:00,1.1424,36.3079,N
SALINITY (pss),1992-03-12 00:00:00,1.1636,36.3061,N
SALINITY (pss),1992-03-12 00:00:00,1.185,36.3071,N
SALINITY (pss),1992-03-12 00:00:00,1.2066,36.3072,N
SALINITY (pss),1992-03-12 00:00:00,1.2286,36.3064,N
SALINITY (pss),1992-03-12 00:00:00,1.2508,36.3076,N
