Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.1852,51772.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.1874,51763.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.1906,51758.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.1948,51750.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2001,51743.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2064,51735.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2138,51726.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.222,51719.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.231,51720.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2405,51725.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2505,51723.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2609,51717.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2717,51714.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2829,51712.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2945,51711.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3065,51712.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3189,51714.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3317,51712.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3448,51710.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3584,51712.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3723,51716.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3866,51715.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4012,51715.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4162,51733.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4316,51782.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4472,51847.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4631,51902.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4792,51933.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4956,51946.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5123,51957.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.529,51973.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5457,51989.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5623,51998.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5788,51994.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5953,51974.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6119,51947.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6284,51942.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6446,51966.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6607,51994.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6767,51994.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6927,51961.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7085,51913.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7241,51872.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7396,51844.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7552,51823.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7707,51811.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7862,51807.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8018,51797.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8174,51786.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8332,51786.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8491,51788.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8652,51787.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8814,51783.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8977,51783.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9141,51781.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9305,51776.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9471,51784.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9637,51801.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9804,51811.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9974,51807.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0144,51795.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0317,51776.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0491,51757.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0666,51746.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0843,51739.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1021,51734.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1201,51731.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1382,51729.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1566,51726.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1751,51725.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1937,51725.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2126,51723.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2315,51720.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2507,51721.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2701,51722.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2898,51722.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3099,51719.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3302,51716.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3509,51717.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3718,51723.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3927,51723.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4139,51720.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4353,51720.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4569,51723.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.479,51721.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5014,51720.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.524,51722.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.547,51722.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5704,51721.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5938,51721.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6176,51722.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6418,51722.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6661,51722.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6909,51722.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7163,51721.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7421,51721.0,N
