Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-24 00:00:00,0.1852,36.0933,N
SALINITY (pss),1992-03-24 00:00:00,0.1874,36.0998,N
SALINITY (pss),1992-03-24 00:00:00,0.1906,36.1021,N
SALINITY (pss),1992-03-24 00:00:00,0.1948,36.0953,N
SALINITY (pss),1992-03-24 00:00:00,0.2001,36.0803,N
SALINITY (pss),1992-03-24 00:00:00,0.2064,36.0664,N
SALINITY (pss),1992-03-24 00:00:00,0.2138,36.0675,N
SALINITY (pss),1992-03-24 00:00:00,0.222,36.0853,N
SALINITY (pss),1992-03-24 00:00:00,0.231,36.1105,N
SALINITY (pss),1992-03-24 00:00:00,0.2405,36.1337,N
SALINITY (pss),1992-03-24 00:00:00,0.2505,36.1474,N
SALINITY (pss),1992-03-24 00:00:00,0.2609,36.1517,N
SALINITY (pss),1992-03-24 00:00:00,0.2717,36.1531,N
SALINITY (pss),1992-03-24 00:00:00,0.2829,36.1575,N
SALINITY (pss),1992-03-24 00:00:00,0.2945,36.1637,N
SALINITY (pss),1992-03-24 00:00:00,0.3065,36.1667,N
SALINITY (pss),1992-03-24 00:00:00,0.3189,36.1687,N
SALINITY (pss),1992-03-24 00:00:00,0.3317,36.1713,N
SALINITY (pss),1992-03-24 00:00:00,0.3448,36.1736,N
SALINITY (pss),1992-03-24 00:00:00,0.3584,36.1729,N
SALINITY (pss),1992-03-24 00:00:00,0.3723,36.1511,N
SALINITY (pss),1992-03-24 00:00:00,0.3866,36.092,N
SALINITY (pss),1992-03-24 00:00:00,0.4012,36.01,N
SALINITY (pss),1992-03-24 00:00:00,0.4162,35.9452,N
SALINITY (pss),1992-03-24 00:00:00,0.4316,35.9305,N
SALINITY (pss),1992-03-24 00:00:00,0.4472,35.9604,N
SALINITY (pss),1992-03-24 00:00:00,0.4631,36.0042,N
SALINITY (pss),1992-03-24 00:00:00,0.4792,36.0333,N
SALINITY (pss),1992-03-24 00:00:00,0.4956,36.045,N
SALINITY (pss),1992-03-24 00:00:00,0.5123,36.0683,N
SALINITY (pss),1992-03-24 00:00:00,0.529,36.1131,N
SALINITY (pss),1992-03-24 00:00:00,0.5457,36.1493,N
SALINITY (pss),1992-03-24 00:00:00,0.5623,36.1585,N
SALINITY (pss),1992-03-24 00:00:00,0.5788,36.1408,N
SALINITY (pss),1992-03-24 00:00:00,0.5953,36.0961,N
SALINITY (pss),1992-03-24 00:00:00,0.6119,36.0495,N
SALINITY (pss),1992-03-24 00:00:00,0.6284,36.0323,N
SALINITY (pss),1992-03-24 00:00:00,0.6446,36.031,N
SALINITY (pss),1992-03-24 00:00:00,0.6607,36.0152,N
SALINITY (pss),1992-03-24 00:00:00,0.6767,35.983,N
SALINITY (pss),1992-03-24 00:00:00,0.6927,35.9477,N
SALINITY (pss),1992-03-24 00:00:00,0.7085,35.9169,N
SALINITY (pss),1992-03-24 00:00:00,0.7241,35.8884,N
SALINITY (pss),1992-03-24 00:00:00,0.7396,35.8538,N
SALINITY (pss),1992-03-24 00:00:00,0.7552,35.8153,N
SALINITY (pss),1992-03-24 00:00:00,0.7707,35.7941,N
SALINITY (pss),1992-03-24 00:00:00,0.7862,35.8103,N
SALINITY (pss),1992-03-24 00:00:00,0.8018,35.8601,N
SALINITY (pss),1992-03-24 00:00:00,0.8174,35.9248,N
