Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-24 00:00:00,0.1567,25.1299,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.1577,25.1316,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.159,25.1318,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.1608,25.1277,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.163,25.1218,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.1658,25.1196,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.169,25.1204,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.1728,25.1194,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.177,25.1178,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.1817,25.1179,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.1868,25.1182,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.1923,25.1165,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.1982,25.113,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2044,25.1112,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2111,25.1116,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2183,25.1101,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2258,25.1104,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2339,25.113,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2426,25.1134,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2518,25.1146,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2615,25.1149,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2718,25.1121,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2825,25.1121,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2935,25.1125,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3047,25.1127,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3161,25.1155,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3275,25.1143,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.339,25.111,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3504,25.1129,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3617,25.1125,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.373,25.1112,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3843,25.1152,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3957,25.1158,N
