Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-10 00:00:00,0.5525,23.4168,N
TEMPERATURE (C),1992-03-10 00:00:00,0.5581,23.4158,N
TEMPERATURE (C),1992-03-10 00:00:00,0.5658,23.4153,N
TEMPERATURE (C),1992-03-10 00:00:00,0.5758,23.4179,N
TEMPERATURE (C),1992-03-10 00:00:00,0.5879,23.4184,N
TEMPERATURE (C),1992-03-10 00:00:00,0.6019,23.4161,N
TEMPERATURE (C),1992-03-10 00:00:00,0.6179,23.4162,N
TEMPERATURE (C),1992-03-10 00:00:00,0.6355,23.4182,N
TEMPERATURE (C),1992-03-10 00:00:00,0.6547,23.4177,N
TEMPERATURE (C),1992-03-10 00:00:00,0.6753,23.4166,N
TEMPERATURE (C),1992-03-10 00:00:00,0.6969,23.4179,N
TEMPERATURE (C),1992-03-10 00:00:00,0.7196,23.4177,N
TEMPERATURE (C),1992-03-10 00:00:00,0.7433,23.4159,N
TEMPERATURE (C),1992-03-10 00:00:00,0.7679,23.4168,N
TEMPERATURE (C),1992-03-10 00:00:00,0.793,23.4183,N
TEMPERATURE (C),1992-03-10 00:00:00,0.8188,23.4176,N
TEMPERATURE (C),1992-03-10 00:00:00,0.8452,23.4155,N
TEMPERATURE (C),1992-03-10 00:00:00,0.8722,23.4144,N
TEMPERATURE (C),1992-03-10 00:00:00,0.8995,23.4146,N
TEMPERATURE (C),1992-03-10 00:00:00,0.9271,23.4135,N
TEMPERATURE (C),1992-03-10 00:00:00,0.955,23.4122,N
TEMPERATURE (C),1992-03-10 00:00:00,0.9829,23.4116,N
TEMPERATURE (C),1992-03-10 00:00:00,1.0108,23.4117,N
TEMPERATURE (C),1992-03-10 00:00:00,1.0386,23.4135,N
TEMPERATURE (C),1992-03-10 00:00:00,1.0662,23.4139,N
TEMPERATURE (C),1992-03-10 00:00:00,1.0936,23.4121,N
TEMPERATURE (C),1992-03-10 00:00:00,1.1209,23.4119,N
TEMPERATURE (C),1992-03-10 00:00:00,1.1479,23.4124,N
TEMPERATURE (C),1992-03-10 00:00:00,1.1746,23.4123,N
TEMPERATURE (C),1992-03-10 00:00:00,1.201,23.4119,N
TEMPERATURE (C),1992-03-10 00:00:00,1.227,23.411,N
TEMPERATURE (C),1992-03-10 00:00:00,1.2525,23.4123,N
TEMPERATURE (C),1992-03-10 00:00:00,1.2775,23.4148,N
TEMPERATURE (C),1992-03-10 00:00:00,1.3022,23.4137,N
TEMPERATURE (C),1992-03-10 00:00:00,1.3264,23.4111,N
TEMPERATURE (C),1992-03-10 00:00:00,1.3502,23.4125,N
TEMPERATURE (C),1992-03-10 00:00:00,1.3737,23.4139,N
TEMPERATURE (C),1992-03-10 00:00:00,1.397,23.4109,N
TEMPERATURE (C),1992-03-10 00:00:00,1.4199,23.4116,N
TEMPERATURE (C),1992-03-10 00:00:00,1.4425,23.4148,N
TEMPERATURE (C),1992-03-10 00:00:00,1.465,23.4118,N
TEMPERATURE (C),1992-03-10 00:00:00,1.4873,23.4102,N
TEMPERATURE (C),1992-03-10 00:00:00,1.5095,23.4127,N
TEMPERATURE (C),1992-03-10 00:00:00,1.5316,23.412,N
TEMPERATURE (C),1992-03-10 00:00:00,1.5536,23.4114,N
TEMPERATURE (C),1992-03-10 00:00:00,1.5756,23.4122,N
TEMPERATURE (C),1992-03-10 00:00:00,1.5978,23.4121,N
TEMPERATURE (C),1992-03-10 00:00:00,1.62,23.4123,N
TEMPERATURE (C),1992-03-10 00:00:00,1.6424,23.4113,N
TEMPERATURE (C),1992-03-10 00:00:00,1.6648,23.4106,N
TEMPERATURE (C),1992-03-10 00:00:00,1.6872,23.4115,N
TEMPERATURE (C),1992-03-10 00:00:00,1.7097,23.4111,N
TEMPERATURE (C),1992-03-10 00:00:00,1.7321,23.4099,N
TEMPERATURE (C),1992-03-10 00:00:00,1.7545,23.4096,N
TEMPERATURE (C),1992-03-10 00:00:00,1.7768,23.4102,N
TEMPERATURE (C),1992-03-10 00:00:00,1.799,23.4099,N
TEMPERATURE (C),1992-03-10 00:00:00,1.8211,23.4096,N
TEMPERATURE (C),1992-03-10 00:00:00,1.843,23.4125,N
TEMPERATURE (C),1992-03-10 00:00:00,1.8647,23.4136,N
TEMPERATURE (C),1992-03-10 00:00:00,1.8862,23.4104,N
TEMPERATURE (C),1992-03-10 00:00:00,1.908,23.4092,N
TEMPERATURE (C),1992-03-10 00:00:00,1.93,23.4107,N
TEMPERATURE (C),1992-03-10 00:00:00,1.9521,23.4121,N
TEMPERATURE (C),1992-03-10 00:00:00,1.9746,23.4123,N
TEMPERATURE (C),1992-03-10 00:00:00,1.9972,23.4112,N
TEMPERATURE (C),1992-03-10 00:00:00,2.0199,23.4104,N
TEMPERATURE (C),1992-03-10 00:00:00,2.043,23.4115,N
TEMPERATURE (C),1992-03-10 00:00:00,2.0663,23.4131,N
TEMPERATURE (C),1992-03-10 00:00:00,2.0899,23.4124,N
TEMPERATURE (C),1992-03-10 00:00:00,2.1138,23.4115,N
TEMPERATURE (C),1992-03-10 00:00:00,2.138,23.4115,N
TEMPERATURE (C),1992-03-10 00:00:00,2.1624,23.4101,N
TEMPERATURE (C),1992-03-10 00:00:00,2.1869,23.4107,N
TEMPERATURE (C),1992-03-10 00:00:00,2.2113,23.4134,N
TEMPERATURE (C),1992-03-10 00:00:00,2.2358,23.4109,N
TEMPERATURE (C),1992-03-10 00:00:00,2.2602,23.4084,N
TEMPERATURE (C),1992-03-10 00:00:00,2.2846,23.4121,N
TEMPERATURE (C),1992-03-10 00:00:00,2.309,23.4127,N
TEMPERATURE (C),1992-03-10 00:00:00,2.3335,23.4102,N
TEMPERATURE (C),1992-03-10 00:00:00,2.3579,23.4116,N
TEMPERATURE (C),1992-03-10 00:00:00,2.3822,23.4116,N
TEMPERATURE (C),1992-03-10 00:00:00,2.4063,23.4113,N
TEMPERATURE (C),1992-03-10 00:00:00,2.4303,23.4131,N
TEMPERATURE (C),1992-03-10 00:00:00,2.4542,23.4123,N
TEMPERATURE (C),1992-03-10 00:00:00,2.4779,23.4126,N
TEMPERATURE (C),1992-03-10 00:00:00,2.5013,23.4142,N
TEMPERATURE (C),1992-03-10 00:00:00,2.5245,23.4137,N
TEMPERATURE (C),1992-03-10 00:00:00,2.5476,23.4157,N
TEMPERATURE (C),1992-03-10 00:00:00,2.5707,23.4174,N
TEMPERATURE (C),1992-03-10 00:00:00,2.5937,23.4136,N
TEMPERATURE (C),1992-03-10 00:00:00,2.6166,23.412,N
TEMPERATURE (C),1992-03-10 00:00:00,2.6395,23.4149,N
TEMPERATURE (C),1992-03-10 00:00:00,2.6622,23.4163,N
TEMPERATURE (C),1992-03-10 00:00:00,2.685,23.4165,N
TEMPERATURE (C),1992-03-10 00:00:00,2.7077,23.416,N
TEMPERATURE (C),1992-03-10 00:00:00,2.7303,23.4137,N
TEMPERATURE (C),1992-03-10 00:00:00,2.7528,23.4133,N
TEMPERATURE (C),1992-03-10 00:00:00,2.7751,23.4153,N
TEMPERATURE (C),1992-03-10 00:00:00,2.7974,23.4165,N
TEMPERATURE (C),1992-03-10 00:00:00,2.8196,23.4174,N
TEMPERATURE (C),1992-03-10 00:00:00,2.8417,23.4162,N
TEMPERATURE (C),1992-03-10 00:00:00,2.8638,23.4136,N
TEMPERATURE (C),1992-03-10 00:00:00,2.8859,23.4154,N
TEMPERATURE (C),1992-03-10 00:00:00,2.9078,23.4172,N
TEMPERATURE (C),1992-03-10 00:00:00,2.9296,23.415,N
TEMPERATURE (C),1992-03-10 00:00:00,2.9513,23.4141,N
TEMPERATURE (C),1992-03-10 00:00:00,2.973,23.4136,N
TEMPERATURE (C),1992-03-10 00:00:00,2.9945,23.4137,N
TEMPERATURE (C),1992-03-10 00:00:00,3.016,23.4181,N
TEMPERATURE (C),1992-03-10 00:00:00,3.0375,23.4189,N
TEMPERATURE (C),1992-03-10 00:00:00,3.0589,23.414,N
TEMPERATURE (C),1992-03-10 00:00:00,3.0803,23.4138,N
TEMPERATURE (C),1992-03-10 00:00:00,3.1018,23.4163,N
TEMPERATURE (C),1992-03-10 00:00:00,3.1233,23.4159,N
TEMPERATURE (C),1992-03-10 00:00:00,3.1449,23.4172,N
TEMPERATURE (C),1992-03-10 00:00:00,3.1664,23.4177,N
TEMPERATURE (C),1992-03-10 00:00:00,3.188,23.4129,N
TEMPERATURE (C),1992-03-10 00:00:00,3.2095,23.4123,N
TEMPERATURE (C),1992-03-10 00:00:00,3.2311,23.4165,N
TEMPERATURE (C),1992-03-10 00:00:00,3.2527,23.4151,N
TEMPERATURE (C),1992-03-10 00:00:00,3.2744,23.4132,N
TEMPERATURE (C),1992-03-10 00:00:00,3.2961,23.4162,N
TEMPERATURE (C),1992-03-10 00:00:00,3.318,23.4156,N
TEMPERATURE (C),1992-03-10 00:00:00,3.3398,23.4135,N
TEMPERATURE (C),1992-03-10 00:00:00,3.3618,23.415,N
TEMPERATURE (C),1992-03-10 00:00:00,3.3837,23.4146,N
TEMPERATURE (C),1992-03-10 00:00:00,3.4056,23.4137,N
TEMPERATURE (C),1992-03-10 00:00:00,3.4276,23.4136,N
TEMPERATURE (C),1992-03-10 00:00:00,3.4496,23.4116,N
TEMPERATURE (C),1992-03-10 00:00:00,3.4717,23.4127,N
TEMPERATURE (C),1992-03-10 00:00:00,3.4939,23.4149,N
TEMPERATURE (C),1992-03-10 00:00:00,3.516,23.4126,N
TEMPERATURE (C),1992-03-10 00:00:00,3.5381,23.4118,N
TEMPERATURE (C),1992-03-10 00:00:00,3.5601,23.4145,N
TEMPERATURE (C),1992-03-10 00:00:00,3.5821,23.4144,N
TEMPERATURE (C),1992-03-10 00:00:00,3.604,23.4129,N
TEMPERATURE (C),1992-03-10 00:00:00,3.6258,23.4123,N
TEMPERATURE (C),1992-03-10 00:00:00,3.6476,23.412,N
TEMPERATURE (C),1992-03-10 00:00:00,3.6693,23.4138,N
TEMPERATURE (C),1992-03-10 00:00:00,3.6908,23.4162,N
TEMPERATURE (C),1992-03-10 00:00:00,3.7122,23.4157,N
TEMPERATURE (C),1992-03-10 00:00:00,3.7334,23.4141,N
TEMPERATURE (C),1992-03-10 00:00:00,3.7545,23.4145,N
TEMPERATURE (C),1992-03-10 00:00:00,3.7753,23.4169,N
