Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-24 00:00:00,0.2586,36.0123,N
SALINITY (pss),1992-03-24 00:00:00,0.2662,36.0077,N
SALINITY (pss),1992-03-24 00:00:00,0.2771,36.0031,N
SALINITY (pss),1992-03-24 00:00:00,0.291,36.0033,N
SALINITY (pss),1992-03-24 00:00:00,0.3074,36.0049,N
SALINITY (pss),1992-03-24 00:00:00,0.3264,36.0063,N
SALINITY (pss),1992-03-24 00:00:00,0.3474,36.0069,N
SALINITY (pss),1992-03-24 00:00:00,0.37,36.0051,N
SALINITY (pss),1992-03-24 00:00:00,0.3942,36.006,N
SALINITY (pss),1992-03-24 00:00:00,0.4193,36.0095,N
SALINITY (pss),1992-03-24 00:00:00,0.4457,36.0096,N
SALINITY (pss),1992-03-24 00:00:00,0.473,36.0088,N
SALINITY (pss),1992-03-24 00:00:00,0.5009,36.0094,N
SALINITY (pss),1992-03-24 00:00:00,0.5294,36.0081,N
SALINITY (pss),1992-03-24 00:00:00,0.5581,36.0088,N
SALINITY (pss),1992-03-24 00:00:00,0.5869,36.012,N
SALINITY (pss),1992-03-24 00:00:00,0.6157,36.0101,N
SALINITY (pss),1992-03-24 00:00:00,0.6446,36.0062,N
SALINITY (pss),1992-03-24 00:00:00,0.6736,36.0075,N
SALINITY (pss),1992-03-24 00:00:00,0.7023,36.0115,N
SALINITY (pss),1992-03-24 00:00:00,0.7309,36.0135,N
SALINITY (pss),1992-03-24 00:00:00,0.7593,36.0123,N
SALINITY (pss),1992-03-24 00:00:00,0.7875,36.012,N
SALINITY (pss),1992-03-24 00:00:00,0.8155,36.0133,N
SALINITY (pss),1992-03-24 00:00:00,0.8432,36.011,N
SALINITY (pss),1992-03-24 00:00:00,0.8705,36.0099,N
SALINITY (pss),1992-03-24 00:00:00,0.8975,36.0135,N
SALINITY (pss),1992-03-24 00:00:00,0.9241,36.0133,N
SALINITY (pss),1992-03-24 00:00:00,0.9503,36.0109,N
SALINITY (pss),1992-03-24 00:00:00,0.9761,36.0125,N
SALINITY (pss),1992-03-24 00:00:00,1.0016,36.0125,N
SALINITY (pss),1992-03-24 00:00:00,1.0269,36.0101,N
SALINITY (pss),1992-03-24 00:00:00,1.0518,36.0114,N
SALINITY (pss),1992-03-24 00:00:00,1.0765,36.0131,N
SALINITY (pss),1992-03-24 00:00:00,1.1009,36.0111,N
SALINITY (pss),1992-03-24 00:00:00,1.125,36.0102,N
SALINITY (pss),1992-03-24 00:00:00,1.1487,36.0107,N
SALINITY (pss),1992-03-24 00:00:00,1.1722,36.0087,N
SALINITY (pss),1992-03-24 00:00:00,1.1952,36.0084,N
SALINITY (pss),1992-03-24 00:00:00,1.218,36.0107,N
SALINITY (pss),1992-03-24 00:00:00,1.2405,36.01,N
SALINITY (pss),1992-03-24 00:00:00,1.2628,36.0089,N
SALINITY (pss),1992-03-24 00:00:00,1.2849,36.01,N
SALINITY (pss),1992-03-24 00:00:00,1.3068,36.0105,N
SALINITY (pss),1992-03-24 00:00:00,1.3285,36.0117,N
SALINITY (pss),1992-03-24 00:00:00,1.3502,36.0144,N
SALINITY (pss),1992-03-24 00:00:00,1.3717,36.0148,N
SALINITY (pss),1992-03-24 00:00:00,1.3933,36.0155,N
SALINITY (pss),1992-03-24 00:00:00,1.4149,36.0179,N
SALINITY (pss),1992-03-24 00:00:00,1.4366,36.016,N
SALINITY (pss),1992-03-24 00:00:00,1.4583,36.0127,N
SALINITY (pss),1992-03-24 00:00:00,1.4799,36.0132,N
SALINITY (pss),1992-03-24 00:00:00,1.5019,36.0128,N
SALINITY (pss),1992-03-24 00:00:00,1.5239,36.0118,N
SALINITY (pss),1992-03-24 00:00:00,1.5463,36.0125,N
SALINITY (pss),1992-03-24 00:00:00,1.5687,36.0119,N
SALINITY (pss),1992-03-24 00:00:00,1.5911,36.0123,N
SALINITY (pss),1992-03-24 00:00:00,1.6136,36.0152,N
SALINITY (pss),1992-03-24 00:00:00,1.6361,36.0139,N
SALINITY (pss),1992-03-24 00:00:00,1.6585,36.0106,N
SALINITY (pss),1992-03-24 00:00:00,1.681,36.012,N
SALINITY (pss),1992-03-24 00:00:00,1.7036,36.0157,N
SALINITY (pss),1992-03-24 00:00:00,1.7264,36.0173,N
SALINITY (pss),1992-03-24 00:00:00,1.7493,36.0151,N
SALINITY (pss),1992-03-24 00:00:00,1.7724,36.0125,N
SALINITY (pss),1992-03-24 00:00:00,1.7956,36.0139,N
SALINITY (pss),1992-03-24 00:00:00,1.8189,36.0137,N
SALINITY (pss),1992-03-24 00:00:00,1.8423,36.0123,N
SALINITY (pss),1992-03-24 00:00:00,1.8659,36.0159,N
SALINITY (pss),1992-03-24 00:00:00,1.8897,36.0171,N
SALINITY (pss),1992-03-24 00:00:00,1.9138,36.0131,N
SALINITY (pss),1992-03-24 00:00:00,1.9383,36.0145,N
SALINITY (pss),1992-03-24 00:00:00,1.9628,36.0184,N
SALINITY (pss),1992-03-24 00:00:00,1.9874,36.0158,N
SALINITY (pss),1992-03-24 00:00:00,2.0122,36.0119,N
SALINITY (pss),1992-03-24 00:00:00,2.0371,36.0122,N
SALINITY (pss),1992-03-24 00:00:00,2.062,36.0128,N
SALINITY (pss),1992-03-24 00:00:00,2.0872,36.0124,N
SALINITY (pss),1992-03-24 00:00:00,2.1126,36.0136,N
SALINITY (pss),1992-03-24 00:00:00,2.1381,36.017,N
SALINITY (pss),1992-03-24 00:00:00,2.1636,36.0173,N
SALINITY (pss),1992-03-24 00:00:00,2.1892,36.0121,N
SALINITY (pss),1992-03-24 00:00:00,2.2149,36.0114,N
SALINITY (pss),1992-03-24 00:00:00,2.2405,36.0138,N
SALINITY (pss),1992-03-24 00:00:00,2.2662,36.0092,N
SALINITY (pss),1992-03-24 00:00:00,2.2919,36.006,N
SALINITY (pss),1992-03-24 00:00:00,2.3177,36.011,N
SALINITY (pss),1992-03-24 00:00:00,2.3436,36.0158,N
SALINITY (pss),1992-03-24 00:00:00,2.3696,36.0163,N
SALINITY (pss),1992-03-24 00:00:00,2.3958,36.014,N
SALINITY (pss),1992-03-24 00:00:00,2.4223,36.0131,N
SALINITY (pss),1992-03-24 00:00:00,2.449,36.0163,N
SALINITY (pss),1992-03-24 00:00:00,2.4761,36.0182,N
SALINITY (pss),1992-03-24 00:00:00,2.5036,36.0156,N
SALINITY (pss),1992-03-24 00:00:00,2.531,36.0137,N
SALINITY (pss),1992-03-24 00:00:00,2.5588,36.0163,N
SALINITY (pss),1992-03-24 00:00:00,2.5867,36.0183,N
SALINITY (pss),1992-03-24 00:00:00,2.6149,36.0163,N
SALINITY (pss),1992-03-24 00:00:00,2.6433,36.015,N
SALINITY (pss),1992-03-24 00:00:00,2.672,36.0161,N
SALINITY (pss),1992-03-24 00:00:00,2.7006,36.0164,N
SALINITY (pss),1992-03-24 00:00:00,2.7296,36.0165,N
SALINITY (pss),1992-03-24 00:00:00,2.7587,36.0164,N
SALINITY (pss),1992-03-24 00:00:00,2.788,36.0152,N
SALINITY (pss),1992-03-24 00:00:00,2.8176,36.0153,N
SALINITY (pss),1992-03-24 00:00:00,2.8472,36.0163,N
SALINITY (pss),1992-03-24 00:00:00,2.877,36.0168,N
SALINITY (pss),1992-03-24 00:00:00,2.9069,36.0167,N
SALINITY (pss),1992-03-24 00:00:00,2.937,36.0155,N
SALINITY (pss),1992-03-24 00:00:00,2.9673,36.015,N
SALINITY (pss),1992-03-24 00:00:00,2.9977,36.0159,N
SALINITY (pss),1992-03-24 00:00:00,3.0284,36.0157,N
SALINITY (pss),1992-03-24 00:00:00,3.0592,36.0141,N
SALINITY (pss),1992-03-24 00:00:00,3.0903,36.0148,N
SALINITY (pss),1992-03-24 00:00:00,3.1213,36.0159,N
SALINITY (pss),1992-03-24 00:00:00,3.1524,36.0139,N
SALINITY (pss),1992-03-24 00:00:00,3.1835,36.0138,N
SALINITY (pss),1992-03-24 00:00:00,3.2147,36.0165,N
SALINITY (pss),1992-03-24 00:00:00,3.2461,36.016,N
SALINITY (pss),1992-03-24 00:00:00,3.2777,36.0148,N
SALINITY (pss),1992-03-24 00:00:00,3.3095,36.0155,N
SALINITY (pss),1992-03-24 00:00:00,3.3413,36.0153,N
SALINITY (pss),1992-03-24 00:00:00,3.373,36.0159,N
SALINITY (pss),1992-03-24 00:00:00,3.4046,36.0169,N
SALINITY (pss),1992-03-24 00:00:00,3.4361,36.0145,N
SALINITY (pss),1992-03-24 00:00:00,3.4676,36.0143,N
SALINITY (pss),1992-03-24 00:00:00,3.499,36.0174,N
SALINITY (pss),1992-03-24 00:00:00,3.5305,36.0163,N
SALINITY (pss),1992-03-24 00:00:00,3.5621,36.0131,N
SALINITY (pss),1992-03-24 00:00:00,3.5936,36.0137,N
SALINITY (pss),1992-03-24 00:00:00,3.625,36.0158,N
SALINITY (pss),1992-03-24 00:00:00,3.6566,36.0168,N
SALINITY (pss),1992-03-24 00:00:00,3.6882,36.016,N
SALINITY (pss),1992-03-24 00:00:00,3.7197,36.0144,N
SALINITY (pss),1992-03-24 00:00:00,3.7513,36.0152,N
SALINITY (pss),1992-03-24 00:00:00,3.783,36.0164,N
SALINITY (pss),1992-03-24 00:00:00,3.8147,36.0151,N
SALINITY (pss),1992-03-24 00:00:00,3.8462,36.0146,N
SALINITY (pss),1992-03-24 00:00:00,3.8778,36.0172,N
SALINITY (pss),1992-03-24 00:00:00,3.9094,36.0195,N
SALINITY (pss),1992-03-24 00:00:00,3.941,36.0163,N
SALINITY (pss),1992-03-24 00:00:00,3.9726,36.0124,N
SALINITY (pss),1992-03-24 00:00:00,4.0042,36.016,N
SALINITY (pss),1992-03-24 00:00:00,4.0359,36.0187,N
SALINITY (pss),1992-03-24 00:00:00,4.0679,36.015,N
SALINITY (pss),1992-03-24 00:00:00,4.1,36.0145,N
SALINITY (pss),1992-03-24 00:00:00,4.1324,36.0169,N
SALINITY (pss),1992-03-24 00:00:00,4.165,36.0162,N
SALINITY (pss),1992-03-24 00:00:00,4.1975,36.0157,N
SALINITY (pss),1992-03-24 00:00:00,4.2302,36.0155,N
SALINITY (pss),1992-03-24 00:00:00,4.2629,36.0151,N
SALINITY (pss),1992-03-24 00:00:00,4.2958,36.0158,N
