Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-24 00:00:00,0.3449,21.7533,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3485,21.7532,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3531,21.7528,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3591,21.7549,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3665,21.7545,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3758,21.7531,N
TEMPERATURE (C),1992-03-24 00:00:00,0.387,21.7536,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4003,21.755,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4154,21.7551,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4322,21.7527,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4504,21.7517,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4701,21.7535,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4909,21.7536,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5126,21.7508,N
TEMPERATURE (C),1992-03-24 00:00:00,0.535,21.7514,N
TEMPERATURE (C),1992-03-24 00:00:00,0.558,21.7545,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5811,21.7527,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6046,21.751,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6282,21.7537,N
TEMPERATURE (C),1992-03-24 00:00:00,0.652,21.753,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6759,21.7512,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6998,21.7531,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7234,21.7537,N
TEMPERATURE (C),1992-03-24 00:00:00,0.747,21.7525,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7705,21.7518,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7942,21.7514,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8179,21.7519,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8414,21.753,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8646,21.7527,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8879,21.7513,N
