Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1991-08-22 00:00:00,0.392,0.0976,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.3944,0.1398,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.3976,0.1809,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4016,0.2215,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4064,0.2638,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4122,0.3067,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4187,0.3485,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4261,0.3887,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4343,0.4277,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4433,0.4656,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4529,0.5028,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4559,0.1716,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4601,0.2565,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4634,0.5396,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.466,0.3493,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.474,0.4461,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4745,0.5768,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4839,0.5407,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4864,0.6149,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4957,0.63,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.4991,0.6532,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5092,0.7117,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5126,0.6899,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5243,0.7859,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5267,0.7258,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5407,0.8548,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5416,0.7634,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5572,0.8031,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5586,0.9196,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5737,0.8419,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5776,0.9784,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.591,0.8778,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.5978,1.0295,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6089,0.9116,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.619,1.0714,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6274,0.9442,N
VELOCITY (ms-1),1991-08-22 00:00:00,0.6409,1.1034,N
