Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-22 00:00:00,0.392,34.5437,N
SALINITY (pss),1991-08-22 00:00:00,0.3944,34.5427,N
SALINITY (pss),1991-08-22 00:00:00,0.3976,34.5428,N
SALINITY (pss),1991-08-22 00:00:00,0.4016,34.5417,N
SALINITY (pss),1991-08-22 00:00:00,0.4064,34.5412,N
SALINITY (pss),1991-08-22 00:00:00,0.4122,34.543,N
SALINITY (pss),1991-08-22 00:00:00,0.4187,34.5448,N
SALINITY (pss),1991-08-22 00:00:00,0.4261,34.5444,N
SALINITY (pss),1991-08-22 00:00:00,0.4343,34.5424,N
SALINITY (pss),1991-08-22 00:00:00,0.4433,34.5424,N
SALINITY (pss),1991-08-22 00:00:00,0.4529,34.5448,N
SALINITY (pss),1991-08-22 00:00:00,0.4559,34.3768,N
SALINITY (pss),1991-08-22 00:00:00,0.4601,34.3781,N
SALINITY (pss),1991-08-22 00:00:00,0.4634,34.544,N
SALINITY (pss),1991-08-22 00:00:00,0.466,34.3751,N
SALINITY (pss),1991-08-22 00:00:00,0.474,34.3773,N
SALINITY (pss),1991-08-22 00:00:00,0.4745,34.5421,N
SALINITY (pss),1991-08-22 00:00:00,0.4839,34.3823,N
SALINITY (pss),1991-08-22 00:00:00,0.4864,34.5458,N
SALINITY (pss),1991-08-22 00:00:00,0.4957,34.3799,N
SALINITY (pss),1991-08-22 00:00:00,0.4991,34.5466,N
SALINITY (pss),1991-08-22 00:00:00,0.5092,34.3786,N
SALINITY (pss),1991-08-22 00:00:00,0.5126,34.5413,N
SALINITY (pss),1991-08-22 00:00:00,0.5243,34.3826,N
SALINITY (pss),1991-08-22 00:00:00,0.5267,34.5427,N
SALINITY (pss),1991-08-22 00:00:00,0.5407,34.3812,N
SALINITY (pss),1991-08-22 00:00:00,0.5416,34.547,N
SALINITY (pss),1991-08-22 00:00:00,0.5572,34.5443,N
SALINITY (pss),1991-08-22 00:00:00,0.5586,34.3786,N
SALINITY (pss),1991-08-22 00:00:00,0.5737,34.5423,N
SALINITY (pss),1991-08-22 00:00:00,0.5776,34.3811,N
SALINITY (pss),1991-08-22 00:00:00,0.591,34.5444,N
SALINITY (pss),1991-08-22 00:00:00,0.5978,34.3813,N
SALINITY (pss),1991-08-22 00:00:00,0.6089,34.5441,N
SALINITY (pss),1991-08-22 00:00:00,0.619,34.3789,N
SALINITY (pss),1991-08-22 00:00:00,0.6274,34.5429,N
SALINITY (pss),1991-08-22 00:00:00,0.6409,34.3809,N
SALINITY (pss),1991-08-22 00:00:00,0.6466,34.5456,N
SALINITY (pss),1991-08-22 00:00:00,0.6633,34.3841,N
SALINITY (pss),1991-08-22 00:00:00,0.6665,34.5447,N
SALINITY (pss),1991-08-22 00:00:00,0.6861,34.3807,N
SALINITY (pss),1991-08-22 00:00:00,0.6869,34.5387,N
SALINITY (pss),1991-08-22 00:00:00,0.7077,34.5392,N
SALINITY (pss),1991-08-22 00:00:00,0.7091,34.3731,N
SALINITY (pss),1991-08-22 00:00:00,0.7289,34.5403,N
SALINITY (pss),1991-08-22 00:00:00,0.7323,34.369,N
SALINITY (pss),1991-08-22 00:00:00,0.7506,34.5337,N
SALINITY (pss),1991-08-22 00:00:00,0.7556,34.3688,N
SALINITY (pss),1991-08-22 00:00:00,0.7726,34.5327,N
SALINITY (pss),1991-08-22 00:00:00,0.7791,34.3705,N
SALINITY (pss),1991-08-22 00:00:00,0.7951,34.5356,N
SALINITY (pss),1991-08-22 00:00:00,0.8027,34.3725,N
SALINITY (pss),1991-08-22 00:00:00,0.8179,34.5328,N
SALINITY (pss),1991-08-22 00:00:00,0.8264,34.3715,N
SALINITY (pss),1991-08-22 00:00:00,0.8411,34.5348,N
SALINITY (pss),1991-08-22 00:00:00,0.8501,34.3704,N
SALINITY (pss),1991-08-22 00:00:00,0.8646,34.5409,N
SALINITY (pss),1991-08-22 00:00:00,0.8738,34.3734,N
SALINITY (pss),1991-08-22 00:00:00,0.8885,34.5394,N
SALINITY (pss),1991-08-22 00:00:00,0.8975,34.3759,N
SALINITY (pss),1991-08-22 00:00:00,0.9126,34.535,N
SALINITY (pss),1991-08-22 00:00:00,0.9211,34.3751,N
SALINITY (pss),1991-08-22 00:00:00,0.937,34.5358,N
SALINITY (pss),1991-08-22 00:00:00,0.9446,34.3743,N
SALINITY (pss),1991-08-22 00:00:00,0.9617,34.5395,N
SALINITY (pss),1991-08-22 00:00:00,0.968,34.3731,N
SALINITY (pss),1991-08-22 00:00:00,0.9867,34.5414,N
SALINITY (pss),1991-08-22 00:00:00,0.9913,34.3734,N
SALINITY (pss),1991-08-22 00:00:00,1.0119,34.5405,N
SALINITY (pss),1991-08-22 00:00:00,1.0146,34.375,N
SALINITY (pss),1991-08-22 00:00:00,1.0374,34.5398,N
SALINITY (pss),1991-08-22 00:00:00,1.0377,34.3739,N
SALINITY (pss),1991-08-22 00:00:00,1.0608,34.3752,N
SALINITY (pss),1991-08-22 00:00:00,1.0631,34.5419,N
SALINITY (pss),1991-08-22 00:00:00,1.0837,34.3808,N
SALINITY (pss),1991-08-22 00:00:00,1.0891,34.5438,N
SALINITY (pss),1991-08-22 00:00:00,1.1067,34.3824,N
SALINITY (pss),1991-08-22 00:00:00,1.1154,34.5426,N
SALINITY (pss),1991-08-22 00:00:00,1.1296,34.3807,N
SALINITY (pss),1991-08-22 00:00:00,1.1419,34.5409,N
SALINITY (pss),1991-08-22 00:00:00,1.1527,34.3798,N
SALINITY (pss),1991-08-22 00:00:00,1.1684,34.5418,N
SALINITY (pss),1991-08-22 00:00:00,1.176,34.3778,N
SALINITY (pss),1991-08-22 00:00:00,1.1951,34.544,N
SALINITY (pss),1991-08-22 00:00:00,1.1994,34.379,N
SALINITY (pss),1991-08-22 00:00:00,1.2219,34.5445,N
SALINITY (pss),1991-08-22 00:00:00,1.2233,34.3855,N
SALINITY (pss),1991-08-22 00:00:00,1.2475,34.3883,N
SALINITY (pss),1991-08-22 00:00:00,1.2487,34.5434,N
SALINITY (pss),1991-08-22 00:00:00,1.2719,34.3851,N
SALINITY (pss),1991-08-22 00:00:00,1.2756,34.5426,N
SALINITY (pss),1991-08-22 00:00:00,1.2965,34.3829,N
SALINITY (pss),1991-08-22 00:00:00,1.3025,34.543,N
SALINITY (pss),1991-08-22 00:00:00,1.3213,34.3846,N
SALINITY (pss),1991-08-22 00:00:00,1.3295,34.5439,N
SALINITY (pss),1991-08-22 00:00:00,1.3461,34.3886,N
SALINITY (pss),1991-08-22 00:00:00,1.3566,34.543,N
SALINITY (pss),1991-08-22 00:00:00,1.371,34.3893,N
SALINITY (pss),1991-08-22 00:00:00,1.3838,34.5419,N
SALINITY (pss),1991-08-22 00:00:00,1.396,34.3822,N
SALINITY (pss),1991-08-22 00:00:00,1.4111,34.543,N
SALINITY (pss),1991-08-22 00:00:00,1.4212,34.3767,N
SALINITY (pss),1991-08-22 00:00:00,1.4386,34.5428,N
SALINITY (pss),1991-08-22 00:00:00,1.4464,34.3815,N
SALINITY (pss),1991-08-22 00:00:00,1.4662,34.5422,N
SALINITY (pss),1991-08-22 00:00:00,1.4718,34.3885,N
SALINITY (pss),1991-08-22 00:00:00,1.4939,34.5441,N
SALINITY (pss),1991-08-22 00:00:00,1.4973,34.3895,N
SALINITY (pss),1991-08-22 00:00:00,1.5218,34.5444,N
SALINITY (pss),1991-08-22 00:00:00,1.5228,34.387,N
SALINITY (pss),1991-08-22 00:00:00,1.5483,34.3871,N
SALINITY (pss),1991-08-22 00:00:00,1.5497,34.5434,N
SALINITY (pss),1991-08-22 00:00:00,1.5738,34.3899,N
SALINITY (pss),1991-08-22 00:00:00,1.5777,34.5448,N
SALINITY (pss),1991-08-22 00:00:00,1.5992,34.389,N
SALINITY (pss),1991-08-22 00:00:00,1.6058,34.5446,N
SALINITY (pss),1991-08-22 00:00:00,1.6245,34.3852,N
SALINITY (pss),1991-08-22 00:00:00,1.634,34.5421,N
SALINITY (pss),1991-08-22 00:00:00,1.65,34.3847,N
SALINITY (pss),1991-08-22 00:00:00,1.6623,34.5425,N
SALINITY (pss),1991-08-22 00:00:00,1.6754,34.387,N
SALINITY (pss),1991-08-22 00:00:00,1.6907,34.5445,N
SALINITY (pss),1991-08-22 00:00:00,1.7008,34.3879,N
SALINITY (pss),1991-08-22 00:00:00,1.7191,34.5454,N
SALINITY (pss),1991-08-22 00:00:00,1.7262,34.3862,N
