Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.5554,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.5574,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.5602,43308.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.5638,43308.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.5681,43308.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.5733,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.5793,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.5861,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.5938,43312.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.6023,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.6117,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.6219,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.6331,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.645,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.6577,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.6709,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.6848,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.6992,43307.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.7141,43300.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.7295,43294.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.7454,43299.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.7616,43307.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.7784,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.7954,43298.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.8129,43297.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.8307,43299.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.8488,43299.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.8672,43299.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.886,43301.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.9049,43304.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.9241,43304.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.9434,43303.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.963,43303.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,0.9828,43303.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.0027,43303.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.0228,43303.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.0431,43304.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.0636,43303.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.0844,43301.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.1055,43303.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.1268,43304.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.1484,43305.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.1702,43305.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.1923,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.2145,43305.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.2369,43305.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.2593,43305.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.2818,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.3041,43307.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.3265,43307.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.3488,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.371,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.3931,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.4152,43305.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.4373,43305.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.4594,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.4817,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.504,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.5264,43305.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.549,43304.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.5717,43300.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.5945,43299.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.6173,43301.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.6403,43301.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.6633,43300.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.6864,43301.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.7095,43303.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.7326,43303.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.7557,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.7787,43312.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.8017,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.8247,43305.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.8477,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.8707,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.8937,43308.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.9167,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.9397,43308.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.9628,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,1.986,43312.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.0092,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.0325,43307.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.0558,43307.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.0793,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.1028,43313.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.1264,43313.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.1499,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.1735,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.197,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.2206,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.2443,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.2681,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.2919,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.3159,43312.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.3399,43313.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.364,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.3882,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.4125,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.4369,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.4615,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.4861,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.5109,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.5358,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.5609,43312.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.5861,43312.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.6114,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.6368,43312.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.6623,43312.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.6879,43312.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.7136,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.7395,43312.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.7655,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.7918,43307.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.8181,43308.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.8446,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.8714,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.8983,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.9253,43313.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.9525,43314.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,2.9797,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.0071,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.0346,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.0621,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.0897,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.1173,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.1451,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.1729,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.2007,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.2287,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.2567,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.2848,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.313,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.3413,43308.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.3696,43308.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.3979,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.4262,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.4546,43307.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.483,43305.99999999999,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.5114,43308.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.5398,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.5683,43311.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.5969,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.6255,43309.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.6542,43308.0,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.683,43310.00000000001,N
CONDUCTIVITY (sm),1991-08-22 00:00:00,3.7118,43312.0,N
