Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-13 00:00:00,0.4358,31.6388,N
SALINITY (pss),1991-08-13 00:00:00,0.4375,31.7439,N
SALINITY (pss),1991-08-13 00:00:00,0.4398,31.9401,N
SALINITY (pss),1991-08-13 00:00:00,0.4428,32.0924,N
SALINITY (pss),1991-08-13 00:00:00,0.4465,32.1951,N
SALINITY (pss),1991-08-13 00:00:00,0.451,32.2427,N
SALINITY (pss),1991-08-13 00:00:00,0.4563,32.2558,N
SALINITY (pss),1991-08-13 00:00:00,0.4624,32.3266,N
SALINITY (pss),1991-08-13 00:00:00,0.4695,32.4732,N
SALINITY (pss),1991-08-13 00:00:00,0.4775,32.6606,N
SALINITY (pss),1991-08-13 00:00:00,0.4864,32.9083,N
SALINITY (pss),1991-08-13 00:00:00,0.4961,33.231,N
SALINITY (pss),1991-08-13 00:00:00,0.5066,33.566,N
SALINITY (pss),1991-08-13 00:00:00,0.5179,33.8429,N
SALINITY (pss),1991-08-13 00:00:00,0.5299,34.0336,N
SALINITY (pss),1991-08-13 00:00:00,0.5427,34.1468,N
SALINITY (pss),1991-08-13 00:00:00,0.5562,34.222,N
SALINITY (pss),1991-08-13 00:00:00,0.5704,34.2865,N
SALINITY (pss),1991-08-13 00:00:00,0.5851,34.3369,N
SALINITY (pss),1991-08-13 00:00:00,0.6003,34.3733,N
SALINITY (pss),1991-08-13 00:00:00,0.6161,34.4068,N
SALINITY (pss),1991-08-13 00:00:00,0.6321,34.4381,N
SALINITY (pss),1991-08-13 00:00:00,0.6483,34.4661,N
SALINITY (pss),1991-08-13 00:00:00,0.6648,34.4982,N
SALINITY (pss),1991-08-13 00:00:00,0.6814,34.5284,N
SALINITY (pss),1991-08-13 00:00:00,0.6981,34.5438,N
SALINITY (pss),1991-08-13 00:00:00,0.7147,34.553,N
SALINITY (pss),1991-08-13 00:00:00,0.7314,34.568,N
SALINITY (pss),1991-08-13 00:00:00,0.748,34.5821,N
SALINITY (pss),1991-08-13 00:00:00,0.7645,34.5896,N
SALINITY (pss),1991-08-13 00:00:00,0.7809,34.5957,N
SALINITY (pss),1991-08-13 00:00:00,0.7973,34.6033,N
SALINITY (pss),1991-08-13 00:00:00,0.8134,34.612,N
SALINITY (pss),1991-08-13 00:00:00,0.8295,34.6214,N
SALINITY (pss),1991-08-13 00:00:00,0.8454,34.6282,N
SALINITY (pss),1991-08-13 00:00:00,0.8611,34.6308,N
SALINITY (pss),1991-08-13 00:00:00,0.8767,34.6311,N
SALINITY (pss),1991-08-13 00:00:00,0.8921,34.6316,N
SALINITY (pss),1991-08-13 00:00:00,0.9075,34.6351,N
SALINITY (pss),1991-08-13 00:00:00,0.9228,34.6416,N
SALINITY (pss),1991-08-13 00:00:00,0.9381,34.6484,N
SALINITY (pss),1991-08-13 00:00:00,0.9534,34.6516,N
SALINITY (pss),1991-08-13 00:00:00,0.9686,34.6518,N
SALINITY (pss),1991-08-13 00:00:00,0.9837,34.654,N
SALINITY (pss),1991-08-13 00:00:00,0.9988,34.6598,N
SALINITY (pss),1991-08-13 00:00:00,1.0138,34.6668,N
SALINITY (pss),1991-08-13 00:00:00,1.0288,34.6714,N
SALINITY (pss),1991-08-13 00:00:00,1.0437,34.6734,N
SALINITY (pss),1991-08-13 00:00:00,1.0585,34.6766,N
SALINITY (pss),1991-08-13 00:00:00,1.0732,34.678,N
SALINITY (pss),1991-08-13 00:00:00,1.0877,34.6783,N
SALINITY (pss),1991-08-13 00:00:00,1.1021,34.682,N
SALINITY (pss),1991-08-13 00:00:00,1.1164,34.6828,N
SALINITY (pss),1991-08-13 00:00:00,1.1305,34.6797,N
SALINITY (pss),1991-08-13 00:00:00,1.1443,34.6826,N
SALINITY (pss),1991-08-13 00:00:00,1.158,34.6871,N
SALINITY (pss),1991-08-13 00:00:00,1.1714,34.6871,N
SALINITY (pss),1991-08-13 00:00:00,1.1846,34.6898,N
SALINITY (pss),1991-08-13 00:00:00,1.1974,34.6936,N
SALINITY (pss),1991-08-13 00:00:00,1.21,34.6916,N
SALINITY (pss),1991-08-13 00:00:00,1.2222,34.6876,N
SALINITY (pss),1991-08-13 00:00:00,1.2342,34.6854,N
SALINITY (pss),1991-08-13 00:00:00,1.246,34.6863,N
SALINITY (pss),1991-08-13 00:00:00,1.2575,34.6899,N
SALINITY (pss),1991-08-13 00:00:00,1.2689,34.6908,N
SALINITY (pss),1991-08-13 00:00:00,1.2801,34.6894,N
SALINITY (pss),1991-08-13 00:00:00,1.2912,34.6908,N
SALINITY (pss),1991-08-13 00:00:00,1.3021,34.6936,N
SALINITY (pss),1991-08-13 00:00:00,1.3129,34.6964,N
SALINITY (pss),1991-08-13 00:00:00,1.3236,34.701,N
SALINITY (pss),1991-08-13 00:00:00,1.3342,34.7034,N
SALINITY (pss),1991-08-13 00:00:00,1.3448,34.7012,N
SALINITY (pss),1991-08-13 00:00:00,1.3551,34.7004,N
SALINITY (pss),1991-08-13 00:00:00,1.3655,34.7001,N
SALINITY (pss),1991-08-13 00:00:00,1.3757,34.6963,N
SALINITY (pss),1991-08-13 00:00:00,1.386,34.6942,N
SALINITY (pss),1991-08-13 00:00:00,1.3962,34.6949,N
SALINITY (pss),1991-08-13 00:00:00,1.4065,34.6932,N
SALINITY (pss),1991-08-13 00:00:00,1.4166,34.6933,N
SALINITY (pss),1991-08-13 00:00:00,1.4267,34.6979,N
SALINITY (pss),1991-08-13 00:00:00,1.4368,34.7022,N
SALINITY (pss),1991-08-13 00:00:00,1.447,34.704,N
SALINITY (pss),1991-08-13 00:00:00,1.4572,34.7038,N
SALINITY (pss),1991-08-13 00:00:00,1.4676,34.705,N
SALINITY (pss),1991-08-13 00:00:00,1.4781,34.7086,N
SALINITY (pss),1991-08-13 00:00:00,1.4887,34.7101,N
SALINITY (pss),1991-08-13 00:00:00,1.4994,34.7103,N
SALINITY (pss),1991-08-13 00:00:00,1.5103,34.7128,N
SALINITY (pss),1991-08-13 00:00:00,1.5215,34.7169,N
SALINITY (pss),1991-08-13 00:00:00,1.5327,34.7169,N
SALINITY (pss),1991-08-13 00:00:00,1.5441,34.7098,N
SALINITY (pss),1991-08-13 00:00:00,1.5555,34.7052,N
SALINITY (pss),1991-08-13 00:00:00,1.5671,34.7084,N
SALINITY (pss),1991-08-13 00:00:00,1.5788,34.7106,N
SALINITY (pss),1991-08-13 00:00:00,1.5905,34.7124,N
SALINITY (pss),1991-08-13 00:00:00,1.6023,34.7179,N
SALINITY (pss),1991-08-13 00:00:00,1.6143,34.719,N
SALINITY (pss),1991-08-13 00:00:00,1.6262,34.7165,N
SALINITY (pss),1991-08-13 00:00:00,1.6382,34.7191,N
SALINITY (pss),1991-08-13 00:00:00,1.6503,34.7192,N
SALINITY (pss),1991-08-13 00:00:00,1.6625,34.7135,N
SALINITY (pss),1991-08-13 00:00:00,1.6748,34.7152,N
SALINITY (pss),1991-08-13 00:00:00,1.6872,34.7207,N
SALINITY (pss),1991-08-13 00:00:00,1.6998,34.7175,N
SALINITY (pss),1991-08-13 00:00:00,1.7125,34.7151,N
SALINITY (pss),1991-08-13 00:00:00,1.7253,34.72,N
SALINITY (pss),1991-08-13 00:00:00,1.7384,34.7217,N
SALINITY (pss),1991-08-13 00:00:00,1.7515,34.7192,N
SALINITY (pss),1991-08-13 00:00:00,1.7649,34.7218,N
SALINITY (pss),1991-08-13 00:00:00,1.7786,34.7269,N
SALINITY (pss),1991-08-13 00:00:00,1.7924,34.7259,N
SALINITY (pss),1991-08-13 00:00:00,1.8063,34.7236,N
SALINITY (pss),1991-08-13 00:00:00,1.8205,34.7257,N
SALINITY (pss),1991-08-13 00:00:00,1.8349,34.7239,N
SALINITY (pss),1991-08-13 00:00:00,1.8495,34.7189,N
SALINITY (pss),1991-08-13 00:00:00,1.8643,34.7193,N
SALINITY (pss),1991-08-13 00:00:00,1.8793,34.7195,N
SALINITY (pss),1991-08-13 00:00:00,1.8944,34.7142,N
SALINITY (pss),1991-08-13 00:00:00,1.9095,34.7088,N
SALINITY (pss),1991-08-13 00:00:00,1.9248,34.7062,N
SALINITY (pss),1991-08-13 00:00:00,1.9402,34.706,N
SALINITY (pss),1991-08-13 00:00:00,1.9556,34.7064,N
SALINITY (pss),1991-08-13 00:00:00,1.9712,34.7089,N
SALINITY (pss),1991-08-13 00:00:00,1.9869,34.7138,N
SALINITY (pss),1991-08-13 00:00:00,2.0027,34.7147,N
SALINITY (pss),1991-08-13 00:00:00,2.0185,34.7142,N
SALINITY (pss),1991-08-13 00:00:00,2.0345,34.7166,N
SALINITY (pss),1991-08-13 00:00:00,2.0505,34.7158,N
SALINITY (pss),1991-08-13 00:00:00,2.0666,34.7121,N
SALINITY (pss),1991-08-13 00:00:00,2.0828,34.712,N
SALINITY (pss),1991-08-13 00:00:00,2.0991,34.7158,N
SALINITY (pss),1991-08-13 00:00:00,2.1155,34.7195,N
SALINITY (pss),1991-08-13 00:00:00,2.132,34.7189,N
SALINITY (pss),1991-08-13 00:00:00,2.1485,34.7167,N
SALINITY (pss),1991-08-13 00:00:00,2.1653,34.7197,N
SALINITY (pss),1991-08-13 00:00:00,2.1821,34.7235,N
SALINITY (pss),1991-08-13 00:00:00,2.199,34.7224,N
SALINITY (pss),1991-08-13 00:00:00,2.2161,34.7229,N
SALINITY (pss),1991-08-13 00:00:00,2.2332,34.7265,N
SALINITY (pss),1991-08-13 00:00:00,2.2505,34.723,N
SALINITY (pss),1991-08-13 00:00:00,2.2678,34.7173,N
SALINITY (pss),1991-08-13 00:00:00,2.2852,34.7211,N
SALINITY (pss),1991-08-13 00:00:00,2.3027,34.725,N
SALINITY (pss),1991-08-13 00:00:00,2.3202,34.7232,N
SALINITY (pss),1991-08-13 00:00:00,2.3379,34.7259,N
SALINITY (pss),1991-08-13 00:00:00,2.3556,34.731,N
SALINITY (pss),1991-08-13 00:00:00,2.3733,34.733,N
SALINITY (pss),1991-08-13 00:00:00,2.3911,34.7337,N
SALINITY (pss),1991-08-13 00:00:00,2.4089,34.7299,N
SALINITY (pss),1991-08-13 00:00:00,2.4267,34.7257,N
SALINITY (pss),1991-08-13 00:00:00,2.4445,34.7296,N
SALINITY (pss),1991-08-13 00:00:00,2.4624,34.7348,N
SALINITY (pss),1991-08-13 00:00:00,2.4801,34.7365,N
SALINITY (pss),1991-08-13 00:00:00,2.4979,34.7364,N
SALINITY (pss),1991-08-13 00:00:00,2.5156,34.7341,N
SALINITY (pss),1991-08-13 00:00:00,2.5333,34.7342,N
SALINITY (pss),1991-08-13 00:00:00,2.5511,34.7384,N
SALINITY (pss),1991-08-13 00:00:00,2.5688,34.7413,N
SALINITY (pss),1991-08-13 00:00:00,2.5866,34.7437,N
SALINITY (pss),1991-08-13 00:00:00,2.6042,34.7479,N
SALINITY (pss),1991-08-13 00:00:00,2.622,34.7511,N
SALINITY (pss),1991-08-13 00:00:00,2.6396,34.7525,N
SALINITY (pss),1991-08-13 00:00:00,2.6574,34.7521,N
SALINITY (pss),1991-08-13 00:00:00,2.6752,34.7501,N
SALINITY (pss),1991-08-13 00:00:00,2.6931,34.7504,N
SALINITY (pss),1991-08-13 00:00:00,2.7111,34.7523,N
SALINITY (pss),1991-08-13 00:00:00,2.7291,34.7498,N
SALINITY (pss),1991-08-13 00:00:00,2.7471,34.747,N
SALINITY (pss),1991-08-13 00:00:00,2.7651,34.7501,N
SALINITY (pss),1991-08-13 00:00:00,2.7832,34.7523,N
SALINITY (pss),1991-08-13 00:00:00,2.8013,34.7527,N
SALINITY (pss),1991-08-13 00:00:00,2.8195,34.7586,N
SALINITY (pss),1991-08-13 00:00:00,2.8377,34.7626,N
SALINITY (pss),1991-08-13 00:00:00,2.8559,34.7582,N
SALINITY (pss),1991-08-13 00:00:00,2.8742,34.7539,N
SALINITY (pss),1991-08-13 00:00:00,2.8923,34.7539,N
SALINITY (pss),1991-08-13 00:00:00,2.9103,34.7536,N
SALINITY (pss),1991-08-13 00:00:00,2.9283,34.7523,N
SALINITY (pss),1991-08-13 00:00:00,2.9461,34.7544,N
SALINITY (pss),1991-08-13 00:00:00,2.9639,34.7583,N
SALINITY (pss),1991-08-13 00:00:00,2.9816,34.758,N
SALINITY (pss),1991-08-13 00:00:00,2.9993,34.7566,N
SALINITY (pss),1991-08-13 00:00:00,3.0169,34.7599,N
SALINITY (pss),1991-08-13 00:00:00,3.0342,34.7649,N
SALINITY (pss),1991-08-13 00:00:00,3.0512,34.767,N
SALINITY (pss),1991-08-13 00:00:00,3.0679,34.7642,N
SALINITY (pss),1991-08-13 00:00:00,3.0844,34.7596,N
SALINITY (pss),1991-08-13 00:00:00,3.1005,34.7584,N
SALINITY (pss),1991-08-13 00:00:00,3.1162,34.7593,N
SALINITY (pss),1991-08-13 00:00:00,3.1315,34.7599,N
SALINITY (pss),1991-08-13 00:00:00,3.1463,34.7605,N
SALINITY (pss),1991-08-13 00:00:00,3.1606,34.7579,N
SALINITY (pss),1991-08-13 00:00:00,3.1743,34.7547,N
SALINITY (pss),1991-08-13 00:00:00,3.1875,34.7554,N
SALINITY (pss),1991-08-13 00:00:00,3.2001,34.7536,N
SALINITY (pss),1991-08-13 00:00:00,3.2123,34.7507,N
SALINITY (pss),1991-08-13 00:00:00,3.2239,34.7562,N
SALINITY (pss),1991-08-13 00:00:00,3.2352,34.7664,N
SALINITY (pss),1991-08-13 00:00:00,3.2459,34.7748,N
SALINITY (pss),1991-08-13 00:00:00,3.2564,34.7814,N
SALINITY (pss),1991-08-13 00:00:00,3.2665,34.7864,N
SALINITY (pss),1991-08-13 00:00:00,3.2762,34.7912,N
SALINITY (pss),1991-08-13 00:00:00,3.2858,34.7916,N
SALINITY (pss),1991-08-13 00:00:00,3.295,34.7845,N
SALINITY (pss),1991-08-13 00:00:00,3.3041,34.7808,N
SALINITY (pss),1991-08-13 00:00:00,3.3129,34.7848,N
SALINITY (pss),1991-08-13 00:00:00,3.3217,34.7871,N
SALINITY (pss),1991-08-13 00:00:00,3.3303,34.7857,N
SALINITY (pss),1991-08-13 00:00:00,3.3388,34.7839,N
SALINITY (pss),1991-08-13 00:00:00,3.3472,34.7826,N
SALINITY (pss),1991-08-13 00:00:00,3.3556,34.7808,N
SALINITY (pss),1991-08-13 00:00:00,3.364,34.7775,N
SALINITY (pss),1991-08-13 00:00:00,3.3725,34.7777,N
SALINITY (pss),1991-08-13 00:00:00,3.381,34.7816,N
SALINITY (pss),1991-08-13 00:00:00,3.3896,34.7818,N
SALINITY (pss),1991-08-13 00:00:00,3.3983,34.7813,N
SALINITY (pss),1991-08-13 00:00:00,3.4073,34.7861,N
SALINITY (pss),1991-08-13 00:00:00,3.4165,34.7905,N
SALINITY (pss),1991-08-13 00:00:00,3.4259,34.7921,N
SALINITY (pss),1991-08-13 00:00:00,3.4354,34.7927,N
SALINITY (pss),1991-08-13 00:00:00,3.4452,34.7908,N
SALINITY (pss),1991-08-13 00:00:00,3.4551,34.7882,N
SALINITY (pss),1991-08-13 00:00:00,3.4652,34.786,N
SALINITY (pss),1991-08-13 00:00:00,3.4755,34.7863,N
SALINITY (pss),1991-08-13 00:00:00,3.4861,34.7898,N
SALINITY (pss),1991-08-13 00:00:00,3.4968,34.789,N
SALINITY (pss),1991-08-13 00:00:00,3.5076,34.7824,N
SALINITY (pss),1991-08-13 00:00:00,3.5186,34.7764,N
SALINITY (pss),1991-08-13 00:00:00,3.5296,34.7743,N
SALINITY (pss),1991-08-13 00:00:00,3.5408,34.7762,N
SALINITY (pss),1991-08-13 00:00:00,3.5521,34.7784,N
SALINITY (pss),1991-08-13 00:00:00,3.5635,34.7791,N
SALINITY (pss),1991-08-13 00:00:00,3.5751,34.7811,N
SALINITY (pss),1991-08-13 00:00:00,3.5867,34.7836,N
SALINITY (pss),1991-08-13 00:00:00,3.5986,34.7861,N
SALINITY (pss),1991-08-13 00:00:00,3.6105,34.7889,N
SALINITY (pss),1991-08-13 00:00:00,3.6226,34.787,N
SALINITY (pss),1991-08-13 00:00:00,3.6349,34.7827,N
SALINITY (pss),1991-08-13 00:00:00,3.6474,34.7826,N
SALINITY (pss),1991-08-13 00:00:00,3.66,34.7826,N
SALINITY (pss),1991-08-13 00:00:00,3.6728,34.7809,N
SALINITY (pss),1991-08-13 00:00:00,3.6858,34.7821,N
SALINITY (pss),1991-08-13 00:00:00,3.6989,34.7853,N
SALINITY (pss),1991-08-13 00:00:00,3.7123,34.7875,N
SALINITY (pss),1991-08-13 00:00:00,3.7258,34.7862,N
SALINITY (pss),1991-08-13 00:00:00,3.7394,34.7832,N
SALINITY (pss),1991-08-13 00:00:00,3.7531,34.7859,N
SALINITY (pss),1991-08-13 00:00:00,3.7669,34.7901,N
SALINITY (pss),1991-08-13 00:00:00,3.7808,34.7892,N
SALINITY (pss),1991-08-13 00:00:00,3.7948,34.7923,N
SALINITY (pss),1991-08-13 00:00:00,3.8088,34.8001,N
SALINITY (pss),1991-08-13 00:00:00,3.8228,34.8026,N
SALINITY (pss),1991-08-13 00:00:00,3.8369,34.8057,N
SALINITY (pss),1991-08-13 00:00:00,3.851,34.8127,N
SALINITY (pss),1991-08-13 00:00:00,3.8651,34.8138,N
SALINITY (pss),1991-08-13 00:00:00,3.8791,34.8126,N
SALINITY (pss),1991-08-13 00:00:00,3.8932,34.8142,N
SALINITY (pss),1991-08-13 00:00:00,3.9071,34.8137,N
SALINITY (pss),1991-08-13 00:00:00,3.9211,34.8152,N
SALINITY (pss),1991-08-13 00:00:00,3.9349,34.82,N
SALINITY (pss),1991-08-13 00:00:00,3.9487,34.8214,N
SALINITY (pss),1991-08-13 00:00:00,3.9624,34.8205,N
SALINITY (pss),1991-08-13 00:00:00,3.976,34.8194,N
SALINITY (pss),1991-08-13 00:00:00,3.9896,34.8197,N
SALINITY (pss),1991-08-13 00:00:00,4.0031,34.8226,N
SALINITY (pss),1991-08-13 00:00:00,4.0166,34.8213,N
SALINITY (pss),1991-08-13 00:00:00,4.03,34.8182,N
SALINITY (pss),1991-08-13 00:00:00,4.0435,34.8218,N
SALINITY (pss),1991-08-13 00:00:00,4.057,34.8249,N
SALINITY (pss),1991-08-13 00:00:00,4.0706,34.8235,N
SALINITY (pss),1991-08-13 00:00:00,4.0841,34.8248,N
SALINITY (pss),1991-08-13 00:00:00,4.0978,34.8272,N
SALINITY (pss),1991-08-13 00:00:00,4.1116,34.8278,N
SALINITY (pss),1991-08-13 00:00:00,4.1255,34.8286,N
SALINITY (pss),1991-08-13 00:00:00,4.1395,34.8295,N
SALINITY (pss),1991-08-13 00:00:00,4.1538,34.8299,N
SALINITY (pss),1991-08-13 00:00:00,4.1684,34.8304,N
SALINITY (pss),1991-08-13 00:00:00,4.1832,34.8304,N
SALINITY (pss),1991-08-13 00:00:00,4.1983,34.8305,N
SALINITY (pss),1991-08-13 00:00:00,4.2136,34.8307,N
SALINITY (pss),1991-08-13 00:00:00,4.229,34.8302,N
SALINITY (pss),1991-08-13 00:00:00,4.2446,34.8317,N
SALINITY (pss),1991-08-13 00:00:00,4.2604,34.8325,N
SALINITY (pss),1991-08-13 00:00:00,4.2763,34.8288,N
SALINITY (pss),1991-08-13 00:00:00,4.2926,34.8283,N
SALINITY (pss),1991-08-13 00:00:00,4.3091,34.8315,N
SALINITY (pss),1991-08-13 00:00:00,4.3259,34.8301,N
SALINITY (pss),1991-08-13 00:00:00,4.3429,34.8298,N
SALINITY (pss),1991-08-13 00:00:00,4.3602,34.8328,N
SALINITY (pss),1991-08-13 00:00:00,4.3779,34.8324,N
SALINITY (pss),1991-08-13 00:00:00,4.3959,34.8327,N
SALINITY (pss),1991-08-13 00:00:00,4.4141,34.8336,N
SALINITY (pss),1991-08-13 00:00:00,4.4326,34.8312,N
SALINITY (pss),1991-08-13 00:00:00,4.4514,34.8301,N
SALINITY (pss),1991-08-13 00:00:00,4.4704,34.8297,N
SALINITY (pss),1991-08-13 00:00:00,4.4897,34.831,N
SALINITY (pss),1991-08-13 00:00:00,4.5091,34.8359,N
SALINITY (pss),1991-08-13 00:00:00,4.5288,34.8373,N
SALINITY (pss),1991-08-13 00:00:00,4.5485,34.837,N
SALINITY (pss),1991-08-13 00:00:00,4.5682,34.8402,N
SALINITY (pss),1991-08-13 00:00:00,4.5881,34.8415,N
SALINITY (pss),1991-08-13 00:00:00,4.608,34.8407,N
SALINITY (pss),1991-08-13 00:00:00,4.628,34.8419,N
SALINITY (pss),1991-08-13 00:00:00,4.648,34.8419,N
SALINITY (pss),1991-08-13 00:00:00,4.6679,34.8404,N
SALINITY (pss),1991-08-13 00:00:00,4.6879,34.8421,N
SALINITY (pss),1991-08-13 00:00:00,4.7078,34.8436,N
SALINITY (pss),1991-08-13 00:00:00,4.7276,34.8419,N
SALINITY (pss),1991-08-13 00:00:00,4.7473,34.8436,N
SALINITY (pss),1991-08-13 00:00:00,4.767,34.8482,N
SALINITY (pss),1991-08-13 00:00:00,4.7864,34.8474,N
SALINITY (pss),1991-08-13 00:00:00,4.8056,34.8459,N
SALINITY (pss),1991-08-13 00:00:00,4.8247,34.8489,N
SALINITY (pss),1991-08-13 00:00:00,4.8436,34.852,N
SALINITY (pss),1991-08-13 00:00:00,4.8623,34.8527,N
SALINITY (pss),1991-08-13 00:00:00,4.8809,34.8493,N
SALINITY (pss),1991-08-13 00:00:00,4.8992,34.8464,N
SALINITY (pss),1991-08-13 00:00:00,4.9172,34.8482,N
SALINITY (pss),1991-08-13 00:00:00,4.935,34.8466,N
SALINITY (pss),1991-08-13 00:00:00,4.9526,34.8436,N
SALINITY (pss),1991-08-13 00:00:00,4.97,34.846,N
SALINITY (pss),1991-08-13 00:00:00,4.9871,34.8458,N
SALINITY (pss),1991-08-13 00:00:00,5.004,34.8432,N
SALINITY (pss),1991-08-13 00:00:00,5.0204,34.8466,N
SALINITY (pss),1991-08-13 00:00:00,5.0365,34.8533,N
SALINITY (pss),1991-08-13 00:00:00,5.052,34.8575,N
SALINITY (pss),1991-08-13 00:00:00,5.0672,34.858,N
SALINITY (pss),1991-08-13 00:00:00,5.0818,34.856,N
SALINITY (pss),1991-08-13 00:00:00,5.096,34.8543,N
SALINITY (pss),1991-08-13 00:00:00,5.1098,34.8535,N
SALINITY (pss),1991-08-13 00:00:00,5.1231,34.8555,N
SALINITY (pss),1991-08-13 00:00:00,5.1359,34.8594,N
SALINITY (pss),1991-08-13 00:00:00,5.1483,34.8607,N
SALINITY (pss),1991-08-13 00:00:00,5.1602,34.8611,N
SALINITY (pss),1991-08-13 00:00:00,5.1717,34.8616,N
SALINITY (pss),1991-08-13 00:00:00,5.1828,34.8581,N
SALINITY (pss),1991-08-13 00:00:00,5.1936,34.8573,N
SALINITY (pss),1991-08-13 00:00:00,5.204,34.863,N
SALINITY (pss),1991-08-13 00:00:00,5.2143,34.8629,N
SALINITY (pss),1991-08-13 00:00:00,5.2243,34.8579,N
SALINITY (pss),1991-08-13 00:00:00,5.2341,34.859,N
SALINITY (pss),1991-08-13 00:00:00,5.2439,34.8603,N
SALINITY (pss),1991-08-13 00:00:00,5.2537,34.8587,N
SALINITY (pss),1991-08-13 00:00:00,5.2634,34.8599,N
SALINITY (pss),1991-08-13 00:00:00,5.2732,34.8614,N
SALINITY (pss),1991-08-13 00:00:00,5.283,34.8615,N
SALINITY (pss),1991-08-13 00:00:00,5.2931,34.8613,N
SALINITY (pss),1991-08-13 00:00:00,5.3033,34.8608,N
SALINITY (pss),1991-08-13 00:00:00,5.3136,34.8633,N
SALINITY (pss),1991-08-13 00:00:00,5.3241,34.864,N
SALINITY (pss),1991-08-13 00:00:00,5.3349,34.8605,N
SALINITY (pss),1991-08-13 00:00:00,5.3458,34.861,N
SALINITY (pss),1991-08-13 00:00:00,5.3569,34.8614,N
SALINITY (pss),1991-08-13 00:00:00,5.3682,34.8579,N
SALINITY (pss),1991-08-13 00:00:00,5.3797,34.8603,N
SALINITY (pss),1991-08-13 00:00:00,5.3913,34.8638,N
