Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-23 00:00:00,0.2832,0.1316,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.2863,0.1947,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.2908,0.2636,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.2968,0.3376,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3043,0.4161,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3133,0.499,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3242,0.5848,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3367,0.6708,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.351,0.7557,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.367,0.839,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3847,0.9181,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4039,0.9898,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4244,1.0535,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4462,1.1089,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4689,1.1565,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4925,1.1979,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.517,1.2322,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.542,1.2585,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.5674,1.2777,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.5932,1.2908,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.6192,1.2969,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.6452,1.2943,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.6712,1.2826,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.6966,1.2649,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.7218,1.2442,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.7465,1.2207,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.7707,1.1947,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.7943,1.1685,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.8174,1.1432,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.84,1.1178,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.8621,1.0922,N
