Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-11 00:00:00,0.2543,0.1116,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.2569,0.1624,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.2607,0.2166,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.2655,0.2743,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.2716,0.336,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.2789,0.4016,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.2876,0.471,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.2977,0.5435,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.3093,0.6184,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.3224,0.6941,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.3371,0.7687,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.3532,0.8402,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.3708,0.906,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.3896,0.9638,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4095,1.0144,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4303,1.059,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4519,1.0978,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4743,1.1307,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4973,1.1576,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.5207,1.1776,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.5445,1.1901,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.5685,1.1948,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.5924,1.192,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.6163,1.1825,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.6399,1.1665,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.6631,1.145,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.6857,1.1205,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7079,1.0945,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7295,1.0672,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7506,1.0402,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7711,1.0148,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7912,0.9897,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8107,0.9639,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8297,0.9388,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8482,0.915,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8663,0.8917,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8839,0.8681,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.901,0.8444,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9177,0.8218,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9339,0.8012,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9497,0.7822,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9652,0.764,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9802,0.747,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.995,0.732,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0095,0.7188,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0237,0.7067,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0377,0.6959,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0515,0.6867,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0652,0.6789,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0787,0.6717,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.092,0.6643,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1052,0.6569,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1183,0.6497,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1312,0.6422,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.144,0.6336,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1566,0.6234,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.169,0.6122,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1811,0.6001,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.193,0.5872,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2046,0.5742,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2159,0.5617,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.227,0.5505,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2379,0.5402,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2486,0.5309,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2592,0.5227,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2695,0.5155,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2798,0.5088,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2899,0.5023,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2999,0.4958,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3097,0.4892,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3194,0.4824,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.329,0.4756,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3385,0.4688,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3478,0.4624,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3569,0.4568,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.366,0.4521,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.375,0.4481,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3839,0.4451,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3928,0.4434,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4016,0.4433,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4105,0.4442,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4194,0.4457,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4283,0.4476,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4373,0.4503,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4463,0.4534,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4554,0.4555,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4646,0.4561,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4737,0.4558,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4828,0.4548,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4919,0.4529,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5009,0.4507,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5099,0.449,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5189,0.4479,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5278,0.4471,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5368,0.4461,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5457,0.4446,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5546,0.443,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5634,0.4422,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5722,0.4424,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5811,0.4431,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5899,0.4438,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5988,0.4447,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6077,0.4452,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6167,0.4444,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6255,0.4421,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6344,0.4396,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6431,0.4386,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6519,0.4395,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6607,0.441,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6695,0.4423,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6784,0.4436,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6872,0.4453,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6962,0.4471,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7051,0.4492,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7141,0.4514,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7232,0.4535,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7323,0.4553,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7414,0.4568,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7506,0.4577,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7597,0.458,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7689,0.4577,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.778,0.4571,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7872,0.4562,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7963,0.4553,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8054,0.4547,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8145,0.4544,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8236,0.4542,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8326,0.4542,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8417,0.4545,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8508,0.4553,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8599,0.4561,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.869,0.457,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8782,0.4585,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8874,0.4607,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8966,0.4633,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9059,0.4663,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9152,0.4699,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9247,0.4734,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9342,0.4762,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9438,0.4779,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9533,0.4782,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9629,0.4773,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9725,0.475,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9819,0.4716,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9913,0.4676,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0006,0.4631,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0099,0.4581,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.019,0.4531,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.028,0.4481,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0369,0.4432,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0457,0.4385,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0544,0.4341,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0631,0.4306,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0716,0.4286,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0802,0.428,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0887,0.4281,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0973,0.4288,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1059,0.4303,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1145,0.4325,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1232,0.4351,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1319,0.4379,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1407,0.4411,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1495,0.4447,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1585,0.4486,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1675,0.4527,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1766,0.4566,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1857,0.4599,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.195,0.4624,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.2043,0.464,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.2136,0.4647,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.2229,0.4646,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.2321,0.4638,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.2414,0.4626,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.2507,0.4608,N
