Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-11 00:00:00,0.2543,25.1176,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.2569,25.12,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.2607,25.1213,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.2655,25.1191,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.2716,25.1202,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.2789,25.1184,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.2876,25.1152,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.2977,25.1152,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.3093,25.1161,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.3224,25.1216,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.3371,25.1266,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.3532,25.1254,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.3708,25.125,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.3896,25.126,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.4095,25.1251,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.4303,25.1277,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.4519,25.1294,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.4743,25.1257,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.4973,25.1249,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.5207,25.1281,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.5445,25.1261,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.5685,25.1249,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.5924,25.1298,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.6163,25.1312,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.6399,25.1274,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.6631,25.1254,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.6857,25.1257,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.7079,25.1259,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.7295,25.1245,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.7506,25.1238,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.7711,25.1263,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.7912,25.1265,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.8107,25.125,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.8297,25.1261,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.8482,25.1276,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.8663,25.1304,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.8839,25.1324,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.901,25.1282,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.9177,25.1249,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.9339,25.1267,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.9497,25.1263,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.9652,25.1244,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.9802,25.1255,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.995,25.1255,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.0095,25.1216,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.0237,25.1206,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.0377,25.1237,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.0515,25.1218,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.0652,25.1174,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.0787,25.1204,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.092,25.1234,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.1052,25.1216,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.1183,25.125,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.1312,25.1291,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.144,25.127,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.1566,25.1252,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.169,25.1259,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.1811,25.1263,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.193,25.1267,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.2046,25.1255,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.2159,25.126,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.227,25.1284,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.2379,25.1279,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.2486,25.1251,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.2592,25.1238,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.2695,25.1252,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.2798,25.1255,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.2899,25.1245,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.2999,25.1265,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.3097,25.1282,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.3194,25.1277,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.329,25.1284,N
