Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1991-08-13 00:00:00,0.5213,23.0292,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5234,23.0481,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5264,23.0549,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5304,23.0648,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5352,23.1126,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5411,23.2167,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5481,23.3418,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.556,23.4549,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5648,23.5612,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5745,23.6584,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5849,23.7371,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.5959,23.7986,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.6073,23.8378,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.6191,23.8441,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.6312,23.8234,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.6435,23.8001,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.6559,23.7858,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.6682,23.7792,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.6805,23.7792,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.6929,23.7849,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.7052,23.8022,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.7174,23.8354,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.7296,23.8688,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.7419,23.8862,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.7543,23.8883,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.7665,23.8809,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.7788,23.8646,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.791,23.8501,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.8033,23.8493,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.8157,23.8585,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.828,23.8961,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.8404,24.0031,N
DENSITY (kgm-3),1991-08-13 00:00:00,0.8528,24.1697,N
