Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-13 00:00:00,0.3671,25.1339,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.3694,25.1367,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.3726,25.1383,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.377,25.1344,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.3825,25.13,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.3893,25.1327,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.3973,25.1343,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.4066,25.1296,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.4171,25.1283,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.4289,25.1316,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.4418,25.1321,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.4558,25.1324,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.4708,25.135,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.4867,25.1345,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.5034,25.1329,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.5207,25.135,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.5385,25.1361,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.5565,25.1353,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.5747,25.1355,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.593,25.1379,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.6111,25.1421,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.6289,25.1396,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.6464,25.1348,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.6635,25.1377,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.6803,25.1384,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.6966,25.1346,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.7123,25.135,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.7275,25.1357,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.7421,25.1332,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.7561,25.1332,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.7695,25.1376,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.7823,25.1409,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.7945,25.1403,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.806,25.1368,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.8169,25.136,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.8273,25.1399,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.8371,25.1403,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.8462,25.1366,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.8549,25.1372,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.8631,25.1399,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.8707,25.1383,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.878,25.1354,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.8848,25.137,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.8913,25.1406,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.8973,25.1388,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.903,25.1348,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9084,25.1353,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9134,25.1376,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9182,25.1381,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9227,25.1371,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9271,25.1349,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9313,25.1345,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9353,25.1353,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9391,25.1362,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9428,25.1368,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9462,25.1353,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9495,25.1349,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9527,25.1367,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9557,25.1351,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9586,25.1324,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9613,25.1349,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9639,25.1355,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9664,25.1331,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9689,25.1359,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9713,25.1396,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9737,25.1362,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9761,25.1326,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9785,25.1372,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9809,25.1415,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9834,25.1382,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.986,25.1372,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9888,25.1407,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9918,25.1411,N
