Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-13 00:00:00,0.3671,36.3473,N
SALINITY (pss),1992-03-13 00:00:00,0.3694,36.3497,N
SALINITY (pss),1992-03-13 00:00:00,0.3726,36.3513,N
SALINITY (pss),1992-03-13 00:00:00,0.377,36.3475,N
SALINITY (pss),1992-03-13 00:00:00,0.3825,36.3438,N
SALINITY (pss),1992-03-13 00:00:00,0.3893,36.3463,N
SALINITY (pss),1992-03-13 00:00:00,0.3973,36.3474,N
SALINITY (pss),1992-03-13 00:00:00,0.4066,36.3428,N
SALINITY (pss),1992-03-13 00:00:00,0.4171,36.3413,N
SALINITY (pss),1992-03-13 00:00:00,0.4289,36.3444,N
SALINITY (pss),1992-03-13 00:00:00,0.4418,36.3456,N
SALINITY (pss),1992-03-13 00:00:00,0.4558,36.3464,N
SALINITY (pss),1992-03-13 00:00:00,0.4708,36.3489,N
SALINITY (pss),1992-03-13 00:00:00,0.4867,36.3482,N
SALINITY (pss),1992-03-13 00:00:00,0.5034,36.3466,N
SALINITY (pss),1992-03-13 00:00:00,0.5207,36.3484,N
SALINITY (pss),1992-03-13 00:00:00,0.5385,36.3491,N
SALINITY (pss),1992-03-13 00:00:00,0.5565,36.3484,N
SALINITY (pss),1992-03-13 00:00:00,0.5747,36.3487,N
SALINITY (pss),1992-03-13 00:00:00,0.593,36.3512,N
SALINITY (pss),1992-03-13 00:00:00,0.6111,36.3551,N
SALINITY (pss),1992-03-13 00:00:00,0.6289,36.3528,N
SALINITY (pss),1992-03-13 00:00:00,0.6464,36.3485,N
SALINITY (pss),1992-03-13 00:00:00,0.6635,36.3509,N
SALINITY (pss),1992-03-13 00:00:00,0.6803,36.3512,N
SALINITY (pss),1992-03-13 00:00:00,0.6966,36.3471,N
SALINITY (pss),1992-03-13 00:00:00,0.7123,36.3473,N
SALINITY (pss),1992-03-13 00:00:00,0.7275,36.3479,N
SALINITY (pss),1992-03-13 00:00:00,0.7421,36.3456,N
SALINITY (pss),1992-03-13 00:00:00,0.7561,36.3461,N
SALINITY (pss),1992-03-13 00:00:00,0.7695,36.3508,N
SALINITY (pss),1992-03-13 00:00:00,0.7823,36.3542,N
SALINITY (pss),1992-03-13 00:00:00,0.7945,36.3537,N
SALINITY (pss),1992-03-13 00:00:00,0.806,36.3505,N
SALINITY (pss),1992-03-13 00:00:00,0.8169,36.3497,N
SALINITY (pss),1992-03-13 00:00:00,0.8273,36.3533,N
SALINITY (pss),1992-03-13 00:00:00,0.8371,36.3538,N
SALINITY (pss),1992-03-13 00:00:00,0.8462,36.3501,N
SALINITY (pss),1992-03-13 00:00:00,0.8549,36.3506,N
SALINITY (pss),1992-03-13 00:00:00,0.8631,36.3531,N
SALINITY (pss),1992-03-13 00:00:00,0.8707,36.3518,N
SALINITY (pss),1992-03-13 00:00:00,0.878,36.3491,N
SALINITY (pss),1992-03-13 00:00:00,0.8848,36.3501,N
SALINITY (pss),1992-03-13 00:00:00,0.8913,36.3534,N
SALINITY (pss),1992-03-13 00:00:00,0.8973,36.3521,N
SALINITY (pss),1992-03-13 00:00:00,0.903,36.3485,N
SALINITY (pss),1992-03-13 00:00:00,0.9084,36.3487,N
SALINITY (pss),1992-03-13 00:00:00,0.9134,36.3506,N
SALINITY (pss),1992-03-13 00:00:00,0.9182,36.3512,N
SALINITY (pss),1992-03-13 00:00:00,0.9227,36.35,N
SALINITY (pss),1992-03-13 00:00:00,0.9271,36.348,N
SALINITY (pss),1992-03-13 00:00:00,0.9313,36.3475,N
SALINITY (pss),1992-03-13 00:00:00,0.9353,36.3481,N
SALINITY (pss),1992-03-13 00:00:00,0.9391,36.3489,N
SALINITY (pss),1992-03-13 00:00:00,0.9428,36.3494,N
SALINITY (pss),1992-03-13 00:00:00,0.9462,36.348,N
SALINITY (pss),1992-03-13 00:00:00,0.9495,36.3473,N
SALINITY (pss),1992-03-13 00:00:00,0.9527,36.3488,N
SALINITY (pss),1992-03-13 00:00:00,0.9557,36.3471,N
SALINITY (pss),1992-03-13 00:00:00,0.9586,36.3445,N
SALINITY (pss),1992-03-13 00:00:00,0.9613,36.3468,N
SALINITY (pss),1992-03-13 00:00:00,0.9639,36.3476,N
SALINITY (pss),1992-03-13 00:00:00,0.9664,36.3455,N
SALINITY (pss),1992-03-13 00:00:00,0.9689,36.3481,N
SALINITY (pss),1992-03-13 00:00:00,0.9713,36.3514,N
SALINITY (pss),1992-03-13 00:00:00,0.9737,36.3483,N
SALINITY (pss),1992-03-13 00:00:00,0.9761,36.3447,N
SALINITY (pss),1992-03-13 00:00:00,0.9785,36.3489,N
SALINITY (pss),1992-03-13 00:00:00,0.9809,36.353,N
SALINITY (pss),1992-03-13 00:00:00,0.9834,36.3498,N
SALINITY (pss),1992-03-13 00:00:00,0.986,36.3486,N
