Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-13 00:00:00,0.135,17.4948,N
TEMPERATURE (C),1991-08-13 00:00:00,0.135,17.4955,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1351,17.4996,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1352,17.4982,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1354,17.4983,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1357,17.495,N
TEMPERATURE (C),1991-08-13 00:00:00,0.136,17.4938,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1364,17.4947,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1368,17.4956,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1373,17.4966,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1378,17.4973,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1385,17.4947,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1389,17.4958,N
TEMPERATURE (C),1991-08-13 00:00:00,0.14,17.4941,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1403,17.497,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1418,17.4988,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1418,17.4945,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1435,17.498,N
TEMPERATURE (C),1991-08-13 00:00:00,0.144,17.4947,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1452,17.4959,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1467,17.4967,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1471,17.4939,N
TEMPERATURE (C),1991-08-13 00:00:00,0.149,17.4957,N
TEMPERATURE (C),1991-08-13 00:00:00,0.15,17.4961,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1509,17.4972,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1528,17.4944,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1539,17.4946,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1548,17.4935,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1566,17.4952,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1584,17.4958,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1588,17.4952,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1602,17.4951,N
TEMPERATURE (C),1991-08-13 00:00:00,0.162,17.4937,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1637,17.4945,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1646,17.4937,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1655,17.4961,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1673,17.495,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1691,17.4945,N
TEMPERATURE (C),1991-08-13 00:00:00,0.171,17.4958,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1717,17.4955,N
TEMPERATURE (C),1991-08-13 00:00:00,0.173,17.4966,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1751,17.4964,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1772,17.4951,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1795,17.4959,N
TEMPERATURE (C),1991-08-13 00:00:00,0.18,17.4999,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1818,17.4997,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1841,17.4985,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1865,17.4952,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1889,17.4987,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1895,17.4973,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1913,17.5014,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1937,17.4992,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1961,17.4994,N
TEMPERATURE (C),1991-08-13 00:00:00,0.1985,17.5008,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2001,17.4974,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2008,17.4992,N
TEMPERATURE (C),1991-08-13 00:00:00,0.203,17.4981,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2051,17.5003,N
TEMPERATURE (C),1991-08-13 00:00:00,0.207,17.5006,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2088,17.4973,N
TEMPERATURE (C),1991-08-13 00:00:00,0.2104,17.4979,N
