Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-23 00:00:00,0.32,0.025,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3207,0.0352,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3215,0.0449,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3225,0.0537,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3236,0.0614,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3249,0.0681,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3264,0.0742,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3279,0.0796,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3296,0.0841,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3313,0.0875,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3331,0.0898,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3349,0.091,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3368,0.0917,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3386,0.0925,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3404,0.0941,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3423,0.0971,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3443,0.102,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3464,0.1088,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3486,0.1178,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.351,0.1292,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3537,0.1429,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3567,0.1583,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.36,0.1751,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3637,0.1938,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3677,0.2148,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3722,0.2381,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3772,0.2629,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3827,0.2884,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3888,0.3144,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.3953,0.341,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4024,0.3681,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.41,0.3957,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4182,0.4249,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.427,0.4558,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4364,0.4887,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4465,0.5242,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4573,0.563,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4689,0.6046,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4814,0.6485,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.4949,0.6929,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.5092,0.736,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.5244,0.7762,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.5403,0.8125,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.5569,0.8444,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.5742,0.872,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.5919,0.895,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.6101,0.9134,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.6285,0.9274,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.6472,0.9377,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.6661,0.945,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.6851,0.9497,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.7041,0.9517,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.7232,0.9508,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.7422,0.9472,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.7611,0.9425,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.7799,0.9374,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.7986,0.9318,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.8172,0.9257,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.8357,0.9187,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.854,0.911,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.8721,0.9032,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.8901,0.8956,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.9079,0.8884,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.9256,0.8811,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.9432,0.8724,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.9606,0.861,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.9777,0.8462,N
VELOCITY (ms-1),1992-03-23 00:00:00,0.9945,0.8277,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.0109,0.8064,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.0268,0.7837,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.0422,0.761,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.0572,0.7394,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.0717,0.7197,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.0859,0.7023,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.0998,0.6871,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.1134,0.6738,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.1267,0.663,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.1398,0.6545,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.1529,0.647,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.1657,0.6394,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.1784,0.6316,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.191,0.6248,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.2034,0.6194,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.2157,0.6157,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.228,0.614,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.2403,0.6136,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.2525,0.614,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.2648,0.6161,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.2771,0.6201,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.2896,0.6259,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.3021,0.6333,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.3149,0.6413,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.3278,0.6485,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.3409,0.654,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.354,0.6577,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.3672,0.6593,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.3804,0.6586,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.3936,0.6552,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.4067,0.6495,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.4196,0.6418,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.4324,0.6321,N
VELOCITY (ms-1),1992-03-23 00:00:00,1.4449,0.6205,N
