Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-13 00:00:00,0.5901,36.4259,N
SALINITY (pss),1992-03-13 00:00:00,0.5927,36.4277,N
SALINITY (pss),1992-03-13 00:00:00,0.5966,36.4289,N
SALINITY (pss),1992-03-13 00:00:00,0.6018,36.4283,N
SALINITY (pss),1992-03-13 00:00:00,0.6082,36.4279,N
SALINITY (pss),1992-03-13 00:00:00,0.616,36.4288,N
SALINITY (pss),1992-03-13 00:00:00,0.625,36.4276,N
SALINITY (pss),1992-03-13 00:00:00,0.6352,36.4281,N
SALINITY (pss),1992-03-13 00:00:00,0.6465,36.4306,N
SALINITY (pss),1992-03-13 00:00:00,0.6586,36.4264,N
SALINITY (pss),1992-03-13 00:00:00,0.6715,36.4225,N
SALINITY (pss),1992-03-13 00:00:00,0.6852,36.4263,N
SALINITY (pss),1992-03-13 00:00:00,0.6995,36.4259,N
SALINITY (pss),1992-03-13 00:00:00,0.7143,36.4201,N
SALINITY (pss),1992-03-13 00:00:00,0.7296,36.4207,N
SALINITY (pss),1992-03-13 00:00:00,0.7453,36.4248,N
SALINITY (pss),1992-03-13 00:00:00,0.7614,36.4261,N
SALINITY (pss),1992-03-13 00:00:00,0.778,36.4282,N
SALINITY (pss),1992-03-13 00:00:00,0.7949,36.4293,N
SALINITY (pss),1992-03-13 00:00:00,0.812,36.4275,N
SALINITY (pss),1992-03-13 00:00:00,0.8293,36.4273,N
SALINITY (pss),1992-03-13 00:00:00,0.8468,36.426,N
SALINITY (pss),1992-03-13 00:00:00,0.8642,36.4237,N
SALINITY (pss),1992-03-13 00:00:00,0.8816,36.4264,N
SALINITY (pss),1992-03-13 00:00:00,0.8989,36.4275,N
SALINITY (pss),1992-03-13 00:00:00,0.916,36.4256,N
SALINITY (pss),1992-03-13 00:00:00,0.933,36.4276,N
SALINITY (pss),1992-03-13 00:00:00,0.9498,36.4267,N
SALINITY (pss),1992-03-13 00:00:00,0.9664,36.4246,N
SALINITY (pss),1992-03-13 00:00:00,0.9827,36.4296,N
SALINITY (pss),1992-03-13 00:00:00,0.9988,36.4314,N
SALINITY (pss),1992-03-13 00:00:00,1.0147,36.4279,N
SALINITY (pss),1992-03-13 00:00:00,1.0302,36.4288,N
SALINITY (pss),1992-03-13 00:00:00,1.0455,36.43,N
