Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1991-08-22 00:00:00,0.4424,25.4945,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4441,25.4918,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4466,25.4915,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4499,25.4955,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4541,25.4978,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4594,25.4962,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4656,25.4944,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4728,25.4949,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4742,25.2295,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4756,25.2336,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4777,25.2358,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4809,25.2327,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4812,25.498,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4851,25.2296,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4905,25.498,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.4905,25.2305,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.497,25.2346,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5009,25.4951,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5045,25.2369,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5122,25.495,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5132,25.2367,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5231,25.2361,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5244,25.4959,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5341,25.2363,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5375,25.4962,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5461,25.2385,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5514,25.4965,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5593,25.2396,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.566,25.495,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5735,25.2394,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5812,25.4939,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5887,25.2412,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.5969,25.4929,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6048,25.2424,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.613,25.4917,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6219,25.2401,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6296,25.4929,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6397,25.2394,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6466,25.4933,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6583,25.2406,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6639,25.4913,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6776,25.2402,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6815,25.4924,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6975,25.2393,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.6992,25.4956,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7171,25.495,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7178,25.2385,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7352,25.4959,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7385,25.2369,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7534,25.4987,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7596,25.2371,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7718,25.4971,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7809,25.2396,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.7903,25.4959,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8026,25.2397,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8088,25.4962,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8244,25.236,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8275,25.4956,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8462,25.4982,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8466,25.2369,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.865,25.4985,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8691,25.2434,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8839,25.4929,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.8917,25.2422,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9029,25.4932,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9144,25.2369,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.922,25.4996,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9373,25.2389,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9411,25.4995,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9602,25.2402,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9603,25.4957,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9796,25.496,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9832,25.2366,N
DENSITY (kgm-3),1991-08-22 00:00:00,0.9989,25.4963,N
