Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4623,50944.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4649,50946.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4685,50949.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4734,50951.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4794,50948.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4869,50939.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4955,50946.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5053,50968.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5163,50970.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5282,50959.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.541,50964.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5548,50976.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5693,50980.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5845,50980.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6003,50978.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6166,50974.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6335,50976.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6508,50980.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6683,50973.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.686,50956.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7039,50950.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7218,50964.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7398,50965.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7577,50938.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7755,50927.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.793,50957.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8103,50974.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8273,50952.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8441,50942.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8605,50957.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8766,50960.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8923,50948.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9078,50946.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.923,50950.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9378,50946.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9525,50949.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.967,50957.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9813,50961.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9954,50965.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0094,50970.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0233,50967.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.037,50965.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0508,50967.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0645,50967.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0782,50963.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0919,50956.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1055,50950.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1192,50946.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1329,50944.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1466,50941.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1602,50939.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.174,50939.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1877,50938.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2016,50936.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2156,50936.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2297,50938.0,N
