Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-24 00:00:00,0.3254,0.121,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3283,0.1796,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3325,0.2425,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3379,0.3092,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3448,0.3791,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3531,0.4506,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3628,0.5226,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.374,0.5944,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3866,0.6633,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4006,0.7268,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4158,0.7855,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4321,0.8421,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4495,0.8975,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4681,0.9492,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4876,0.995,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.508,1.0356,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5291,1.0723,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5509,1.1048,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5734,1.1314,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5963,1.1523,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6196,1.1674,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6431,1.1764,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6667,1.1807,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6904,1.1818,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7141,1.18,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7377,1.175,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7611,1.1674,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7844,1.1572,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8075,1.1435,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8302,1.1275,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8525,1.1111,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8746,1.0944,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8964,1.0756,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.9177,1.0549,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.9386,1.0336,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.959,1.0121,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.9791,0.9906,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.9987,0.9695,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.0178,0.9495,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.0366,0.9319,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.055,0.9166,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.0732,0.902,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.0912,0.8868,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.1087,0.8706,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.126,0.8546,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.1429,0.8396,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.1595,0.8255,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.1759,0.8126,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.192,0.8007,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.2079,0.789,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.2236,0.7764,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.239,0.763,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.2541,0.7497,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.269,0.7375,N
