Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7718,43224.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7739,43221.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7768,43221.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7806,43220.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7854,43218.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7911,43223.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7978,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8054,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8139,43221.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8233,43216.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8335,43225.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8446,43237.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8563,43237.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8686,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8815,43221.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.895,43220.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9088,43221.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.923,43224.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9375,43231.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9522,43236.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9672,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9824,43231.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9977,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0131,43235.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0286,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.044,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0595,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0748,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.09,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1051,43228.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1202,43225.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1351,43226.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1499,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1647,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1794,43227.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1941,43228.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.2087,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.2232,43235.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.2376,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.252,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.2662,43235.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.2803,43235.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.2942,43235.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.3081,43235.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.3217,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.3353,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.3487,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.3619,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.3752,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.3884,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.4015,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.4148,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.428,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.4413,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.4547,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.468,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.4815,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.495,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.5085,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.5221,43236.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.5358,43236.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.5496,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.5635,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.5774,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.5914,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.6055,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.6198,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.6342,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.6486,43231.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.6633,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.678,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.6929,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.7078,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.7228,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.7379,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.7531,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.7684,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.7838,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.7993,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.8149,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.8306,43231.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.8464,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.8623,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.8784,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.8945,43227.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.9108,43227.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.9272,43228.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.9437,43228.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.9602,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.9768,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.9936,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.0104,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.0274,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.0445,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.0617,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.0791,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.0966,43231.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.1143,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.132,43235.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.1499,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.1679,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.1859,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.2041,43235.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.2224,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.2407,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.2591,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.2775,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.296,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.3145,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.333,43231.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.3514,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.3697,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.3879,43231.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.4061,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.424,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.4419,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.4596,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.4772,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.4947,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.512,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.5292,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.5462,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.5631,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.5798,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.5963,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.6127,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.629,43229.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.6451,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.6611,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.677,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.6929,43231.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.7087,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.7244,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.7401,43231.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.7558,43230.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.7714,43231.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.787,43232.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.8026,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.8182,43234.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.8338,43233.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,2.8494,43232.0,N
