Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-21 00:00:00,0.7718,16.2027,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7739,16.2031,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7768,16.2043,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7806,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7854,16.2053,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7911,16.2064,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7978,16.2044,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8054,16.2046,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8139,16.207,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8233,16.2051,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8335,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8446,16.2071,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8563,16.2072,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8686,16.2053,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8815,16.2058,N
TEMPERATURE (C),1991-08-21 00:00:00,0.895,16.2049,N
TEMPERATURE (C),1991-08-21 00:00:00,0.9088,16.2032,N
TEMPERATURE (C),1991-08-21 00:00:00,0.923,16.2061,N
TEMPERATURE (C),1991-08-21 00:00:00,0.9375,16.2077,N
TEMPERATURE (C),1991-08-21 00:00:00,0.9522,16.2037,N
TEMPERATURE (C),1991-08-21 00:00:00,0.9672,16.2024,N
TEMPERATURE (C),1991-08-21 00:00:00,0.9824,16.2044,N
TEMPERATURE (C),1991-08-21 00:00:00,0.9977,16.2043,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0131,16.2049,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0286,16.2055,N
TEMPERATURE (C),1991-08-21 00:00:00,1.044,16.2034,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0595,16.2036,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0748,16.2061,N
TEMPERATURE (C),1991-08-21 00:00:00,1.09,16.206,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1051,16.2048,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1202,16.2056,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1351,16.2058,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1499,16.204,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1647,16.2051,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1794,16.2067,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1941,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2087,16.2038,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2232,16.2056,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2376,16.2048,N
TEMPERATURE (C),1991-08-21 00:00:00,1.252,16.2059,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2662,16.2069,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2803,16.2048,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2942,16.2057,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3081,16.2067,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3217,16.2041,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3353,16.2044,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3487,16.2058,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3619,16.2056,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3752,16.2058,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3884,16.2045,N
TEMPERATURE (C),1991-08-21 00:00:00,1.4015,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,1.4148,16.2059,N
TEMPERATURE (C),1991-08-21 00:00:00,1.428,16.2051,N
TEMPERATURE (C),1991-08-21 00:00:00,1.4413,16.2051,N
TEMPERATURE (C),1991-08-21 00:00:00,1.4547,16.2058,N
TEMPERATURE (C),1991-08-21 00:00:00,1.468,16.2041,N
TEMPERATURE (C),1991-08-21 00:00:00,1.4815,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,1.495,16.206,N
TEMPERATURE (C),1991-08-21 00:00:00,1.5085,16.2061,N
TEMPERATURE (C),1991-08-21 00:00:00,1.5221,16.2064,N
TEMPERATURE (C),1991-08-21 00:00:00,1.5358,16.2059,N
TEMPERATURE (C),1991-08-21 00:00:00,1.5496,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,1.5635,16.2057,N
TEMPERATURE (C),1991-08-21 00:00:00,1.5774,16.2072,N
TEMPERATURE (C),1991-08-21 00:00:00,1.5914,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,1.6055,16.2038,N
TEMPERATURE (C),1991-08-21 00:00:00,1.6198,16.206,N
TEMPERATURE (C),1991-08-21 00:00:00,1.6342,16.2038,N
TEMPERATURE (C),1991-08-21 00:00:00,1.6486,16.2025,N
TEMPERATURE (C),1991-08-21 00:00:00,1.6633,16.2059,N
TEMPERATURE (C),1991-08-21 00:00:00,1.678,16.2068,N
TEMPERATURE (C),1991-08-21 00:00:00,1.6929,16.2038,N
TEMPERATURE (C),1991-08-21 00:00:00,1.7078,16.2024,N
TEMPERATURE (C),1991-08-21 00:00:00,1.7228,16.2041,N
TEMPERATURE (C),1991-08-21 00:00:00,1.7379,16.2056,N
TEMPERATURE (C),1991-08-21 00:00:00,1.7531,16.2038,N
TEMPERATURE (C),1991-08-21 00:00:00,1.7684,16.2024,N
TEMPERATURE (C),1991-08-21 00:00:00,1.7838,16.2031,N
TEMPERATURE (C),1991-08-21 00:00:00,1.7993,16.2038,N
TEMPERATURE (C),1991-08-21 00:00:00,1.8149,16.2062,N
TEMPERATURE (C),1991-08-21 00:00:00,1.8306,16.2063,N
TEMPERATURE (C),1991-08-21 00:00:00,1.8464,16.2016,N
TEMPERATURE (C),1991-08-21 00:00:00,1.8623,16.2017,N
TEMPERATURE (C),1991-08-21 00:00:00,1.8784,16.2069,N
TEMPERATURE (C),1991-08-21 00:00:00,1.8945,16.2071,N
TEMPERATURE (C),1991-08-21 00:00:00,1.9108,16.2025,N
TEMPERATURE (C),1991-08-21 00:00:00,1.9272,16.2028,N
TEMPERATURE (C),1991-08-21 00:00:00,1.9437,16.2068,N
TEMPERATURE (C),1991-08-21 00:00:00,1.9602,16.2047,N
TEMPERATURE (C),1991-08-21 00:00:00,1.9768,16.2019,N
TEMPERATURE (C),1991-08-21 00:00:00,1.9936,16.2043,N
TEMPERATURE (C),1991-08-21 00:00:00,2.0104,16.2054,N
TEMPERATURE (C),1991-08-21 00:00:00,2.0274,16.2054,N
TEMPERATURE (C),1991-08-21 00:00:00,2.0445,16.2057,N
TEMPERATURE (C),1991-08-21 00:00:00,2.0617,16.2033,N
TEMPERATURE (C),1991-08-21 00:00:00,2.0791,16.2022,N
TEMPERATURE (C),1991-08-21 00:00:00,2.0966,16.2032,N
TEMPERATURE (C),1991-08-21 00:00:00,2.1143,16.2035,N
TEMPERATURE (C),1991-08-21 00:00:00,2.132,16.2059,N
TEMPERATURE (C),1991-08-21 00:00:00,2.1499,16.2078,N
TEMPERATURE (C),1991-08-21 00:00:00,2.1679,16.204,N
TEMPERATURE (C),1991-08-21 00:00:00,2.1859,16.2003,N
TEMPERATURE (C),1991-08-21 00:00:00,2.2041,16.2027,N
TEMPERATURE (C),1991-08-21 00:00:00,2.2224,16.2048,N
TEMPERATURE (C),1991-08-21 00:00:00,2.2407,16.2025,N
TEMPERATURE (C),1991-08-21 00:00:00,2.2591,16.2029,N
TEMPERATURE (C),1991-08-21 00:00:00,2.2775,16.2046,N
TEMPERATURE (C),1991-08-21 00:00:00,2.296,16.2025,N
TEMPERATURE (C),1991-08-21 00:00:00,2.3145,16.2031,N
TEMPERATURE (C),1991-08-21 00:00:00,2.333,16.2041,N
TEMPERATURE (C),1991-08-21 00:00:00,2.3514,16.2015,N
TEMPERATURE (C),1991-08-21 00:00:00,2.3697,16.2026,N
TEMPERATURE (C),1991-08-21 00:00:00,2.3879,16.2046,N
TEMPERATURE (C),1991-08-21 00:00:00,2.4061,16.2027,N
TEMPERATURE (C),1991-08-21 00:00:00,2.424,16.2021,N
TEMPERATURE (C),1991-08-21 00:00:00,2.4419,16.2035,N
TEMPERATURE (C),1991-08-21 00:00:00,2.4596,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,2.4772,16.204,N
TEMPERATURE (C),1991-08-21 00:00:00,2.4947,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,2.512,16.2047,N
TEMPERATURE (C),1991-08-21 00:00:00,2.5292,16.2038,N
TEMPERATURE (C),1991-08-21 00:00:00,2.5462,16.2027,N
TEMPERATURE (C),1991-08-21 00:00:00,2.5631,16.2037,N
TEMPERATURE (C),1991-08-21 00:00:00,2.5798,16.2052,N
TEMPERATURE (C),1991-08-21 00:00:00,2.5963,16.2043,N
TEMPERATURE (C),1991-08-21 00:00:00,2.6127,16.2029,N
TEMPERATURE (C),1991-08-21 00:00:00,2.629,16.2043,N
TEMPERATURE (C),1991-08-21 00:00:00,2.6451,16.2054,N
TEMPERATURE (C),1991-08-21 00:00:00,2.6611,16.2041,N
TEMPERATURE (C),1991-08-21 00:00:00,2.677,16.203,N
TEMPERATURE (C),1991-08-21 00:00:00,2.6929,16.2033,N
TEMPERATURE (C),1991-08-21 00:00:00,2.7087,16.2043,N
TEMPERATURE (C),1991-08-21 00:00:00,2.7244,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,2.7401,16.204,N
TEMPERATURE (C),1991-08-21 00:00:00,2.7558,16.2044,N
TEMPERATURE (C),1991-08-21 00:00:00,2.7714,16.2036,N
TEMPERATURE (C),1991-08-21 00:00:00,2.787,16.2029,N
TEMPERATURE (C),1991-08-21 00:00:00,2.8026,16.2041,N
TEMPERATURE (C),1991-08-21 00:00:00,2.8182,16.2051,N
TEMPERATURE (C),1991-08-21 00:00:00,2.8338,16.2038,N
TEMPERATURE (C),1991-08-21 00:00:00,2.8494,16.2016,N
TEMPERATURE (C),1991-08-21 00:00:00,2.8651,16.2028,N
TEMPERATURE (C),1991-08-21 00:00:00,2.8808,16.2052,N
TEMPERATURE (C),1991-08-21 00:00:00,2.8966,16.2043,N
TEMPERATURE (C),1991-08-21 00:00:00,2.9123,16.2043,N
TEMPERATURE (C),1991-08-21 00:00:00,2.9282,16.206,N
TEMPERATURE (C),1991-08-21 00:00:00,2.944,16.2042,N
TEMPERATURE (C),1991-08-21 00:00:00,2.9599,16.2018,N
TEMPERATURE (C),1991-08-21 00:00:00,2.9758,16.2029,N
TEMPERATURE (C),1991-08-21 00:00:00,2.9916,16.2048,N
TEMPERATURE (C),1991-08-21 00:00:00,3.0075,16.2048,N
TEMPERATURE (C),1991-08-21 00:00:00,3.0234,16.2034,N
TEMPERATURE (C),1991-08-21 00:00:00,3.0393,16.2033,N
TEMPERATURE (C),1991-08-21 00:00:00,3.0553,16.2048,N
TEMPERATURE (C),1991-08-21 00:00:00,3.0713,16.2039,N
TEMPERATURE (C),1991-08-21 00:00:00,3.0873,16.2017,N
TEMPERATURE (C),1991-08-21 00:00:00,3.1035,16.2031,N
TEMPERATURE (C),1991-08-21 00:00:00,3.1198,16.2049,N
TEMPERATURE (C),1991-08-21 00:00:00,3.136,16.2025,N
TEMPERATURE (C),1991-08-21 00:00:00,3.1524,16.2012,N
TEMPERATURE (C),1991-08-21 00:00:00,3.1687,16.2037,N
TEMPERATURE (C),1991-08-21 00:00:00,3.185,16.2046,N
TEMPERATURE (C),1991-08-21 00:00:00,3.2014,16.2035,N
TEMPERATURE (C),1991-08-21 00:00:00,3.2178,16.204,N
TEMPERATURE (C),1991-08-21 00:00:00,3.2342,16.2044,N
TEMPERATURE (C),1991-08-21 00:00:00,3.2506,16.2033,N
TEMPERATURE (C),1991-08-21 00:00:00,3.2672,16.2022,N
TEMPERATURE (C),1991-08-21 00:00:00,3.2838,16.2022,N
TEMPERATURE (C),1991-08-21 00:00:00,3.3006,16.2029,N
TEMPERATURE (C),1991-08-21 00:00:00,3.3176,16.2029,N
TEMPERATURE (C),1991-08-21 00:00:00,3.3347,16.2033,N
TEMPERATURE (C),1991-08-21 00:00:00,3.3518,16.2037,N
TEMPERATURE (C),1991-08-21 00:00:00,3.3691,16.2022,N
TEMPERATURE (C),1991-08-21 00:00:00,3.3865,16.2029,N
TEMPERATURE (C),1991-08-21 00:00:00,3.404,16.2007,N
TEMPERATURE (C),1991-08-21 00:00:00,3.4215,16.1895,N
TEMPERATURE (C),1991-08-21 00:00:00,3.4391,16.1788,N
TEMPERATURE (C),1991-08-21 00:00:00,3.4568,16.1701,N
TEMPERATURE (C),1991-08-21 00:00:00,3.4747,16.1574,N
TEMPERATURE (C),1991-08-21 00:00:00,3.4927,16.1425,N
TEMPERATURE (C),1991-08-21 00:00:00,3.5109,16.1243,N
TEMPERATURE (C),1991-08-21 00:00:00,3.5294,16.1023,N
TEMPERATURE (C),1991-08-21 00:00:00,3.548,16.0846,N
TEMPERATURE (C),1991-08-21 00:00:00,3.5668,16.0774,N
TEMPERATURE (C),1991-08-21 00:00:00,3.5857,16.0724,N
TEMPERATURE (C),1991-08-21 00:00:00,3.6048,16.0626,N
TEMPERATURE (C),1991-08-21 00:00:00,3.624,16.0523,N
TEMPERATURE (C),1991-08-21 00:00:00,3.6433,16.0427,N
TEMPERATURE (C),1991-08-21 00:00:00,3.6628,16.0334,N
TEMPERATURE (C),1991-08-21 00:00:00,3.6824,16.0271,N
TEMPERATURE (C),1991-08-21 00:00:00,3.7022,16.023,N
TEMPERATURE (C),1991-08-21 00:00:00,3.7221,16.0188,N
TEMPERATURE (C),1991-08-21 00:00:00,3.7422,16.0127,N
TEMPERATURE (C),1991-08-21 00:00:00,3.7625,16.006,N
TEMPERATURE (C),1991-08-21 00:00:00,3.783,16.0019,N
TEMPERATURE (C),1991-08-21 00:00:00,3.8036,15.9981,N
