Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1128,43191.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.113,43188.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1132,43187.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1132,43193.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1133,43193.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1134,43186.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1134,43196.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1134,43198.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1136,43188.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1136,43198.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1138,43191.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1138,43197.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1139,43194.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1139,43196.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.114,43198.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.114,43198.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.114,43196.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.114,43202.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1141,43198.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.115,43205.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1167,43210.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1192,43212.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1224,43210.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1265,43207.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1316,43204.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1378,43202.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1452,43205.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1539,43206.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1638,43205.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1751,43202.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.1878,43198.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.2019,43200.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.2174,43204.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.2343,43206.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.2526,43208.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.2723,43211.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.2932,43210.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.3152,43208.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.3382,43208.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.362,43209.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.3865,43208.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.4117,43207.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.4373,43209.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.4634,43211.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.4899,43211.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5167,43212.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5437,43213.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5708,43213.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.598,43212.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6249,43209.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6517,43206.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.678,43206.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7039,43206.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7295,43202.99999999999,N
