Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-21 00:00:00,0.1128,34.189,N
SALINITY (pss),1991-08-21 00:00:00,0.113,34.1861,N
SALINITY (pss),1991-08-21 00:00:00,0.1132,34.1872,N
SALINITY (pss),1991-08-21 00:00:00,0.1132,34.1923,N
SALINITY (pss),1991-08-21 00:00:00,0.1133,34.1921,N
SALINITY (pss),1991-08-21 00:00:00,0.1134,34.1862,N
SALINITY (pss),1991-08-21 00:00:00,0.1134,34.1895,N
SALINITY (pss),1991-08-21 00:00:00,0.1134,34.1935,N
SALINITY (pss),1991-08-21 00:00:00,0.1136,34.1869,N
SALINITY (pss),1991-08-21 00:00:00,0.1136,34.1895,N
SALINITY (pss),1991-08-21 00:00:00,0.1138,34.1916,N
SALINITY (pss),1991-08-21 00:00:00,0.1138,34.1932,N
SALINITY (pss),1991-08-21 00:00:00,0.1139,34.1941,N
SALINITY (pss),1991-08-21 00:00:00,0.1139,34.1934,N
SALINITY (pss),1991-08-21 00:00:00,0.114,34.1952,N
SALINITY (pss),1991-08-21 00:00:00,0.114,34.1973,N
SALINITY (pss),1991-08-21 00:00:00,0.114,34.1984,N
SALINITY (pss),1991-08-21 00:00:00,0.1141,34.1983,N
SALINITY (pss),1991-08-21 00:00:00,0.115,34.2026,N
SALINITY (pss),1991-08-21 00:00:00,0.1167,34.2044,N
SALINITY (pss),1991-08-21 00:00:00,0.1192,34.2063,N
SALINITY (pss),1991-08-21 00:00:00,0.1224,34.2071,N
SALINITY (pss),1991-08-21 00:00:00,0.1265,34.204,N
SALINITY (pss),1991-08-21 00:00:00,0.1316,34.2007,N
SALINITY (pss),1991-08-21 00:00:00,0.1378,34.2006,N
SALINITY (pss),1991-08-21 00:00:00,0.1452,34.2005,N
SALINITY (pss),1991-08-21 00:00:00,0.1539,34.2012,N
SALINITY (pss),1991-08-21 00:00:00,0.1638,34.202,N
SALINITY (pss),1991-08-21 00:00:00,0.1751,34.1988,N
SALINITY (pss),1991-08-21 00:00:00,0.1878,34.198,N
SALINITY (pss),1991-08-21 00:00:00,0.2019,34.2011,N
SALINITY (pss),1991-08-21 00:00:00,0.2174,34.2005,N
SALINITY (pss),1991-08-21 00:00:00,0.2343,34.201,N
SALINITY (pss),1991-08-21 00:00:00,0.2526,34.2062,N
SALINITY (pss),1991-08-21 00:00:00,0.2723,34.2075,N
SALINITY (pss),1991-08-21 00:00:00,0.2932,34.2065,N
SALINITY (pss),1991-08-21 00:00:00,0.3152,34.209,N
SALINITY (pss),1991-08-21 00:00:00,0.3382,34.2093,N
SALINITY (pss),1991-08-21 00:00:00,0.362,34.2053,N
SALINITY (pss),1991-08-21 00:00:00,0.3865,34.2043,N
SALINITY (pss),1991-08-21 00:00:00,0.4117,34.2058,N
SALINITY (pss),1991-08-21 00:00:00,0.4373,34.2061,N
SALINITY (pss),1991-08-21 00:00:00,0.4634,34.2076,N
SALINITY (pss),1991-08-21 00:00:00,0.4899,34.209,N
SALINITY (pss),1991-08-21 00:00:00,0.5167,34.2081,N
SALINITY (pss),1991-08-21 00:00:00,0.5437,34.2076,N
