Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-21 00:00:00,0.308,16.2474,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3101,16.2507,N
TEMPERATURE (C),1991-08-21 00:00:00,0.313,16.2515,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3168,16.2469,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3213,16.2462,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3267,16.2503,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3329,16.251,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3401,16.2476,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3481,16.2469,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3571,16.2514,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3669,16.2517,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3775,16.2472,N
TEMPERATURE (C),1991-08-21 00:00:00,0.3888,16.25,N
TEMPERATURE (C),1991-08-21 00:00:00,0.4011,16.2532,N
TEMPERATURE (C),1991-08-21 00:00:00,0.4141,16.2483,N
TEMPERATURE (C),1991-08-21 00:00:00,0.4277,16.2482,N
TEMPERATURE (C),1991-08-21 00:00:00,0.4419,16.2529,N
TEMPERATURE (C),1991-08-21 00:00:00,0.4565,16.2505,N
TEMPERATURE (C),1991-08-21 00:00:00,0.4715,16.2473,N
TEMPERATURE (C),1991-08-21 00:00:00,0.4869,16.2505,N
TEMPERATURE (C),1991-08-21 00:00:00,0.5026,16.2539,N
TEMPERATURE (C),1991-08-21 00:00:00,0.5188,16.2507,N
TEMPERATURE (C),1991-08-21 00:00:00,0.5352,16.2466,N
TEMPERATURE (C),1991-08-21 00:00:00,0.552,16.2496,N
TEMPERATURE (C),1991-08-21 00:00:00,0.569,16.2511,N
TEMPERATURE (C),1991-08-21 00:00:00,0.5861,16.2485,N
TEMPERATURE (C),1991-08-21 00:00:00,0.6034,16.2523,N
TEMPERATURE (C),1991-08-21 00:00:00,0.6207,16.2551,N
TEMPERATURE (C),1991-08-21 00:00:00,0.638,16.2523,N
TEMPERATURE (C),1991-08-21 00:00:00,0.6553,16.2543,N
TEMPERATURE (C),1991-08-21 00:00:00,0.6725,16.2557,N
TEMPERATURE (C),1991-08-21 00:00:00,0.6898,16.2512,N
TEMPERATURE (C),1991-08-21 00:00:00,0.707,16.2511,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7242,16.2544,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7413,16.2542,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7584,16.2528,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7754,16.2529,N
TEMPERATURE (C),1991-08-21 00:00:00,0.7924,16.2555,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8093,16.2559,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8262,16.2514,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8429,16.2501,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8595,16.2544,N
TEMPERATURE (C),1991-08-21 00:00:00,0.876,16.2555,N
TEMPERATURE (C),1991-08-21 00:00:00,0.8924,16.2525,N
TEMPERATURE (C),1991-08-21 00:00:00,0.9087,16.2526,N
TEMPERATURE (C),1991-08-21 00:00:00,0.925,16.2542,N
TEMPERATURE (C),1991-08-21 00:00:00,0.941,16.2527,N
TEMPERATURE (C),1991-08-21 00:00:00,0.957,16.2516,N
TEMPERATURE (C),1991-08-21 00:00:00,0.9729,16.2538,N
TEMPERATURE (C),1991-08-21 00:00:00,0.9886,16.256,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0042,16.2537,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0197,16.2514,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0352,16.2544,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0506,16.2547,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0661,16.2505,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0815,16.2511,N
TEMPERATURE (C),1991-08-21 00:00:00,1.0971,16.2547,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1127,16.2541,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1285,16.252,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1443,16.2529,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1602,16.2546,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1762,16.2534,N
TEMPERATURE (C),1991-08-21 00:00:00,1.1923,16.2521,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2084,16.2548,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2246,16.2555,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2409,16.2517,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2573,16.2519,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2738,16.2537,N
TEMPERATURE (C),1991-08-21 00:00:00,1.2904,16.2527,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3072,16.2535,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3241,16.254,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3411,16.2532,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3583,16.2542,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3757,16.2535,N
TEMPERATURE (C),1991-08-21 00:00:00,1.3933,16.2518,N
TEMPERATURE (C),1991-08-21 00:00:00,1.4111,16.2526,N
TEMPERATURE (C),1991-08-21 00:00:00,1.4291,16.2536,N
