Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.638,43266.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6398,43263.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6424,43265.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6457,43268.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6497,43268.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6544,43263.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6599,43261.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6659,43263.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6727,43265.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6803,43259.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6887,43258.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6978,43262.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7077,43265.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7182,43262.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7293,43259.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.741,43263.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7533,43265.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7661,43261.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7794,43256.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.793,43257.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8069,43258.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8212,43254.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8357,43253.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8505,43257.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8653,43258.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8802,43252.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8952,43251.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9102,43257.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9253,43257.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9404,43250.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9556,43252.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9709,43261.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9861,43259.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0014,43251.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0167,43253.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0319,43261.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0472,43261.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0625,43254.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0779,43253.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.0933,43258.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1087,43263.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.124,43263.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1395,43259.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.155,43259.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1705,43262.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,1.1862,43262.0,N
