Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.542,43244.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5445,43246.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5481,43246.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5528,43248.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5585,43249.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5652,43249.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5729,43250.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5814,43249.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.5907,43244.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6007,43240.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6113,43239.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6226,43242.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6342,43249.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6462,43252.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6586,43248.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6712,43244.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6841,43246.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.6971,43247.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7103,43248.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7238,43249.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7373,43250.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7509,43249.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7645,43248.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7781,43244.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.7917,43240.99999999999,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8053,43246.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8188,43252.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8323,43249.00000000001,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8457,43243.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8592,43247.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8727,43255.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8863,43256.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.8998,43254.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9134,43254.0,N
CONDUCTIVITY (sm),1991-08-21 00:00:00,0.9269,43254.0,N
