Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1991-08-21 00:00:00,0.314,0.0464,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3151,0.072,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3168,0.102,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3191,0.1356,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3221,0.1723,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3259,0.2107,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3306,0.2491,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3359,0.2865,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.342,0.3229,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3489,0.3587,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3564,0.3938,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3646,0.4282,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3735,0.4612,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3831,0.4918,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.3933,0.5189,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.404,0.5417,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.415,0.5608,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.4264,0.5764,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.4381,0.5885,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.4501,0.5968,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.4621,0.6023,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.4742,0.6055,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.4863,0.6062,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.4985,0.6043,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.5106,0.6002,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.5225,0.5939,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.5343,0.5862,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.546,0.578,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.5575,0.5698,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.5688,0.5623,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.5799,0.5557,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.591,0.55,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.6019,0.5448,N
VELOCITY (ms-1),1991-08-21 00:00:00,0.6128,0.5402,N
