Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-21 00:00:00,0.314,34.2252,N
SALINITY (pss),1991-08-21 00:00:00,0.3151,34.2253,N
SALINITY (pss),1991-08-21 00:00:00,0.3168,34.2245,N
SALINITY (pss),1991-08-21 00:00:00,0.3191,34.2265,N
SALINITY (pss),1991-08-21 00:00:00,0.3221,34.2297,N
SALINITY (pss),1991-08-21 00:00:00,0.3259,34.2288,N
SALINITY (pss),1991-08-21 00:00:00,0.3306,34.2262,N
SALINITY (pss),1991-08-21 00:00:00,0.3359,34.2244,N
SALINITY (pss),1991-08-21 00:00:00,0.342,34.222,N
SALINITY (pss),1991-08-21 00:00:00,0.3489,34.2205,N
SALINITY (pss),1991-08-21 00:00:00,0.3564,34.2209,N
SALINITY (pss),1991-08-21 00:00:00,0.3646,34.2222,N
SALINITY (pss),1991-08-21 00:00:00,0.3735,34.2229,N
SALINITY (pss),1991-08-21 00:00:00,0.3831,34.2224,N
SALINITY (pss),1991-08-21 00:00:00,0.3933,34.2232,N
SALINITY (pss),1991-08-21 00:00:00,0.404,34.2262,N
SALINITY (pss),1991-08-21 00:00:00,0.415,34.2288,N
SALINITY (pss),1991-08-21 00:00:00,0.4264,34.2294,N
SALINITY (pss),1991-08-21 00:00:00,0.4381,34.2268,N
SALINITY (pss),1991-08-21 00:00:00,0.4501,34.2246,N
SALINITY (pss),1991-08-21 00:00:00,0.4621,34.2293,N
SALINITY (pss),1991-08-21 00:00:00,0.4742,34.236,N
SALINITY (pss),1991-08-21 00:00:00,0.4863,34.2355,N
SALINITY (pss),1991-08-21 00:00:00,0.4985,34.2297,N
SALINITY (pss),1991-08-21 00:00:00,0.5106,34.2254,N
SALINITY (pss),1991-08-21 00:00:00,0.5225,34.2252,N
SALINITY (pss),1991-08-21 00:00:00,0.5343,34.227,N
SALINITY (pss),1991-08-21 00:00:00,0.546,34.2279,N
SALINITY (pss),1991-08-21 00:00:00,0.5575,34.2265,N
SALINITY (pss),1991-08-21 00:00:00,0.5688,34.2245,N
SALINITY (pss),1991-08-21 00:00:00,0.5799,34.2279,N
SALINITY (pss),1991-08-21 00:00:00,0.591,34.2338,N
SALINITY (pss),1991-08-21 00:00:00,0.6019,34.2343,N
SALINITY (pss),1991-08-21 00:00:00,0.6128,34.2318,N
SALINITY (pss),1991-08-21 00:00:00,0.6235,34.2307,N
SALINITY (pss),1991-08-21 00:00:00,0.6342,34.2287,N
SALINITY (pss),1991-08-21 00:00:00,0.6448,34.2269,N
SALINITY (pss),1991-08-21 00:00:00,0.6554,34.229,N
