Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-27 00:00:00,0.3341,21.1381,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3356,21.1349,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3378,21.1334,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3407,21.1333,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3444,21.133,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3491,21.1336,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3547,21.1328,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3614,21.1313,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3691,21.1318,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3778,21.1305,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3875,21.128,N
TEMPERATURE (C),1992-03-27 00:00:00,0.3983,21.1274,N
TEMPERATURE (C),1992-03-27 00:00:00,0.4102,21.1261,N
TEMPERATURE (C),1992-03-27 00:00:00,0.4232,21.124,N
TEMPERATURE (C),1992-03-27 00:00:00,0.4371,21.1234,N
TEMPERATURE (C),1992-03-27 00:00:00,0.4521,21.1254,N
TEMPERATURE (C),1992-03-27 00:00:00,0.4679,21.1269,N
TEMPERATURE (C),1992-03-27 00:00:00,0.4845,21.1259,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5018,21.1262,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5197,21.1263,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5382,21.1256,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5571,21.1271,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5762,21.1265,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5956,21.1255,N
TEMPERATURE (C),1992-03-27 00:00:00,0.6152,21.1284,N
TEMPERATURE (C),1992-03-27 00:00:00,0.6348,21.1291,N
TEMPERATURE (C),1992-03-27 00:00:00,0.6545,21.129,N
TEMPERATURE (C),1992-03-27 00:00:00,0.6742,21.1313,N
TEMPERATURE (C),1992-03-27 00:00:00,0.6939,21.131,N
TEMPERATURE (C),1992-03-27 00:00:00,0.7135,21.1299,N
TEMPERATURE (C),1992-03-27 00:00:00,0.7331,21.1307,N
TEMPERATURE (C),1992-03-27 00:00:00,0.7525,21.131,N
TEMPERATURE (C),1992-03-27 00:00:00,0.7718,21.1317,N
TEMPERATURE (C),1992-03-27 00:00:00,0.791,21.1315,N
TEMPERATURE (C),1992-03-27 00:00:00,0.8099,21.1293,N
TEMPERATURE (C),1992-03-27 00:00:00,0.8285,21.1293,N
TEMPERATURE (C),1992-03-27 00:00:00,0.8469,21.1321,N
TEMPERATURE (C),1992-03-27 00:00:00,0.8649,21.1317,N
TEMPERATURE (C),1992-03-27 00:00:00,0.8827,21.1292,N
TEMPERATURE (C),1992-03-27 00:00:00,0.9001,21.1313,N
TEMPERATURE (C),1992-03-27 00:00:00,0.9172,21.1341,N
TEMPERATURE (C),1992-03-27 00:00:00,0.9339,21.1309,N
TEMPERATURE (C),1992-03-27 00:00:00,0.9503,21.1276,N
TEMPERATURE (C),1992-03-27 00:00:00,0.9663,21.1289,N
TEMPERATURE (C),1992-03-27 00:00:00,0.9818,21.1297,N
TEMPERATURE (C),1992-03-27 00:00:00,0.997,21.1275,N
TEMPERATURE (C),1992-03-27 00:00:00,1.0117,21.1259,N
TEMPERATURE (C),1992-03-27 00:00:00,1.0261,21.1269,N
TEMPERATURE (C),1992-03-27 00:00:00,1.0401,21.1271,N
TEMPERATURE (C),1992-03-27 00:00:00,1.0538,21.1253,N
TEMPERATURE (C),1992-03-27 00:00:00,1.0671,21.1257,N
TEMPERATURE (C),1992-03-27 00:00:00,1.0802,21.1263,N
TEMPERATURE (C),1992-03-27 00:00:00,1.0929,21.1243,N
TEMPERATURE (C),1992-03-27 00:00:00,1.1055,21.1241,N
TEMPERATURE (C),1992-03-27 00:00:00,1.1179,21.1259,N
TEMPERATURE (C),1992-03-27 00:00:00,1.1301,21.1257,N
TEMPERATURE (C),1992-03-27 00:00:00,1.1422,21.1248,N
TEMPERATURE (C),1992-03-27 00:00:00,1.1542,21.1239,N
TEMPERATURE (C),1992-03-27 00:00:00,1.1661,21.1239,N
TEMPERATURE (C),1992-03-27 00:00:00,1.1779,21.1259,N
TEMPERATURE (C),1992-03-27 00:00:00,1.1896,21.1255,N
TEMPERATURE (C),1992-03-27 00:00:00,1.2013,21.1237,N
TEMPERATURE (C),1992-03-27 00:00:00,1.2129,21.1243,N
TEMPERATURE (C),1992-03-27 00:00:00,1.2245,21.1247,N
TEMPERATURE (C),1992-03-27 00:00:00,1.2361,21.1255,N
TEMPERATURE (C),1992-03-27 00:00:00,1.2476,21.1264,N
TEMPERATURE (C),1992-03-27 00:00:00,1.259,21.1238,N
TEMPERATURE (C),1992-03-27 00:00:00,1.2705,21.1232,N
TEMPERATURE (C),1992-03-27 00:00:00,1.2821,21.1262,N
TEMPERATURE (C),1992-03-27 00:00:00,1.2939,21.128,N
TEMPERATURE (C),1992-03-27 00:00:00,1.3058,21.1263,N
TEMPERATURE (C),1992-03-27 00:00:00,1.318,21.1228,N
TEMPERATURE (C),1992-03-27 00:00:00,1.3304,21.1238,N
TEMPERATURE (C),1992-03-27 00:00:00,1.3431,21.1266,N
TEMPERATURE (C),1992-03-27 00:00:00,1.3561,21.1261,N
TEMPERATURE (C),1992-03-27 00:00:00,1.3693,21.1279,N
TEMPERATURE (C),1992-03-27 00:00:00,1.3827,21.1289,N
TEMPERATURE (C),1992-03-27 00:00:00,1.3965,21.1259,N
TEMPERATURE (C),1992-03-27 00:00:00,1.4105,21.1267,N
TEMPERATURE (C),1992-03-27 00:00:00,1.4248,21.1303,N
TEMPERATURE (C),1992-03-27 00:00:00,1.4393,21.1307,N
TEMPERATURE (C),1992-03-27 00:00:00,1.4542,21.1279,N
TEMPERATURE (C),1992-03-27 00:00:00,1.4693,21.1253,N
TEMPERATURE (C),1992-03-27 00:00:00,1.4848,21.1265,N
TEMPERATURE (C),1992-03-27 00:00:00,1.5005,21.1276,N
TEMPERATURE (C),1992-03-27 00:00:00,1.5164,21.1272,N
TEMPERATURE (C),1992-03-27 00:00:00,1.5327,21.1266,N
TEMPERATURE (C),1992-03-27 00:00:00,1.5492,21.1259,N
TEMPERATURE (C),1992-03-27 00:00:00,1.5659,21.1309,N
TEMPERATURE (C),1992-03-27 00:00:00,1.5828,21.1346,N
TEMPERATURE (C),1992-03-27 00:00:00,1.6,21.1286,N
TEMPERATURE (C),1992-03-27 00:00:00,1.6173,21.1278,N
TEMPERATURE (C),1992-03-27 00:00:00,1.6348,21.1338,N
TEMPERATURE (C),1992-03-27 00:00:00,1.6524,21.1311,N
TEMPERATURE (C),1992-03-27 00:00:00,1.6703,21.1274,N
TEMPERATURE (C),1992-03-27 00:00:00,1.6884,21.1308,N
TEMPERATURE (C),1992-03-27 00:00:00,1.7066,21.1318,N
TEMPERATURE (C),1992-03-27 00:00:00,1.7249,21.13,N
TEMPERATURE (C),1992-03-27 00:00:00,1.7434,21.1308,N
TEMPERATURE (C),1992-03-27 00:00:00,1.762,21.1326,N
TEMPERATURE (C),1992-03-27 00:00:00,1.7806,21.1337,N
TEMPERATURE (C),1992-03-27 00:00:00,1.7993,21.1324,N
TEMPERATURE (C),1992-03-27 00:00:00,1.8181,21.1304,N
TEMPERATURE (C),1992-03-27 00:00:00,1.8369,21.132,N
TEMPERATURE (C),1992-03-27 00:00:00,1.8558,21.1357,N
TEMPERATURE (C),1992-03-27 00:00:00,1.8747,21.1374,N
TEMPERATURE (C),1992-03-27 00:00:00,1.8936,21.1356,N
TEMPERATURE (C),1992-03-27 00:00:00,1.9126,21.1358,N
TEMPERATURE (C),1992-03-27 00:00:00,1.9317,21.139,N
TEMPERATURE (C),1992-03-27 00:00:00,1.9509,21.1374,N
TEMPERATURE (C),1992-03-27 00:00:00,1.9702,21.1331,N
TEMPERATURE (C),1992-03-27 00:00:00,1.9895,21.1329,N
TEMPERATURE (C),1992-03-27 00:00:00,2.0088,21.1334,N
TEMPERATURE (C),1992-03-27 00:00:00,2.0281,21.1344,N
TEMPERATURE (C),1992-03-27 00:00:00,2.0475,21.1373,N
TEMPERATURE (C),1992-03-27 00:00:00,2.0668,21.1377,N
TEMPERATURE (C),1992-03-27 00:00:00,2.0861,21.1361,N
TEMPERATURE (C),1992-03-27 00:00:00,2.1055,21.1356,N
TEMPERATURE (C),1992-03-27 00:00:00,2.1249,21.1353,N
TEMPERATURE (C),1992-03-27 00:00:00,2.1443,21.1346,N
TEMPERATURE (C),1992-03-27 00:00:00,2.1638,21.1328,N
TEMPERATURE (C),1992-03-27 00:00:00,2.1833,21.1311,N
TEMPERATURE (C),1992-03-27 00:00:00,2.2029,21.1294,N
TEMPERATURE (C),1992-03-27 00:00:00,2.2225,21.1251,N
TEMPERATURE (C),1992-03-27 00:00:00,2.2422,21.1227,N
TEMPERATURE (C),1992-03-27 00:00:00,2.2621,21.1244,N
TEMPERATURE (C),1992-03-27 00:00:00,2.2821,21.1223,N
TEMPERATURE (C),1992-03-27 00:00:00,2.3022,21.1206,N
TEMPERATURE (C),1992-03-27 00:00:00,2.3224,21.1252,N
TEMPERATURE (C),1992-03-27 00:00:00,2.3426,21.1259,N
TEMPERATURE (C),1992-03-27 00:00:00,2.363,21.1223,N
TEMPERATURE (C),1992-03-27 00:00:00,2.3835,21.1243,N
TEMPERATURE (C),1992-03-27 00:00:00,2.404,21.1263,N
TEMPERATURE (C),1992-03-27 00:00:00,2.4247,21.1222,N
TEMPERATURE (C),1992-03-27 00:00:00,2.4454,21.1197,N
TEMPERATURE (C),1992-03-27 00:00:00,2.4661,21.1196,N
TEMPERATURE (C),1992-03-27 00:00:00,2.4868,21.1175,N
TEMPERATURE (C),1992-03-27 00:00:00,2.5076,21.1145,N
TEMPERATURE (C),1992-03-27 00:00:00,2.5283,21.1107,N
TEMPERATURE (C),1992-03-27 00:00:00,2.549,21.1097,N
TEMPERATURE (C),1992-03-27 00:00:00,2.5697,21.1118,N
TEMPERATURE (C),1992-03-27 00:00:00,2.5904,21.1111,N
TEMPERATURE (C),1992-03-27 00:00:00,2.6112,21.1102,N
