Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-12 00:00:00,0.433,22.7065,N
TEMPERATURE (C),1992-03-12 00:00:00,0.4357,22.706,N
TEMPERATURE (C),1992-03-12 00:00:00,0.4395,22.7021,N
TEMPERATURE (C),1992-03-12 00:00:00,0.4446,22.7019,N
TEMPERATURE (C),1992-03-12 00:00:00,0.451,22.7052,N
TEMPERATURE (C),1992-03-12 00:00:00,0.4588,22.7053,N
TEMPERATURE (C),1992-03-12 00:00:00,0.4681,22.7033,N
TEMPERATURE (C),1992-03-12 00:00:00,0.4787,22.7014,N
TEMPERATURE (C),1992-03-12 00:00:00,0.4905,22.7002,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5035,22.7016,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5126,22.8589,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5159,22.8593,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5175,22.7021,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5206,22.8617,N
TEMPERATURE (C),1992-03-12 00:00:00,0.527,22.8622,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5324,22.6988,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5351,22.8599,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5447,22.8586,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5482,22.6979,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5559,22.8622,N
TEMPERATURE (C),1992-03-12 00:00:00,0.565,22.7025,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5682,22.8641,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5817,22.8586,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5825,22.7011,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5962,22.8577,N
TEMPERATURE (C),1992-03-12 00:00:00,0.6007,22.6953,N
TEMPERATURE (C),1992-03-12 00:00:00,0.6117,22.8633,N
TEMPERATURE (C),1992-03-12 00:00:00,0.6194,22.7,N
TEMPERATURE (C),1992-03-12 00:00:00,0.6283,22.8616,N
TEMPERATURE (C),1992-03-12 00:00:00,0.6384,22.7045,N
TEMPERATURE (C),1992-03-12 00:00:00,0.6459,22.8581,N
TEMPERATURE (C),1992-03-12 00:00:00,0.6577,22.6996,N
TEMPERATURE (C),1992-03-12 00:00:00,0.6645,22.8613,N
TEMPERATURE (C),1992-03-12 00:00:00,0.677,22.6984,N
TEMPERATURE (C),1992-03-12 00:00:00,0.6838,22.862,N
