Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-24 00:00:00,0.3777,24.8486,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3806,24.8481,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3847,24.8467,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3899,24.8472,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3964,24.8447,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4043,24.8402,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4136,24.84,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4242,24.8386,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4361,24.838,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4493,24.8439,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4636,24.8451,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4789,24.8425,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4951,24.8434,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.512,24.8451,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5296,24.8508,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5479,24.8575,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5667,24.8571,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5858,24.8544,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6054,24.8546,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6251,24.8521,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6451,24.8475,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6652,24.8483,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6853,24.8473,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7053,24.8361,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7251,24.8268,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7447,24.8303,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7641,24.8358,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7831,24.8335,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8018,24.8304,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8202,24.834,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8381,24.8395,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8557,24.8413,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8727,24.8433,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8894,24.8429,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9056,24.8387,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9215,24.8446,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9369,24.8616,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.952,24.8691,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9667,24.8624,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9812,24.8566,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9954,24.8564,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0094,24.8553,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0232,24.8485,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0368,24.8407,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0502,24.8412,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0635,24.8483,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0768,24.8507,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.09,24.8519,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1032,24.8617,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1163,24.8698,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1294,24.8656,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1425,24.86,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1554,24.8616,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1683,24.8638,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1812,24.8639,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1941,24.8671,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2071,24.8669,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2202,24.8566,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2334,24.8508,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2466,24.8561,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.26,24.8572,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2735,24.853,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2873,24.8534,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3012,24.86,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3152,24.8698,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3295,24.8748,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.344,24.8718,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3586,24.8672,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3733,24.8656,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3881,24.8657,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.403,24.8638,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.418,24.8619,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4331,24.8645,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4481,24.8636,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4632,24.8574,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4783,24.8557,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4935,24.8555,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5087,24.8512,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.524,24.8518,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5394,24.8569,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.555,24.8589,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5707,24.8571,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5865,24.856,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6024,24.858,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6184,24.8605,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6344,24.8593,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6506,24.8583,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6669,24.8606,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6833,24.8599,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6998,24.8557,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7163,24.8546,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7329,24.8574,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7494,24.8586,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.766,24.858,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7825,24.8588,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7991,24.8595,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8156,24.8584,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8322,24.8604,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8488,24.8629,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8653,24.8624,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8818,24.8671,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8984,24.8717,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9149,24.861,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9314,24.8524,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9481,24.859,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9647,24.8617,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9814,24.8571,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9982,24.8596,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0149,24.8662,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0318,24.8711,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0488,24.8751,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0658,24.8743,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0828,24.8712,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0997,24.8729,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1165,24.8763,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1333,24.8746,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1501,24.8717,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1668,24.8749,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1835,24.881,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.2003,24.8818,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.217,24.8772,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.2338,24.8726,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.2507,24.874,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.2676,24.8816,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.2846,24.889,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3015,24.8984,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3185,24.9078,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3355,24.9076,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3527,24.8987,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3698,24.8956,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3869,24.8988,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.404,24.8931,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.4211,24.8855,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.4383,24.8903,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.4554,24.8942,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.4727,24.8895,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.4901,24.8882,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.5076,24.8939,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.525,24.8995,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.5426,24.8979,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.5602,24.8938,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.5779,24.8972,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.5956,24.8967,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.6134,24.8875,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.6312,24.8879,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.6492,24.894,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.6673,24.8903,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.6854,24.8895,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.7036,24.8971,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.7217,24.8965,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.7399,24.8921,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.758,24.8949,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.7761,24.8939,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.7941,24.8862,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.8121,24.8864,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.83,24.8944,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.8478,24.8984,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.8657,24.8939,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.8835,24.8899,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.9014,24.8951,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.9193,24.8961,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.9373,24.8859,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.9554,24.8833,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.9735,24.8885,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.9918,24.8881,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.0101,24.8899,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.0285,24.8948,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.0471,24.8914,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.0657,24.8894,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.0844,24.8936,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.1033,24.889,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.1224,24.8812,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.1416,24.886,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.1611,24.8925,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.1807,24.8896,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.2004,24.8892,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.2202,24.8939,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.2401,24.8927,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.2602,24.8907,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.2804,24.8993,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.3008,24.9063,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.3213,24.8983,N
