Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2643,50538.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2671,50536.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2716,50533.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2778,50525.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2857,50522.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2953,50535.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3068,50545.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3201,50538.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3353,50532.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3522,50530.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3709,50523.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3914,50523.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4132,50537.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4367,50542.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4614,50535.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4874,50529.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5142,50526.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5417,50521.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5697,50518.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5984,50523.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6274,50522.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6567,50517.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6862,50519.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7155,50522.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7446,50511.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7733,50496.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8018,50496.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.83,50498.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8577,50498.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8849,50496.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9115,50496.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9375,50495.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9628,50499.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9874,50498.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0113,50487.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0347,50479.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0574,50481.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0795,50476.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.101,50468.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1222,50472.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1429,50477.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1632,50474.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1832,50470.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2028,50462.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2222,50453.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2415,50450.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2606,50453.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2796,50455.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2984,50455.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3172,50450.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.336,50455.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3547,50475.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3734,50473.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3921,50442.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4108,50432.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4295,50447.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4482,50449.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4669,50442.0,N
