Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-24 00:00:00,0.4062,0.0766,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.408,0.1178,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4108,0.1654,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4146,0.2186,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4194,0.2778,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4256,0.3421,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4331,0.4092,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4419,0.476,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4521,0.5405,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4636,0.6009,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4763,0.6566,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.49,0.7066,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5047,0.7498,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5201,0.7864,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5362,0.8189,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5529,0.8491,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5702,0.8769,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.588,0.902,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6064,0.9229,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6251,0.9387,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.644,0.9498,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6631,0.9561,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6824,0.9563,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7015,0.9495,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7205,0.9362,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7391,0.9173,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7572,0.8943,N
