Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-24 00:00:00,0.4897,21.4611,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4916,21.4563,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4944,21.4512,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4981,21.4522,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5029,21.4544,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5087,21.4524,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5155,21.451,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5232,21.4495,N
TEMPERATURE (C),1992-03-24 00:00:00,0.532,21.4459,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5417,21.4445,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5522,21.4438,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5637,21.4408,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5759,21.4406,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5888,21.4422,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6023,21.4407,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6164,21.4391,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6309,21.439,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6458,21.4373,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6611,21.4372,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6766,21.4384,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6923,21.4346,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7082,21.4322,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7242,21.4365,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7402,21.4368,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7563,21.4335,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7723,21.4346,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7883,21.4355,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8044,21.4335,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8203,21.4329,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8363,21.4335,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8522,21.4334,N
TEMPERATURE (C),1992-03-24 00:00:00,0.868,21.4334,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8839,21.4327,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8999,21.4305,N
TEMPERATURE (C),1992-03-24 00:00:00,0.916,21.4293,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9321,21.4295,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9482,21.4283,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9643,21.4281,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9806,21.4295,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9969,21.4291,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0133,21.4305,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0296,21.4311,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0458,21.4256,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0622,21.4239,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0786,21.4262,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0953,21.4212,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1121,21.4156,N
TEMPERATURE (C),1992-03-24 00:00:00,1.129,21.414,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1462,21.4111,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1635,21.4098,N
TEMPERATURE (C),1992-03-24 00:00:00,1.181,21.4093,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1986,21.4076,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2163,21.4086,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2342,21.4099,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2522,21.4092,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2704,21.41,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2888,21.4115,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3073,21.4111,N
TEMPERATURE (C),1992-03-24 00:00:00,1.326,21.4078,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3448,21.4038,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3638,21.4059,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3828,21.4096,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4019,21.4056,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4212,21.4048,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4405,21.4095,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4599,21.4072,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4795,21.4059,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4991,21.4106,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5188,21.4086,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5384,21.4053,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5581,21.4078,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5779,21.4061,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5976,21.4025,N
TEMPERATURE (C),1992-03-24 00:00:00,1.6173,21.4062,N
TEMPERATURE (C),1992-03-24 00:00:00,1.6372,21.4077,N
TEMPERATURE (C),1992-03-24 00:00:00,1.657,21.4033,N
TEMPERATURE (C),1992-03-24 00:00:00,1.6768,21.4039,N
TEMPERATURE (C),1992-03-24 00:00:00,1.6965,21.4061,N
TEMPERATURE (C),1992-03-24 00:00:00,1.7163,21.4032,N
TEMPERATURE (C),1992-03-24 00:00:00,1.7362,21.4017,N
TEMPERATURE (C),1992-03-24 00:00:00,1.7561,21.402,N
TEMPERATURE (C),1992-03-24 00:00:00,1.7761,21.4003,N
TEMPERATURE (C),1992-03-24 00:00:00,1.796,21.399,N
TEMPERATURE (C),1992-03-24 00:00:00,1.8161,21.3978,N
TEMPERATURE (C),1992-03-24 00:00:00,1.8361,21.3976,N
TEMPERATURE (C),1992-03-24 00:00:00,1.8563,21.3988,N
TEMPERATURE (C),1992-03-24 00:00:00,1.8766,21.3977,N
TEMPERATURE (C),1992-03-24 00:00:00,1.897,21.3967,N
TEMPERATURE (C),1992-03-24 00:00:00,1.9177,21.397,N
TEMPERATURE (C),1992-03-24 00:00:00,1.9384,21.3967,N
TEMPERATURE (C),1992-03-24 00:00:00,1.9591,21.3985,N
TEMPERATURE (C),1992-03-24 00:00:00,1.9797,21.402,N
TEMPERATURE (C),1992-03-24 00:00:00,2.0004,21.4046,N
TEMPERATURE (C),1992-03-24 00:00:00,2.0211,21.4052,N
TEMPERATURE (C),1992-03-24 00:00:00,2.0418,21.4043,N
TEMPERATURE (C),1992-03-24 00:00:00,2.0625,21.4049,N
TEMPERATURE (C),1992-03-24 00:00:00,2.0833,21.4056,N
TEMPERATURE (C),1992-03-24 00:00:00,2.1042,21.4049,N
TEMPERATURE (C),1992-03-24 00:00:00,2.1251,21.4066,N
TEMPERATURE (C),1992-03-24 00:00:00,2.1461,21.4091,N
TEMPERATURE (C),1992-03-24 00:00:00,2.1673,21.4082,N
TEMPERATURE (C),1992-03-24 00:00:00,2.1885,21.4077,N
TEMPERATURE (C),1992-03-24 00:00:00,2.2097,21.4084,N
TEMPERATURE (C),1992-03-24 00:00:00,2.2309,21.409,N
TEMPERATURE (C),1992-03-24 00:00:00,2.252,21.4096,N
TEMPERATURE (C),1992-03-24 00:00:00,2.2731,21.4062,N
TEMPERATURE (C),1992-03-24 00:00:00,2.294,21.3998,N
TEMPERATURE (C),1992-03-24 00:00:00,2.3149,21.3957,N
TEMPERATURE (C),1992-03-24 00:00:00,2.3358,21.3924,N
TEMPERATURE (C),1992-03-24 00:00:00,2.3565,21.3901,N
TEMPERATURE (C),1992-03-24 00:00:00,2.3772,21.3887,N
TEMPERATURE (C),1992-03-24 00:00:00,2.3978,21.3853,N
TEMPERATURE (C),1992-03-24 00:00:00,2.4183,21.384,N
TEMPERATURE (C),1992-03-24 00:00:00,2.4387,21.387,N
TEMPERATURE (C),1992-03-24 00:00:00,2.4589,21.3875,N
TEMPERATURE (C),1992-03-24 00:00:00,2.4791,21.3857,N
TEMPERATURE (C),1992-03-24 00:00:00,2.4992,21.3896,N
TEMPERATURE (C),1992-03-24 00:00:00,2.5193,21.3932,N
TEMPERATURE (C),1992-03-24 00:00:00,2.5392,21.3892,N
TEMPERATURE (C),1992-03-24 00:00:00,2.5591,21.3891,N
TEMPERATURE (C),1992-03-24 00:00:00,2.5788,21.3915,N
TEMPERATURE (C),1992-03-24 00:00:00,2.5984,21.3854,N
TEMPERATURE (C),1992-03-24 00:00:00,2.6178,21.3809,N
TEMPERATURE (C),1992-03-24 00:00:00,2.6371,21.381,N
TEMPERATURE (C),1992-03-24 00:00:00,2.6564,21.3758,N
TEMPERATURE (C),1992-03-24 00:00:00,2.6757,21.3721,N
TEMPERATURE (C),1992-03-24 00:00:00,2.6951,21.3727,N
TEMPERATURE (C),1992-03-24 00:00:00,2.7145,21.3718,N
TEMPERATURE (C),1992-03-24 00:00:00,2.734,21.3743,N
