Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.258,50822.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2612,50823.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2659,50820.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2726,50814.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2808,50815.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.2909,50824.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3027,50828.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3164,50827.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.332,50835.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3496,50845.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.369,50834.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.3904,50812.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4135,50813.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4381,50839.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4638,50854.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4907,50843.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5184,50834.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5468,50837.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5758,50837.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6052,50834.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.635,50831.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6649,50827.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6949,50820.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7245,50810.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7538,50805.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7827,50813.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8111,50820.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.839,50817.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8664,50818.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8932,50822.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9194,50820.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9449,50819.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9696,50822.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9936,50822.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0169,50820.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0395,50819.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0614,50820.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0827,50820.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1034,50822.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1234,50822.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1429,50820.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1618,50823.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1801,50820.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1978,50807.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.215,50795.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2318,50797.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2482,50804.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2642,50804.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2798,50805.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2952,50811.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3104,50811.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3255,50804.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3403,50804.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3551,50811.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.37,50814.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3848,50809.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3997,50804.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4145,50805.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4294,50808.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4444,50805.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4595,50805.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4747,50804.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4901,50798.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5056,50798.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.521,50810.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5365,50809.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5521,50791.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.568,50786.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5839,50795.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5999,50796.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6156,50791.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6316,50794.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6478,50800.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6641,50799.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6805,50789.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.697,50781.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7135,50780.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7301,50779.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7469,50780.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7638,50790.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7808,50794.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7981,50778.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.8157,50771.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.8334,50779.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.8512,50779.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.8693,50775.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.8876,50779.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.9062,50777.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.9248,50781.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.9437,50799.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.9627,50797.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.9818,50773.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.001,50769.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.0202,50781.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.0396,50774.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.0591,50771.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.0786,50788.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.0983,50792.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.1181,50775.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.1381,50771.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.1582,50776.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.1785,50766.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.1988,50762.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.2192,50774.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.2398,50778.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.2605,50770.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.2814,50773.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.3024,50785.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.3237,50781.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.3451,50771.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.3666,50774.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.3882,50771.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.4099,50757.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.4316,50746.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.4533,50748.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.475,50758.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.4967,50763.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.5185,50750.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.5402,50739.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.562,50749.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.5838,50759.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.6056,50756.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.6275,50749.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.6493,50746.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.6712,50739.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.6932,50735.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.7151,50744.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.737,50746.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.759,50734.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.7809,50729.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.803,50737.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.825,50740.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.847,50740.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.8692,50739.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.8912,50737.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.9132,50731.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.9353,50724.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.9572,50719.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,2.9789,50721.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.0007,50729.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.0225,50731.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.0444,50729.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.0665,50730.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.0887,50726.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.1111,50721.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.1335,50723.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.156,50725.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.1785,50724.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.201,50730.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.2236,50734.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.2462,50727.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.2686,50724.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.2911,50726.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.3135,50723.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.3358,50724.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.3581,50728.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.3804,50725.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.4027,50721.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.4251,50723.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.4475,50721.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.4701,50720.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.4927,50727.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.5153,50731.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.5378,50721.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.5603,50710.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.583,50706.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.6055,50712.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.628,50718.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.6504,50719.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.673,50714.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.6956,50710.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.7184,50711.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.7412,50711.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.7641,50710.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.7871,50716.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.8102,50719.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.8332,50712.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.8563,50709.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.8793,50713.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.9024,50715.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.9254,50716.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.9485,50718.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.9718,50715.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,3.9953,50709.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.0187,50706.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.0424,50710.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.0661,50714.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.0899,50713.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.1138,50709.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.1376,50708.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.1613,50707.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.1851,50702.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.2089,50698.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.2328,50698.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.2568,50700.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.281,50698.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.3052,50693.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.3295,50692.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.3539,50693.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.3785,50692.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.403,50688.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.4276,50685.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.4522,50682.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.4768,50683.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,4.5014,50687.0,N
