Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-24 00:00:00,0.258,25.0215,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2612,25.0214,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2659,25.0206,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2726,25.0175,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2808,25.0148,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.2909,25.0206,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3027,25.0253,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3164,25.0206,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.332,25.0222,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3496,25.0316,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.369,25.0262,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.3904,25.0092,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4135,25.0111,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4381,25.0299,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4638,25.0355,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4907,25.0283,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5184,25.0267,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5468,25.0288,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5758,25.0287,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6052,25.0292,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.635,25.0297,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6649,25.0269,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6949,25.0219,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7245,25.0188,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7538,25.0197,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7827,25.0225,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8111,25.0255,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.839,25.0272,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8664,25.0269,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8932,25.0267,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9194,25.0275,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9449,25.0277,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9696,25.0269,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9936,25.0244,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0169,25.0229,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0395,25.0242,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0614,25.0264,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0827,25.0287,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1034,25.0321,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1234,25.0325,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1429,25.0315,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1618,25.0354,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1801,25.0369,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1978,25.0282,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.215,25.0195,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2318,25.0216,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2482,25.026,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2642,25.0244,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2798,25.0237,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2952,25.0262,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3104,25.026,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3255,25.024,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3403,25.0229,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3551,25.0266,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.37,25.0332,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3848,25.0319,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3997,25.0286,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4145,25.0331,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4294,25.0355,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4444,25.0325,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4595,25.0345,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4747,25.0364,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4901,25.0326,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5056,25.0341,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.521,25.0436,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5365,25.045,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5521,25.0345,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.568,25.0295,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5839,25.0348,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5999,25.0359,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6156,25.0328,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6316,25.0365,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6478,25.0397,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6641,25.0381,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.6805,25.0372,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.697,25.0355,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7135,25.0342,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7301,25.0356,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7469,25.0378,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7638,25.0427,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7808,25.0457,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.7981,25.0394,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8157,25.0341,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8334,25.0371,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8512,25.0399,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8693,25.0396,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.8876,25.0405,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9062,25.0419,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9248,25.0449,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9437,25.0542,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9627,25.0542,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.9818,25.0392,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.001,25.035,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0202,25.0452,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0396,25.0424,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0591,25.0367,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0786,25.0477,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.0983,25.0531,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1181,25.0419,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1381,25.0376,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1582,25.0411,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1785,25.038,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1988,25.0343,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.2192,25.0385,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.2398,25.0437,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.2605,25.0406,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.2814,25.0385,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3024,25.0452,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3237,25.0466,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3451,25.0421,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3666,25.0447,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.3882,25.05,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.4099,25.0481,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.4316,25.0426,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.4533,25.0436,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.475,25.051,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.4967,25.0532,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.5185,25.0465,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.5402,25.0411,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.562,25.0468,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.5838,25.0547,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.6056,25.0516,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.6275,25.0457,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.6493,25.0459,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.6712,25.0426,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.6932,25.0393,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.7151,25.0479,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.737,25.0525,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.759,25.0438,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.7809,25.0425,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.803,25.0505,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.825,25.0527,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.847,25.0554,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.8692,25.0597,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.8912,25.0554,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.9132,25.051,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.9353,25.0498,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.9572,25.0459,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.9789,25.0477,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.0007,25.0563,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.0225,25.0593,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.0444,25.0574,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.0665,25.0563,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.0887,25.0563,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.1111,25.0557,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.1335,25.0546,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.156,25.0553,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.1785,25.058,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.201,25.0609,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.2236,25.0626,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.2462,25.0612,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.2686,25.0605,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.2911,25.0614,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.3135,25.0596,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.3358,25.0613,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.3581,25.0665,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.3804,25.0613,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.4027,25.0533,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.4251,25.0548,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.4475,25.0549,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.4701,25.051,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.4927,25.0538,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.5153,25.0587,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.5378,25.0557,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.5603,25.0498,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.583,25.052,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.6055,25.0592,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.628,25.0616,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.6504,25.0641,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.673,25.0649,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.6956,25.0585,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.7184,25.058,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.7412,25.0631,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.7641,25.0613,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.7871,25.0616,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.8102,25.0656,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.8332,25.0608,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.8563,25.0558,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.8793,25.0602,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.9024,25.0642,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.9254,25.0626,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.9485,25.0627,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.9718,25.0632,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.9953,25.0594,N
DENSITY (kgm-3),1992-03-24 00:00:00,4.0187,25.0574,N
DENSITY (kgm-3),1992-03-24 00:00:00,4.0424,25.0586,N
DENSITY (kgm-3),1992-03-24 00:00:00,4.0661,25.061,N
DENSITY (kgm-3),1992-03-24 00:00:00,4.0899,25.0615,N
