Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-24 00:00:00,0.2122,0.1459,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.2157,0.2144,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.2207,0.2883,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.2271,0.3685,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.2353,0.4524,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.2453,0.5351,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.2568,0.6152,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.2699,0.6914,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.2845,0.7638,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3005,0.834,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3179,0.9032,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3367,0.9697,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3568,1.0302,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.3781,1.083,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4003,1.1278,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4233,1.1644,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.447,1.1935,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4712,1.2162,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.4957,1.2341,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5206,1.2491,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5458,1.2598,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5711,1.265,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.5964,1.2669,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6218,1.268,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6472,1.2688,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6725,1.2707,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.6979,1.2752,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7235,1.2808,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7492,1.2856,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.7749,1.2892,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8008,1.2904,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8266,1.2881,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.8524,1.2819,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.878,1.2724,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.9033,1.2611,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.9284,1.2498,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.9533,1.2386,N
VELOCITY (ms-1),1992-03-24 00:00:00,0.978,1.2263,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.0024,1.2129,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.0265,1.1982,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.0504,1.1811,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.0738,1.1625,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.0968,1.1449,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.1196,1.1283,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.142,1.1124,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.164,1.0978,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.1858,1.084,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.2074,1.0703,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.2287,1.0571,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.2496,1.0461,N
VELOCITY (ms-1),1992-03-24 00:00:00,1.2705,1.0375,N
