Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-24 00:00:00,0.2122,21.9003,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2157,21.8986,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2207,21.8977,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2271,21.8997,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2353,21.9002,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2453,21.8996,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2568,21.8991,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2699,21.8961,N
TEMPERATURE (C),1992-03-24 00:00:00,0.2845,21.8952,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3005,21.8998,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3179,21.9011,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3367,21.8946,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3568,21.8916,N
TEMPERATURE (C),1992-03-24 00:00:00,0.3781,21.8959,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4003,21.8963,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4233,21.8919,N
TEMPERATURE (C),1992-03-24 00:00:00,0.447,21.8916,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4712,21.8925,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4957,21.892,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5206,21.8945,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5458,21.8935,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5711,21.8891,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5964,21.8916,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6218,21.8933,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6472,21.8891,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6725,21.8898,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6979,21.8921,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7235,21.8901,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7492,21.8896,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7749,21.8902,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8008,21.889,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8266,21.8891,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8524,21.8897,N
TEMPERATURE (C),1992-03-24 00:00:00,0.878,21.8868,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9033,21.8855,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9284,21.8892,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9533,21.8896,N
TEMPERATURE (C),1992-03-24 00:00:00,0.978,21.8874,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0024,21.8881,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0265,21.8871,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0504,21.8859,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0738,21.8876,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0968,21.8873,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1196,21.8864,N
TEMPERATURE (C),1992-03-24 00:00:00,1.142,21.8874,N
TEMPERATURE (C),1992-03-24 00:00:00,1.164,21.8872,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1858,21.8867,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2074,21.8876,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2287,21.887,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2496,21.8854,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2705,21.885,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2911,21.8852,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3116,21.8848,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3321,21.8832,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3526,21.8842,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3731,21.8877,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3936,21.8858,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4143,21.8834,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4352,21.8866,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4563,21.8855,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4773,21.8811,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4984,21.8833,N
