Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-24 00:00:00,0.4682,25.0078,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4697,25.0083,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4721,25.0104,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4753,25.006,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4794,24.9998,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4846,25.0017,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4908,25.0033,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4981,25.0011,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5064,25.0026,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5158,25.0038,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5261,25.0035,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5375,25.0066,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5497,25.0076,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5629,25.0028,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5769,24.9979,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5915,25.0013,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6069,25.0109,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6227,25.0114,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6389,25.006,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6555,25.0095,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6724,25.0135,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.6895,25.0026,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7067,24.9874,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.724,24.9862,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7412,24.9895,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7584,24.9878,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7755,24.9941,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.7925,25.0045,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8093,25.0006,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8259,24.991,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8423,24.9939,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8585,25.0104,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8744,25.021,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.8901,25.014,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9055,25.0057,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9206,25.0067,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9356,25.0054,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9505,25.0033,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9651,25.0015,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9794,24.9955,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9936,24.9956,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0076,25.0031,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0214,25.0045,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.035,24.9999,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0485,25.0011,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0619,25.0045,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0753,25.0039,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0885,25.0109,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1018,25.021,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1151,25.0179,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1284,25.0094,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1418,25.0071,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1551,25.0078,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1684,25.0085,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.1817,25.0087,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.195,25.0066,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2083,25.0071,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2215,25.0094,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2347,25.0107,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.248,25.0155,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2614,25.0201,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.275,25.0199,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.2887,25.0201,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3026,25.0199,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3165,25.015,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3305,25.0114,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3446,25.0112,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3589,25.0109,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3733,25.011,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.3879,25.0088,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4026,25.0022,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4173,24.9979,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4322,25.0007,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4471,25.0059,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4621,25.0066,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4772,25.0061,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.4925,25.0094,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5079,25.0133,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5234,25.0099,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5392,25.0028,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.5551,25.0038,N
