Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-24 00:00:00,0.4682,22.1075,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4697,22.1061,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4721,22.1039,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4753,22.1055,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4794,22.1075,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4846,22.1071,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4908,22.1087,N
TEMPERATURE (C),1992-03-24 00:00:00,0.4981,22.1088,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5064,22.1063,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5158,22.108,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5261,22.1099,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5375,22.1085,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5497,22.1085,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5629,22.1073,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5769,22.1065,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5915,22.1086,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6069,22.1076,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6227,22.1054,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6389,22.1053,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6555,22.1031,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6724,22.1012,N
TEMPERATURE (C),1992-03-24 00:00:00,0.6895,22.1031,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7067,22.1043,N
TEMPERATURE (C),1992-03-24 00:00:00,0.724,22.1011,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7412,22.1003,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7584,22.1047,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7755,22.1038,N
TEMPERATURE (C),1992-03-24 00:00:00,0.7925,22.0998,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8093,22.1031,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8259,22.1069,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8423,22.1037,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8585,22.1015,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8744,22.105,N
TEMPERATURE (C),1992-03-24 00:00:00,0.8901,22.1075,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9055,22.1048,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9206,22.1034,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9356,22.1066,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9505,22.107,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9651,22.1033,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9794,22.1028,N
TEMPERATURE (C),1992-03-24 00:00:00,0.9936,22.1051,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0076,22.1045,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0214,22.1017,N
TEMPERATURE (C),1992-03-24 00:00:00,1.035,22.1006,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0485,22.0999,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0619,22.101,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0753,22.1045,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0885,22.1043,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1018,22.1021,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1151,22.1023,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1284,22.1015,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1418,22.1006,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1551,22.1017,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1684,22.1003,N
TEMPERATURE (C),1992-03-24 00:00:00,1.1817,22.0977,N
TEMPERATURE (C),1992-03-24 00:00:00,1.195,22.0978,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2083,22.0972,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2215,22.0947,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2347,22.0929,N
TEMPERATURE (C),1992-03-24 00:00:00,1.248,22.0909,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2614,22.09,N
TEMPERATURE (C),1992-03-24 00:00:00,1.275,22.0911,N
TEMPERATURE (C),1992-03-24 00:00:00,1.2887,22.0902,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3026,22.0897,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3165,22.0937,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3305,22.0981,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3446,22.0997,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3589,22.1002,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3733,22.1014,N
TEMPERATURE (C),1992-03-24 00:00:00,1.3879,22.1032,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4026,22.1042,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4173,22.1036,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4322,22.1016,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4471,22.0996,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4621,22.0987,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4772,22.097,N
TEMPERATURE (C),1992-03-24 00:00:00,1.4925,22.0956,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5079,22.0945,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5234,22.0915,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5392,22.0908,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5551,22.0912,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5712,22.0886,N
TEMPERATURE (C),1992-03-24 00:00:00,1.5876,22.0883,N
TEMPERATURE (C),1992-03-24 00:00:00,1.6042,22.0884,N
TEMPERATURE (C),1992-03-24 00:00:00,1.6211,22.0851,N
TEMPERATURE (C),1992-03-24 00:00:00,1.6382,22.0854,N
TEMPERATURE (C),1992-03-24 00:00:00,1.6555,22.0866,N
TEMPERATURE (C),1992-03-24 00:00:00,1.673,22.0847,N
TEMPERATURE (C),1992-03-24 00:00:00,1.6906,22.0867,N
TEMPERATURE (C),1992-03-24 00:00:00,1.7084,22.0871,N
TEMPERATURE (C),1992-03-24 00:00:00,1.7264,22.0831,N
TEMPERATURE (C),1992-03-24 00:00:00,1.7444,22.0856,N
TEMPERATURE (C),1992-03-24 00:00:00,1.7626,22.0871,N
TEMPERATURE (C),1992-03-24 00:00:00,1.7807,22.0812,N
TEMPERATURE (C),1992-03-24 00:00:00,1.799,22.0802,N
TEMPERATURE (C),1992-03-24 00:00:00,1.8173,22.0845,N
TEMPERATURE (C),1992-03-24 00:00:00,1.8356,22.0841,N
TEMPERATURE (C),1992-03-24 00:00:00,1.8539,22.0795,N
