Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4418,51890.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4441,51887.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4473,51887.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4517,51884.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4573,51882.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4642,51882.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4722,51880.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4814,51874.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.4917,51872.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5031,51874.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5155,51878.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5288,51879.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5428,51875.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5576,51871.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.5734,51871.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.59,51871.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6075,51870.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6258,51868.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6446,51868.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6639,51867.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.6834,51860.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.703,51848.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7226,51830.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7421,51815.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7616,51811.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7808,51830.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.7997,51860.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8183,51866.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8367,51849.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8547,51839.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8723,51844.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.8897,51851.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9067,51853.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9233,51856.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9395,51860.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9553,51862.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9708,51863.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,0.9859,51863.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0007,51859.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0152,51851.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0294,51844.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0435,51842.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0573,51844.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.071,51849.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0846,51853.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.0982,51858.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1117,51862.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1251,51864.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1385,51865.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1518,51866.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1651,51867.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1784,51864.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.1919,51857.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2055,51847.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2191,51839.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2329,51836.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2467,51833.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2606,51830.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2747,51830.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.2889,51832.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3032,51830.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3175,51828.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3318,51828.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3461,51818.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3605,51804.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3748,51804.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.3891,51819.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4034,51837.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4176,51841.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.432,51827.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4463,51814.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4607,51824.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.475,51838.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.4893,51839.00000000001,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5035,51832.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5177,51828.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.532,51827.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5462,51829.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5605,51830.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5749,51828.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.5893,51825.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6038,51827.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6182,51830.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6326,51830.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.647,51830.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6615,51830.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6762,51830.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.6908,51830.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7053,51828.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7199,51830.99999999999,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7348,51837.0,N
CONDUCTIVITY (sm),1992-03-24 00:00:00,1.7498,51840.0,N
