Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-11 00:00:00,0.4291,0.094,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4313,0.1399,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4346,0.1904,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4389,0.2446,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4443,0.3011,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4509,0.358,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4587,0.4127,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4675,0.4641,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4773,0.5139,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4881,0.5633,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.4998,0.6114,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.5126,0.6568,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.5262,0.6987,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.5406,0.7357,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.5557,0.7668,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.5714,0.7927,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.5875,0.8141,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.6041,0.8288,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.6208,0.8348,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.6376,0.8338,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.6543,0.8275,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.6708,0.8165,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.687,0.8012,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7029,0.7827,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7184,0.7621,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7334,0.7405,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.748,0.719,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7621,0.6981,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7759,0.6781,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.7892,0.6596,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8022,0.6436,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8149,0.6308,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8274,0.621,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8397,0.6132,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8519,0.607,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.864,0.6015,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.876,0.5955,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8878,0.5892,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.8995,0.5852,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9111,0.5854,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9228,0.5891,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9347,0.5943,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9466,0.5997,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9587,0.6057,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9708,0.6138,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9831,0.6255,N
VELOCITY (ms-1),1992-03-11 00:00:00,0.9958,0.6406,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0087,0.6575,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0221,0.6744,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0357,0.6902,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0497,0.7044,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0639,0.7176,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0784,0.7308,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.0932,0.7444,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1082,0.7589,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1235,0.7754,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1391,0.795,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1552,0.8192,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1718,0.8478,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.1891,0.8781,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2069,0.9069,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2254,0.9311,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2444,0.9482,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2635,0.9604,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.2827,0.9736,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3024,0.9867,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3223,0.9945,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3423,0.9964,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3622,0.9939,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.3821,0.9885,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4018,0.9814,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4214,0.974,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4408,0.9678,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.46,0.9641,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4792,0.9632,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.4985,0.9642,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5178,0.9658,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5371,0.9681,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5565,0.9715,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.576,0.9756,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.5955,0.9799,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6152,0.9836,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6349,0.9864,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6546,0.9892,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6744,0.9931,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.6944,0.9978,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7144,1.0029,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7345,1.0089,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7547,1.0162,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7751,1.0244,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.7957,1.0316,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8164,1.0364,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8372,1.0385,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.858,1.0387,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8787,1.0379,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.8995,1.0374,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9202,1.0373,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.941,1.0379,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9617,1.0395,N
VELOCITY (ms-1),1992-03-11 00:00:00,1.9825,1.0423,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0034,1.0464,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0244,1.0514,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0454,1.0575,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.0666,1.0646,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.088,1.0725,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1095,1.0808,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1312,1.0896,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1531,1.0992,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1752,1.1097,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.1975,1.1207,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.22,1.1319,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.2428,1.1431,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.2657,1.1544,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.2889,1.1661,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.3124,1.1776,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.3361,1.1882,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.3599,1.1981,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.384,1.2076,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.4082,1.2169,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.4327,1.2258,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.4573,1.234,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.482,1.242,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.5069,1.2509,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.532,1.2609,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.5574,1.2712,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.5829,1.2813,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.6086,1.291,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.6345,1.3002,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.6606,1.3082,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.6869,1.3136,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.7133,1.3169,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.7396,1.3201,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.766,1.3249,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.7926,1.3316,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.8193,1.3396,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.8461,1.3482,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.8732,1.3571,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.9004,1.3656,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.9278,1.3725,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.9554,1.376,N
VELOCITY (ms-1),1992-03-11 00:00:00,2.983,1.3753,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.0104,1.3719,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.0378,1.3669,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.0652,1.3593,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.0923,1.3495,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.1191,1.3388,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.1459,1.3278,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.1723,1.3192,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.1984,1.3175,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.2248,1.3224,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.2513,1.3295,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.278,1.336,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.3047,1.3437,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.3316,1.3549,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.3589,1.3667,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.3864,1.3747,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.414,1.3782,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.4416,1.38,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.4692,1.3841,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.4968,1.393,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.5248,1.4053,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.553,1.4187,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.5815,1.4322,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.6104,1.4444,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.6394,1.4547,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.6686,1.4645,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.698,1.474,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.7275,1.4824,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.7573,1.4899,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.7871,1.4968,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.8172,1.5033,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.8473,1.5094,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.8775,1.5153,N
VELOCITY (ms-1),1992-03-11 00:00:00,3.9079,1.5202,N
