Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-25 00:00:00,0.3195,22.3346,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3218,22.3342,N
TEMPERATURE (C),1992-03-25 00:00:00,0.325,22.3353,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3292,22.3337,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3343,22.3301,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3403,22.334,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3472,22.3381,N
TEMPERATURE (C),1992-03-25 00:00:00,0.355,22.3358,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3635,22.3361,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3729,22.3373,N
TEMPERATURE (C),1992-03-25 00:00:00,0.383,22.3347,N
TEMPERATURE (C),1992-03-25 00:00:00,0.3938,22.334,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4053,22.3347,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4173,22.3343,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4299,22.3337,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4431,22.3323,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4567,22.3321,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4707,22.3328,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4851,22.3321,N
TEMPERATURE (C),1992-03-25 00:00:00,0.4998,22.3314,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5148,22.3316,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5302,22.3331,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5458,22.3336,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5615,22.3309,N
TEMPERATURE (C),1992-03-25 00:00:00,0.5773,22.3309,N
TEMPERATURE (C),1992-03-25 00:00:00,0.593,22.3338,N
TEMPERATURE (C),1992-03-25 00:00:00,0.6087,22.3325,N
TEMPERATURE (C),1992-03-25 00:00:00,0.6244,22.3309,N
TEMPERATURE (C),1992-03-25 00:00:00,0.64,22.3333,N
TEMPERATURE (C),1992-03-25 00:00:00,0.6553,22.3343,N
TEMPERATURE (C),1992-03-25 00:00:00,0.6704,22.3336,N
TEMPERATURE (C),1992-03-25 00:00:00,0.6852,22.3348,N
TEMPERATURE (C),1992-03-25 00:00:00,0.6997,22.3364,N
TEMPERATURE (C),1992-03-25 00:00:00,0.714,22.3361,N
TEMPERATURE (C),1992-03-25 00:00:00,0.7279,22.3335,N
TEMPERATURE (C),1992-03-25 00:00:00,0.7415,22.3311,N
TEMPERATURE (C),1992-03-25 00:00:00,0.7548,22.3321,N
TEMPERATURE (C),1992-03-25 00:00:00,0.7678,22.3337,N
TEMPERATURE (C),1992-03-25 00:00:00,0.7805,22.3329,N
TEMPERATURE (C),1992-03-25 00:00:00,0.7929,22.334,N
TEMPERATURE (C),1992-03-25 00:00:00,0.805,22.3375,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8169,22.3366,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8285,22.335,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8399,22.3369,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8512,22.3366,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8623,22.3352,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8732,22.3345,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8841,22.3335,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8948,22.3364,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9055,22.3383,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9161,22.3354,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9266,22.3352,N
TEMPERATURE (C),1992-03-25 00:00:00,0.937,22.3363,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9474,22.3353,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9576,22.3363,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9678,22.3372,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9778,22.3351,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9877,22.3346,N
TEMPERATURE (C),1992-03-25 00:00:00,0.9973,22.3359,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0067,22.3351,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0159,22.3354,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0247,22.3379,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0333,22.3352,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0416,22.3315,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0497,22.3355,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0575,22.3374,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0652,22.3332,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0727,22.3335,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0802,22.3365,N
TEMPERATURE (C),1992-03-25 00:00:00,1.0876,22.3373,N
TEMPERATURE (C),1992-03-25 00:00:00,1.095,22.3367,N
TEMPERATURE (C),1992-03-25 00:00:00,1.1025,22.3337,N
TEMPERATURE (C),1992-03-25 00:00:00,1.1101,22.3324,N
