Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-25 00:00:00,0.3079,0.0837,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3099,0.1227,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3127,0.1652,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3164,0.2118,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3211,0.2621,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3268,0.3157,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3337,0.3721,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3417,0.4298,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3509,0.487,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3612,0.5426,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3726,0.595,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3851,0.6433,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.3984,0.6883,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4127,0.7309,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4277,0.7701,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4435,0.8051,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.46,0.8357,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4771,0.8608,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.4946,0.8799,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5124,0.8943,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5304,0.905,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5486,0.9128,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5669,0.9184,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.5854,0.9217,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.6039,0.9227,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.6223,0.9219,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.6408,0.92,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.6592,0.9168,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.6775,0.9122,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.6957,0.9072,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.7137,0.9024,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.7317,0.8985,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.7497,0.896,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.7676,0.894,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.7854,0.8922,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.8032,0.8909,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.821,0.8905,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.8388,0.8911,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.8567,0.8927,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.8745,0.8953,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.8925,0.8986,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.9104,0.9035,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.9286,0.9105,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.9468,0.9193,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.9653,0.9291,N
VELOCITY (ms-1),1992-03-25 00:00:00,0.984,0.9394,N
VELOCITY (ms-1),1992-03-25 00:00:00,1.0029,0.9493,N
VELOCITY (ms-1),1992-03-25 00:00:00,1.022,0.9581,N
VELOCITY (ms-1),1992-03-25 00:00:00,1.0413,0.9654,N
VELOCITY (ms-1),1992-03-25 00:00:00,1.0607,0.9707,N
VELOCITY (ms-1),1992-03-25 00:00:00,1.0801,0.9756,N
VELOCITY (ms-1),1992-03-25 00:00:00,1.0996,0.9822,N
VELOCITY (ms-1),1992-03-25 00:00:00,1.1193,0.9899,N
VELOCITY (ms-1),1992-03-25 00:00:00,1.1393,0.9963,N
VELOCITY (ms-1),1992-03-25 00:00:00,1.1592,1.0006,N
