Variable,Date,Depth,Data,QC
VELOCITY (ms-1),1992-03-20 00:00:00,0.8069,0.038,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8078,0.0564,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8091,0.0768,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8108,0.1001,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8131,0.1259,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8158,0.1534,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8192,0.1817,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8231,0.2103,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8276,0.2394,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8326,0.2695,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8383,0.3004,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8447,0.3312,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8516,0.3612,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8591,0.3901,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8672,0.4181,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8758,0.4466,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8851,0.4756,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.8949,0.5038,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.9053,0.5302,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.9161,0.554,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.9275,0.5753,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.9392,0.5947,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.9513,0.6129,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.9637,0.6301,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.9765,0.6464,N
VELOCITY (ms-1),1992-03-20 00:00:00,0.9896,0.6618,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.003,0.6762,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.0167,0.6904,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.0306,0.7051,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.0449,0.7198,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.0594,0.7333,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.0742,0.7459,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.0892,0.7584,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.1046,0.7707,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.1201,0.7825,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.1358,0.7947,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.1518,0.8093,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.1681,0.8277,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.1849,0.849,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.2021,0.8707,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.2197,0.8921,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.2378,0.9129,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.2563,0.9322,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.2751,0.9503,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.2943,0.9681,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.3138,0.986,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.3337,1.0041,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.354,1.0227,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.3746,1.0416,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.3956,1.0601,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.417,1.0776,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.4388,1.0931,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.4608,1.1071,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.483,1.1216,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.5056,1.1377,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.5286,1.1541,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.5518,1.1696,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.5754,1.1841,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.5992,1.1982,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.6233,1.2114,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.6477,1.2236,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.6723,1.2349,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.6971,1.2457,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.7221,1.2556,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.7473,1.2639,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.7727,1.2703,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.7982,1.2761,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.8237,1.2841,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.8495,1.2939,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.8755,1.3028,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.9017,1.3078,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.9279,1.3095,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.954,1.3117,N
VELOCITY (ms-1),1992-03-20 00:00:00,1.9803,1.3152,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.0067,1.3187,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.033,1.3237,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.0595,1.3317,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.0863,1.3411,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.1132,1.3495,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.1403,1.3557,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.1674,1.3612,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.1947,1.3683,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.2221,1.3767,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.2498,1.3855,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.2776,1.3939,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.3055,1.401,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.3336,1.4074,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.3618,1.4137,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.3902,1.4193,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.4186,1.4251,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.4471,1.4317,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.4759,1.4362,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.5047,1.4373,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.5334,1.439,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.5621,1.4443,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.5912,1.4504,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.6203,1.4529,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.6493,1.4522,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.6784,1.4507,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.7073,1.4504,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.7363,1.4519,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.7654,1.4534,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.7945,1.4542,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.8236,1.4541,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.8527,1.4531,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.8818,1.4503,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.9107,1.4459,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.9396,1.4413,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.9683,1.438,N
VELOCITY (ms-1),1992-03-20 00:00:00,2.9971,1.4373,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.0258,1.439,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.0546,1.4405,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.0835,1.4398,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.1122,1.4387,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.141,1.4383,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.1697,1.4383,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.1985,1.4372,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.2273,1.4344,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.2559,1.4313,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.2845,1.4283,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.3131,1.4234,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.3415,1.4169,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.3698,1.4103,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.3979,1.4046,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.426,1.3985,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.4538,1.3923,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.4816,1.3881,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.5093,1.3859,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.537,1.3849,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.5647,1.3861,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.5925,1.3879,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.6202,1.3877,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.648,1.3852,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.6757,1.3805,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.7032,1.3746,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.7307,1.3695,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.7579,1.3679,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.7853,1.3684,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.8128,1.3664,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.84,1.3618,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.8672,1.3576,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.8943,1.3546,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.9214,1.352,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.9484,1.3492,N
VELOCITY (ms-1),1992-03-20 00:00:00,3.9753,1.3468,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.0022,1.3461,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.0291,1.3466,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.0561,1.3472,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.0831,1.3477,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.1099,1.3505,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.137,1.3555,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.1642,1.3615,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.1915,1.3686,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.2189,1.3769,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.2465,1.3855,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.2743,1.3927,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.3023,1.3986,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.3303,1.4048,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.3585,1.4103,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.3868,1.4134,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.415,1.4149,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.4433,1.4159,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.4717,1.4159,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.5,1.415,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.5283,1.4146,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.5566,1.4152,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.5849,1.4147,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.6132,1.4125,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.6414,1.4096,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.6696,1.4064,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.6977,1.4039,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.7257,1.4024,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.7537,1.402,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.7818,1.4024,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.8098,1.4027,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.8379,1.4038,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.866,1.4057,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.8941,1.4059,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.9223,1.4035,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.9503,1.3997,N
VELOCITY (ms-1),1992-03-20 00:00:00,4.9783,1.3959,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.0061,1.3932,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.0339,1.3923,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.0618,1.3945,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.0896,1.4015,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.1177,1.412,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.1462,1.4212,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.1747,1.4268,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.2032,1.4307,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.2319,1.4345,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.2606,1.4389,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.2894,1.4437,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.3184,1.4475,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.3474,1.4501,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.3764,1.4521,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.4054,1.4539,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.4346,1.4552,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.4637,1.4562,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.4928,1.4565,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.522,1.4549,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.551,1.4511,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.58,1.4464,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.6089,1.443,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.6377,1.4406,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.6665,1.4367,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.6952,1.4305,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.7238,1.4234,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.7521,1.418,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.7804,1.4148,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.8087,1.4123,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.8369,1.4097,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.8651,1.4068,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.8932,1.4035,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.9213,1.3991,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.9492,1.3931,N
VELOCITY (ms-1),1992-03-20 00:00:00,5.977,1.3858,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.0046,1.3781,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.0321,1.3707,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.0594,1.3643,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.0867,1.3587,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.1139,1.3514,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.1408,1.343,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.1675,1.3368,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.1942,1.3323,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.2208,1.3279,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.2473,1.3243,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.2738,1.3214,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.3002,1.3187,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.3265,1.3171,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.3528,1.3172,N
VELOCITY (ms-1),1992-03-20 00:00:00,6.3792,1.3177,N
