Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-20 00:00:00,0.8069,25.1464,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8078,25.1447,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8091,25.1476,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8108,25.1479,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8131,25.1465,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8158,25.1497,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8192,25.152,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8231,25.1509,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8276,25.1547,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8326,25.1583,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8383,25.1547,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8447,25.1537,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8516,25.1564,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8591,25.1542,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8672,25.1515,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8758,25.1541,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8851,25.1545,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.8949,25.1527,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.9053,25.1512,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.9161,25.1497,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.9275,25.1511,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.9392,25.1533,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.9513,25.1544,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.9637,25.1544,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.9765,25.152,N
DENSITY (kgm-3),1992-03-20 00:00:00,0.9896,25.1488,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.003,25.1493,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.0167,25.1492,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.0306,25.1476,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.0449,25.1495,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.0594,25.1519,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.0742,25.151,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.0892,25.149,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.1046,25.1495,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.1201,25.1526,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.1358,25.1539,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.1518,25.1517,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.1681,25.1504,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.1849,25.1511,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.2021,25.1499,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.2197,25.1509,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.2378,25.1542,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.2563,25.1537,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.2751,25.1501,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.2943,25.1516,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.3138,25.1556,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.3337,25.1541,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.354,25.1515,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.3746,25.1528,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.3956,25.1528,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.417,25.1533,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.4388,25.1558,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.4608,25.1548,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.483,25.152,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.5056,25.1514,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.5286,25.1516,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.5518,25.151,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.5754,25.1486,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.5992,25.145,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.6233,25.1456,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.6477,25.1498,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.6723,25.1504,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.6971,25.1495,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.7221,25.1531,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.7473,25.1564,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.7727,25.1566,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.7982,25.1559,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.8237,25.1558,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.8495,25.1583,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.8755,25.158,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.9017,25.1553,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.9279,25.1575,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.954,25.1587,N
DENSITY (kgm-3),1992-03-20 00:00:00,1.9803,25.1559,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.0067,25.1564,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.033,25.1577,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.0595,25.157,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.0863,25.1559,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.1132,25.1545,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.1403,25.1563,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.1674,25.1594,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.1947,25.1561,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.2221,25.1536,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.2498,25.1569,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.2776,25.1578,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.3055,25.157,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.3336,25.1556,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.3618,25.1536,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.3902,25.1554,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.4186,25.1565,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.4471,25.1537,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.4759,25.1547,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.5047,25.1563,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.5334,25.1566,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.5621,25.1584,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.5912,25.1573,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.6203,25.1549,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.6493,25.1563,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.6784,25.1558,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.7073,25.1541,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.7363,25.1561,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.7654,25.1569,N
DENSITY (kgm-3),1992-03-20 00:00:00,2.7945,25.1548,N
