Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.43,49917.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4313,49916.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.433,49916.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4352,49916.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4381,49916.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4417,49917.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4462,49916.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4514,49915.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4576,49913.99999999999,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4649,49915.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4732,49915.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4826,49913.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.4932,49911.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.5047,49910.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.5171,49910.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.5304,49910.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.5444,49910.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.5591,49909.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.5745,49909.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.5905,49909.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.6071,49909.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.6242,49908.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.6418,49906.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.6596,49906.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.6775,49906.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.6956,49904.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.7137,49904.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.7319,49906.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.75,49906.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.7682,49907.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.7863,49909.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.8043,49911.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.8222,49911.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.84,49909.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.8577,49908.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.8753,49910.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.8928,49911.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.9101,49910.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.9272,49910.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.9442,49910.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.9609,49909.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.9775,49907.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,0.9938,49906.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,1.0099,49908.0,N
CONDUCTIVITY (sm),1992-03-20 00:00:00,1.0258,49912.0,N
