Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-20 00:00:00,0.5026,35.8347,N
SALINITY (pss),1992-03-20 00:00:00,0.5033,35.8351,N
SALINITY (pss),1992-03-20 00:00:00,0.5043,35.835,N
SALINITY (pss),1992-03-20 00:00:00,0.5056,35.8354,N
SALINITY (pss),1992-03-20 00:00:00,0.5074,35.8351,N
SALINITY (pss),1992-03-20 00:00:00,0.5097,35.835,N
SALINITY (pss),1992-03-20 00:00:00,0.5124,35.8362,N
SALINITY (pss),1992-03-20 00:00:00,0.5157,35.8372,N
SALINITY (pss),1992-03-20 00:00:00,0.5197,35.838,N
SALINITY (pss),1992-03-20 00:00:00,0.5246,35.84,N
SALINITY (pss),1992-03-20 00:00:00,0.5303,35.8417,N
SALINITY (pss),1992-03-20 00:00:00,0.537,35.8423,N
SALINITY (pss),1992-03-20 00:00:00,0.5446,35.8442,N
SALINITY (pss),1992-03-20 00:00:00,0.553,35.8446,N
SALINITY (pss),1992-03-20 00:00:00,0.5623,35.8419,N
SALINITY (pss),1992-03-20 00:00:00,0.5725,35.8419,N
SALINITY (pss),1992-03-20 00:00:00,0.5837,35.8437,N
SALINITY (pss),1992-03-20 00:00:00,0.5958,35.8424,N
SALINITY (pss),1992-03-20 00:00:00,0.6087,35.8423,N
SALINITY (pss),1992-03-20 00:00:00,0.6222,35.8441,N
SALINITY (pss),1992-03-20 00:00:00,0.6362,35.8433,N
SALINITY (pss),1992-03-20 00:00:00,0.6507,35.8442,N
SALINITY (pss),1992-03-20 00:00:00,0.6655,35.8461,N
SALINITY (pss),1992-03-20 00:00:00,0.6807,35.8436,N
SALINITY (pss),1992-03-20 00:00:00,0.6961,35.842,N
SALINITY (pss),1992-03-20 00:00:00,0.7117,35.8426,N
SALINITY (pss),1992-03-20 00:00:00,0.7273,35.8413,N
SALINITY (pss),1992-03-20 00:00:00,0.7429,35.8409,N
SALINITY (pss),1992-03-20 00:00:00,0.7583,35.8423,N
SALINITY (pss),1992-03-20 00:00:00,0.7737,35.8428,N
SALINITY (pss),1992-03-20 00:00:00,0.7888,35.8411,N
SALINITY (pss),1992-03-20 00:00:00,0.8038,35.8401,N
