Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-20 00:00:00,0.5026,21.4594,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5033,21.4593,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5043,21.4592,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5056,21.4593,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5074,21.4595,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5097,21.4584,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5124,21.4584,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5157,21.4593,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5197,21.4577,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5246,21.4548,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5303,21.4536,N
TEMPERATURE (C),1992-03-20 00:00:00,0.537,21.4529,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5446,21.4501,N
TEMPERATURE (C),1992-03-20 00:00:00,0.553,21.4482,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5623,21.4499,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5725,21.4491,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5837,21.4459,N
TEMPERATURE (C),1992-03-20 00:00:00,0.5958,21.4463,N
TEMPERATURE (C),1992-03-20 00:00:00,0.6087,21.4463,N
TEMPERATURE (C),1992-03-20 00:00:00,0.6222,21.4445,N
TEMPERATURE (C),1992-03-20 00:00:00,0.6362,21.4447,N
TEMPERATURE (C),1992-03-20 00:00:00,0.6507,21.4427,N
TEMPERATURE (C),1992-03-20 00:00:00,0.6655,21.4403,N
TEMPERATURE (C),1992-03-20 00:00:00,0.6807,21.4426,N
TEMPERATURE (C),1992-03-20 00:00:00,0.6961,21.4426,N
TEMPERATURE (C),1992-03-20 00:00:00,0.7117,21.4396,N
TEMPERATURE (C),1992-03-20 00:00:00,0.7273,21.4403,N
TEMPERATURE (C),1992-03-20 00:00:00,0.7429,21.4413,N
TEMPERATURE (C),1992-03-20 00:00:00,0.7583,21.4391,N
TEMPERATURE (C),1992-03-20 00:00:00,0.7737,21.4356,N
TEMPERATURE (C),1992-03-20 00:00:00,0.7888,21.4355,N
TEMPERATURE (C),1992-03-20 00:00:00,0.8038,21.4373,N
TEMPERATURE (C),1992-03-20 00:00:00,0.8187,21.4336,N
TEMPERATURE (C),1992-03-20 00:00:00,0.8335,21.4311,N
TEMPERATURE (C),1992-03-20 00:00:00,0.8482,21.4333,N
TEMPERATURE (C),1992-03-20 00:00:00,0.8628,21.4309,N
TEMPERATURE (C),1992-03-20 00:00:00,0.8773,21.4289,N
TEMPERATURE (C),1992-03-20 00:00:00,0.8917,21.4318,N
TEMPERATURE (C),1992-03-20 00:00:00,0.9061,21.4302,N
TEMPERATURE (C),1992-03-20 00:00:00,0.9204,21.4281,N
TEMPERATURE (C),1992-03-20 00:00:00,0.9346,21.4325,N
TEMPERATURE (C),1992-03-20 00:00:00,0.9488,21.4358,N
TEMPERATURE (C),1992-03-20 00:00:00,0.9629,21.4367,N
TEMPERATURE (C),1992-03-20 00:00:00,0.9771,21.4399,N
TEMPERATURE (C),1992-03-20 00:00:00,0.9913,21.442,N
TEMPERATURE (C),1992-03-20 00:00:00,1.0056,21.441,N
TEMPERATURE (C),1992-03-20 00:00:00,1.0199,21.4416,N
TEMPERATURE (C),1992-03-20 00:00:00,1.0343,21.4446,N
TEMPERATURE (C),1992-03-20 00:00:00,1.0489,21.4478,N
