Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-11 00:00:00,0.1154,24.9067,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.5769,24.9067,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.1538,24.9883,N
DENSITY (kgm-3),1992-03-11 00:00:00,2.3077,24.9883,N
DENSITY (kgm-3),1992-03-11 00:00:00,3.4615,25.0618,N
DENSITY (kgm-3),1992-03-11 00:00:00,4.6154,25.0618,N
DENSITY (kgm-3),1992-03-11 00:00:00,5.7692,25.1432,N
DENSITY (kgm-3),1992-03-11 00:00:00,6.9231,25.1736,N
DENSITY (kgm-3),1992-03-11 00:00:00,8.0769,25.2025,N
DENSITY (kgm-3),1992-03-11 00:00:00,9.2308,25.1873,N
DENSITY (kgm-3),1992-03-11 00:00:00,10.3846,25.1873,N
DENSITY (kgm-3),1992-03-11 00:00:00,11.5385,25.1873,N
DENSITY (kgm-3),1992-03-11 00:00:00,12.6923,25.1873,N
DENSITY (kgm-3),1992-03-11 00:00:00,13.8462,25.2236,N
DENSITY (kgm-3),1992-03-11 00:00:00,15.0,25.2236,N
DENSITY (kgm-3),1992-03-12 00:00:00,0.1154,25.0748,N
DENSITY (kgm-3),1992-03-12 00:00:00,0.5769,25.0748,N
DENSITY (kgm-3),1992-03-12 00:00:00,1.1538,25.0748,N
DENSITY (kgm-3),1992-03-12 00:00:00,2.3077,25.0748,N
DENSITY (kgm-3),1992-03-12 00:00:00,3.4615,25.1038,N
DENSITY (kgm-3),1992-03-12 00:00:00,4.6154,25.1038,N
DENSITY (kgm-3),1992-03-12 00:00:00,5.7692,25.1189,N
DENSITY (kgm-3),1992-03-12 00:00:00,6.9231,25.1189,N
DENSITY (kgm-3),1992-03-12 00:00:00,8.0769,25.1189,N
DENSITY (kgm-3),1992-03-12 00:00:00,9.2308,25.1189,N
DENSITY (kgm-3),1992-03-12 00:00:00,10.3846,25.1189,N
DENSITY (kgm-3),1992-03-12 00:00:00,11.5385,25.1189,N
DENSITY (kgm-3),1992-03-12 00:00:00,12.6923,25.1417,N
DENSITY (kgm-3),1992-03-12 00:00:00,13.8462,25.1707,N
DENSITY (kgm-3),1992-03-12 00:00:00,15.0,25.1707,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.1154,25.1493,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.5769,25.1493,N
DENSITY (kgm-3),1992-03-13 00:00:00,1.1538,25.1644,N
DENSITY (kgm-3),1992-03-13 00:00:00,2.3077,25.1644,N
DENSITY (kgm-3),1992-03-13 00:00:00,3.4615,25.1787,N
DENSITY (kgm-3),1992-03-13 00:00:00,4.6154,25.1787,N
DENSITY (kgm-3),1992-03-13 00:00:00,5.7692,25.1787,N
DENSITY (kgm-3),1992-03-13 00:00:00,6.9231,25.1787,N
DENSITY (kgm-3),1992-03-13 00:00:00,8.0769,25.1787,N
DENSITY (kgm-3),1992-03-13 00:00:00,9.2308,25.194,N
DENSITY (kgm-3),1992-03-13 00:00:00,10.3846,25.194,N
DENSITY (kgm-3),1992-03-13 00:00:00,11.5385,25.194,N
DENSITY (kgm-3),1992-03-13 00:00:00,12.6923,25.194,N
DENSITY (kgm-3),1992-03-13 00:00:00,13.8462,25.2085,N
DENSITY (kgm-3),1992-03-13 00:00:00,15.0,25.2085,N
DENSITY (kgm-3),1992-03-23 00:00:00,0.1071,25.3524,N
DENSITY (kgm-3),1992-03-23 00:00:00,0.5357,25.3524,N
DENSITY (kgm-3),1992-03-23 00:00:00,1.0714,25.3524,N
DENSITY (kgm-3),1992-03-23 00:00:00,2.1429,25.3524,N
DENSITY (kgm-3),1992-03-23 00:00:00,3.2143,25.3524,N
DENSITY (kgm-3),1992-03-23 00:00:00,4.2857,25.3524,N
DENSITY (kgm-3),1992-03-23 00:00:00,5.3571,25.3524,N
DENSITY (kgm-3),1992-03-23 00:00:00,6.4286,25.345,N
DENSITY (kgm-3),1992-03-23 00:00:00,7.5,25.3591,N
DENSITY (kgm-3),1992-03-23 00:00:00,8.5714,25.3591,N
DENSITY (kgm-3),1992-03-23 00:00:00,9.6429,25.3591,N
DENSITY (kgm-3),1992-03-23 00:00:00,10.7143,25.3591,N
DENSITY (kgm-3),1992-03-23 00:00:00,11.7857,25.3667,N
DENSITY (kgm-3),1992-03-23 00:00:00,12.8571,25.3667,N
DENSITY (kgm-3),1992-03-23 00:00:00,13.9286,25.3667,N
DENSITY (kgm-3),1992-03-23 00:00:00,15.0,25.3667,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.1071,25.1927,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.5357,25.1927,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.0714,25.1548,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.1429,25.1786,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.2143,25.1927,N
DENSITY (kgm-3),1992-03-24 00:00:00,4.2857,25.1927,N
DENSITY (kgm-3),1992-03-24 00:00:00,5.3571,25.1927,N
DENSITY (kgm-3),1992-03-24 00:00:00,6.4286,25.1927,N
DENSITY (kgm-3),1992-03-24 00:00:00,7.5,25.1927,N
DENSITY (kgm-3),1992-03-24 00:00:00,8.5714,25.1927,N
DENSITY (kgm-3),1992-03-24 00:00:00,9.6429,25.1927,N
DENSITY (kgm-3),1992-03-24 00:00:00,10.7143,25.207,N
DENSITY (kgm-3),1992-03-24 00:00:00,11.7857,25.207,N
DENSITY (kgm-3),1992-03-24 00:00:00,12.8571,25.207,N
DENSITY (kgm-3),1992-03-24 00:00:00,13.9286,25.207,N
DENSITY (kgm-3),1992-03-24 00:00:00,15.0,25.207,N
DENSITY (kgm-3),1992-03-26 00:00:00,0.1154,24.9962,N
DENSITY (kgm-3),1992-03-26 00:00:00,0.5769,24.9962,N
DENSITY (kgm-3),1992-03-26 00:00:00,1.1538,24.9962,N
DENSITY (kgm-3),1992-03-26 00:00:00,2.3077,24.9991,N
DENSITY (kgm-3),1992-03-26 00:00:00,3.4615,25.0886,N
DENSITY (kgm-3),1992-03-26 00:00:00,4.6154,25.0886,N
DENSITY (kgm-3),1992-03-26 00:00:00,5.7692,25.1167,N
DENSITY (kgm-3),1992-03-26 00:00:00,6.9231,25.1309,N
DENSITY (kgm-3),1992-03-26 00:00:00,8.0769,25.1384,N
DENSITY (kgm-3),1992-03-26 00:00:00,9.2308,25.1384,N
DENSITY (kgm-3),1992-03-26 00:00:00,10.3846,25.1384,N
DENSITY (kgm-3),1992-03-26 00:00:00,11.5385,25.1384,N
DENSITY (kgm-3),1992-03-26 00:00:00,12.6923,25.1384,N
DENSITY (kgm-3),1992-03-26 00:00:00,13.8462,25.16,N
DENSITY (kgm-3),1992-03-26 00:00:00,15.0,25.16,N
DENSITY (kgm-3),1992-03-27 00:00:00,0.1071,25.1548,N
DENSITY (kgm-3),1992-03-27 00:00:00,0.5357,25.1548,N
DENSITY (kgm-3),1992-03-27 00:00:00,1.0714,25.1548,N
DENSITY (kgm-3),1992-03-27 00:00:00,2.1429,25.1548,N
DENSITY (kgm-3),1992-03-27 00:00:00,3.2143,25.1548,N
DENSITY (kgm-3),1992-03-27 00:00:00,4.2857,25.1885,N
DENSITY (kgm-3),1992-03-27 00:00:00,5.3571,25.1885,N
DENSITY (kgm-3),1992-03-27 00:00:00,6.4286,25.1885,N
DENSITY (kgm-3),1992-03-27 00:00:00,7.5,25.2113,N
DENSITY (kgm-3),1992-03-27 00:00:00,8.5714,25.2113,N
DENSITY (kgm-3),1992-03-27 00:00:00,9.6429,25.2113,N
DENSITY (kgm-3),1992-03-27 00:00:00,10.7143,25.2113,N
DENSITY (kgm-3),1992-03-27 00:00:00,11.7857,25.2113,N
DENSITY (kgm-3),1992-03-27 00:00:00,12.8571,25.2196,N
DENSITY (kgm-3),1992-03-27 00:00:00,13.9286,25.2196,N
DENSITY (kgm-3),1992-03-27 00:00:00,15.0,25.3552,N
