Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-11 00:00:00,0.1235,36.25,N
SALINITY (pss),1992-03-11 00:00:00,0.6176,36.25,N
SALINITY (pss),1992-03-11 00:00:00,1.2353,36.25,N
SALINITY (pss),1992-03-11 00:00:00,2.4706,36.28,N
SALINITY (pss),1992-03-11 00:00:00,3.7059,36.28,N
SALINITY (pss),1992-03-11 00:00:00,4.9412,36.29,N
SALINITY (pss),1992-03-11 00:00:00,6.1765,36.27,N
SALINITY (pss),1992-03-11 00:00:00,7.4118,36.27,N
SALINITY (pss),1992-03-11 00:00:00,8.6471,36.27,N
SALINITY (pss),1992-03-11 00:00:00,9.8824,36.26,N
SALINITY (pss),1992-03-11 00:00:00,11.1176,36.27,N
SALINITY (pss),1992-03-11 00:00:00,12.3529,36.24,N
SALINITY (pss),1992-03-11 00:00:00,13.5882,36.28,N
SALINITY (pss),1992-03-11 00:00:00,14.8235,36.28,N
SALINITY (pss),1992-03-11 00:00:00,16.0588,36.28,N
SALINITY (pss),1992-03-11 00:00:00,17.2941,36.27,N
SALINITY (pss),1992-03-11 00:00:00,18.5294,36.27,N
SALINITY (pss),1992-03-11 00:00:00,19.7647,36.27,N
SALINITY (pss),1992-03-11 00:00:00,21.0,36.27,N
SALINITY (pss),1992-03-12 00:00:00,0.075,36.16,N
SALINITY (pss),1992-03-12 00:00:00,0.375,36.16,N
SALINITY (pss),1992-03-12 00:00:00,0.75,36.16,N
SALINITY (pss),1992-03-12 00:00:00,1.5,36.16,N
SALINITY (pss),1992-03-12 00:00:00,2.25,36.16,N
SALINITY (pss),1992-03-12 00:00:00,3.0,36.16,N
SALINITY (pss),1992-03-12 00:00:00,3.75,36.16,N
SALINITY (pss),1992-03-12 00:00:00,4.5,36.18,N
SALINITY (pss),1992-03-12 00:00:00,5.25,36.18,N
SALINITY (pss),1992-03-12 00:00:00,6.0,36.18,N
SALINITY (pss),1992-03-12 00:00:00,6.75,36.18,N
SALINITY (pss),1992-03-12 00:00:00,7.5,36.18,N
SALINITY (pss),1992-03-12 00:00:00,8.25,36.18,N
SALINITY (pss),1992-03-12 00:00:00,9.0,36.18,N
SALINITY (pss),1992-03-12 00:00:00,9.75,36.18,N
SALINITY (pss),1992-03-12 00:00:00,10.5,36.18,N
SALINITY (pss),1992-03-12 00:00:00,11.25,36.18,N
SALINITY (pss),1992-03-12 00:00:00,12.0,36.18,N
SALINITY (pss),1992-03-12 00:00:00,12.75,36.18,N
SALINITY (pss),1992-03-12 00:00:00,13.5,36.18,N
SALINITY (pss),1992-03-12 00:00:00,14.25,36.18,N
SALINITY (pss),1992-03-12 00:00:00,15.0,36.18,N
SALINITY (pss),1992-03-12 00:00:00,15.75,36.18,N
SALINITY (pss),1992-03-12 00:00:00,16.5,36.18,N
SALINITY (pss),1992-03-12 00:00:00,17.25,36.18,N
SALINITY (pss),1992-03-12 00:00:00,18.0,36.21,N
SALINITY (pss),1992-03-12 00:00:00,18.75,36.21,N
