Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-11 00:00:00,0.1048,22.79,N
TEMPERATURE (C),1992-03-11 00:00:00,0.5238,22.79,N
TEMPERATURE (C),1992-03-11 00:00:00,1.0476,22.79,N
TEMPERATURE (C),1992-03-11 00:00:00,2.0952,22.64,N
TEMPERATURE (C),1992-03-11 00:00:00,3.1429,22.64,N
TEMPERATURE (C),1992-03-11 00:00:00,4.1905,22.64,N
TEMPERATURE (C),1992-03-11 00:00:00,5.2381,22.64,N
TEMPERATURE (C),1992-03-11 00:00:00,6.2857,22.54,N
TEMPERATURE (C),1992-03-11 00:00:00,7.3333,22.49,N
TEMPERATURE (C),1992-03-11 00:00:00,8.381,22.49,N
TEMPERATURE (C),1992-03-11 00:00:00,9.4286,22.49,N
TEMPERATURE (C),1992-03-11 00:00:00,10.4762,22.49,N
TEMPERATURE (C),1992-03-11 00:00:00,11.5238,22.49,N
TEMPERATURE (C),1992-03-11 00:00:00,12.5714,22.44,N
TEMPERATURE (C),1992-03-11 00:00:00,13.619,22.44,N
TEMPERATURE (C),1992-03-11 00:00:00,14.6667,22.44,N
TEMPERATURE (C),1992-03-11 00:00:00,15.7143,22.44,N
TEMPERATURE (C),1992-03-11 00:00:00,16.7619,22.44,N
TEMPERATURE (C),1992-03-11 00:00:00,17.8095,22.44,N
TEMPERATURE (C),1992-03-11 00:00:00,18.8571,22.44,N
TEMPERATURE (C),1992-03-11 00:00:00,19.9048,22.44,N
TEMPERATURE (C),1992-03-11 00:00:00,20.9524,22.44,N
TEMPERATURE (C),1992-03-11 00:00:00,22.0,22.44,N
TEMPERATURE (C),1992-03-12 00:00:00,0.0957,22.79,N
TEMPERATURE (C),1992-03-12 00:00:00,0.4783,22.79,N
TEMPERATURE (C),1992-03-12 00:00:00,0.9565,22.79,N
TEMPERATURE (C),1992-03-12 00:00:00,1.913,22.79,N
TEMPERATURE (C),1992-03-12 00:00:00,2.8696,22.79,N
TEMPERATURE (C),1992-03-12 00:00:00,3.8261,22.79,N
TEMPERATURE (C),1992-03-12 00:00:00,4.7826,22.79,N
TEMPERATURE (C),1992-03-12 00:00:00,5.7391,22.79,N
TEMPERATURE (C),1992-03-12 00:00:00,6.6957,22.79,N
TEMPERATURE (C),1992-03-12 00:00:00,7.6522,22.79,N
TEMPERATURE (C),1992-03-12 00:00:00,8.6087,22.76,N
TEMPERATURE (C),1992-03-12 00:00:00,9.5652,22.76,N
TEMPERATURE (C),1992-03-12 00:00:00,10.5217,22.74,N
TEMPERATURE (C),1992-03-12 00:00:00,11.4783,22.69,N
TEMPERATURE (C),1992-03-12 00:00:00,12.4348,22.69,N
TEMPERATURE (C),1992-03-12 00:00:00,13.3913,22.69,N
TEMPERATURE (C),1992-03-12 00:00:00,14.3478,22.69,N
TEMPERATURE (C),1992-03-12 00:00:00,15.3043,22.69,N
TEMPERATURE (C),1992-03-12 00:00:00,16.2609,22.69,N
TEMPERATURE (C),1992-03-12 00:00:00,17.2174,22.69,N
TEMPERATURE (C),1992-03-12 00:00:00,18.1739,22.59,N
TEMPERATURE (C),1992-03-12 00:00:00,19.1304,22.59,N
TEMPERATURE (C),1992-03-12 00:00:00,20.087,22.59,N
TEMPERATURE (C),1992-03-12 00:00:00,21.0435,22.59,N
TEMPERATURE (C),1992-03-12 00:00:00,22.0,22.59,N
TEMPERATURE (C),1992-03-13 00:00:00,0.0957,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,0.4783,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,0.9565,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,1.913,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,2.8696,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,3.8261,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,4.7826,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,5.7391,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,6.6957,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,7.6522,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,8.6087,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,9.5652,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,10.5217,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,11.4783,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,12.4348,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,13.3913,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,14.3478,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,15.3043,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,16.2609,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,17.2174,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,18.1739,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,19.1304,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,20.087,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,21.0435,22.49,N
TEMPERATURE (C),1992-03-13 00:00:00,22.0,22.49,N
TEMPERATURE (C),1992-03-23 00:00:00,0.1,21.39,N
TEMPERATURE (C),1992-03-23 00:00:00,0.5,21.39,N
TEMPERATURE (C),1992-03-23 00:00:00,1.0,21.39,N
TEMPERATURE (C),1992-03-23 00:00:00,2.0,21.29,N
TEMPERATURE (C),1992-03-23 00:00:00,3.0,21.19,N
TEMPERATURE (C),1992-03-23 00:00:00,4.0,21.04,N
TEMPERATURE (C),1992-03-23 00:00:00,5.0,21.04,N
TEMPERATURE (C),1992-03-23 00:00:00,6.0,20.94,N
TEMPERATURE (C),1992-03-23 00:00:00,7.0,20.89,N
TEMPERATURE (C),1992-03-23 00:00:00,8.0,20.89,N
TEMPERATURE (C),1992-03-23 00:00:00,9.0,20.89,N
TEMPERATURE (C),1992-03-23 00:00:00,10.0,20.89,N
TEMPERATURE (C),1992-03-23 00:00:00,11.0,20.89,N
TEMPERATURE (C),1992-03-23 00:00:00,12.0,20.89,N
TEMPERATURE (C),1992-03-23 00:00:00,13.0,20.84,N
TEMPERATURE (C),1992-03-23 00:00:00,14.0,20.84,N
TEMPERATURE (C),1992-03-23 00:00:00,15.0,20.84,N
TEMPERATURE (C),1992-03-23 00:00:00,16.0,20.84,N
TEMPERATURE (C),1992-03-23 00:00:00,17.0,20.84,N
TEMPERATURE (C),1992-03-23 00:00:00,18.0,20.84,N
TEMPERATURE (C),1992-03-23 00:00:00,19.0,20.84,N
TEMPERATURE (C),1992-03-23 00:00:00,20.0,20.84,N
TEMPERATURE (C),1992-03-23 00:00:00,21.0,20.84,N
TEMPERATURE (C),1992-03-23 00:00:00,22.0,20.84,N
TEMPERATURE (C),1992-03-24 00:00:00,0.1048,21.69,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5238,21.69,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0476,21.69,N
TEMPERATURE (C),1992-03-24 00:00:00,2.0952,21.69,N
TEMPERATURE (C),1992-03-24 00:00:00,3.1429,21.59,N
TEMPERATURE (C),1992-03-24 00:00:00,4.1905,21.39,N
TEMPERATURE (C),1992-03-24 00:00:00,5.2381,21.29,N
TEMPERATURE (C),1992-03-24 00:00:00,6.2857,21.28,N
TEMPERATURE (C),1992-03-24 00:00:00,7.3333,21.28,N
TEMPERATURE (C),1992-03-24 00:00:00,8.381,21.28,N
TEMPERATURE (C),1992-03-24 00:00:00,9.4286,21.28,N
TEMPERATURE (C),1992-03-24 00:00:00,10.4762,21.28,N
TEMPERATURE (C),1992-03-24 00:00:00,11.5238,21.27,N
TEMPERATURE (C),1992-03-24 00:00:00,12.5714,21.24,N
TEMPERATURE (C),1992-03-24 00:00:00,13.619,21.24,N
TEMPERATURE (C),1992-03-24 00:00:00,14.6667,21.24,N
TEMPERATURE (C),1992-03-24 00:00:00,15.7143,21.19,N
TEMPERATURE (C),1992-03-24 00:00:00,16.7619,21.19,N
TEMPERATURE (C),1992-03-24 00:00:00,17.8095,21.09,N
TEMPERATURE (C),1992-03-24 00:00:00,18.8571,21.09,N
TEMPERATURE (C),1992-03-24 00:00:00,19.9048,21.04,N
TEMPERATURE (C),1992-03-24 00:00:00,20.9524,21.04,N
TEMPERATURE (C),1992-03-24 00:00:00,22.0,21.04,N
TEMPERATURE (C),1992-03-26 00:00:00,0.1,21.29,N
TEMPERATURE (C),1992-03-26 00:00:00,0.5,21.29,N
TEMPERATURE (C),1992-03-26 00:00:00,1.0,21.29,N
TEMPERATURE (C),1992-03-26 00:00:00,2.0,21.29,N
TEMPERATURE (C),1992-03-26 00:00:00,3.0,21.29,N
TEMPERATURE (C),1992-03-26 00:00:00,4.0,21.29,N
TEMPERATURE (C),1992-03-26 00:00:00,5.0,21.29,N
