Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-11 00:00:00,0.0952,25.0658,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.4762,25.0658,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.9524,25.0946,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.9048,25.0946,N
DENSITY (kgm-3),1992-03-11 00:00:00,2.8571,25.0946,N
DENSITY (kgm-3),1992-03-11 00:00:00,3.8095,25.1233,N
DENSITY (kgm-3),1992-03-11 00:00:00,4.7619,25.1233,N
DENSITY (kgm-3),1992-03-11 00:00:00,5.7143,25.1156,N
DENSITY (kgm-3),1992-03-11 00:00:00,6.6667,25.1301,N
DENSITY (kgm-3),1992-03-11 00:00:00,7.619,25.1301,N
DENSITY (kgm-3),1992-03-11 00:00:00,8.5714,25.1149,N
DENSITY (kgm-3),1992-03-11 00:00:00,9.5238,25.1577,N
DENSITY (kgm-3),1992-03-11 00:00:00,10.4762,25.1719,N
DENSITY (kgm-3),1992-03-11 00:00:00,11.4286,25.1719,N
DENSITY (kgm-3),1992-03-11 00:00:00,12.381,25.1862,N
DENSITY (kgm-3),1992-03-11 00:00:00,13.3333,25.1862,N
DENSITY (kgm-3),1992-03-11 00:00:00,14.2857,25.1862,N
DENSITY (kgm-3),1992-03-11 00:00:00,15.2381,25.1862,N
DENSITY (kgm-3),1992-03-11 00:00:00,16.1905,25.1862,N
DENSITY (kgm-3),1992-03-11 00:00:00,17.1429,25.1862,N
DENSITY (kgm-3),1992-03-11 00:00:00,18.0952,25.1862,N
DENSITY (kgm-3),1992-03-11 00:00:00,19.0476,25.1862,N
DENSITY (kgm-3),1992-03-11 00:00:00,20.0,25.1862,N
DENSITY (kgm-3),1992-03-12 00:00:00,0.0769,25.0238,N
DENSITY (kgm-3),1992-03-12 00:00:00,0.3846,25.0238,N
DENSITY (kgm-3),1992-03-12 00:00:00,0.7692,25.0238,N
DENSITY (kgm-3),1992-03-12 00:00:00,1.5385,25.0381,N
DENSITY (kgm-3),1992-03-12 00:00:00,2.3077,25.0381,N
DENSITY (kgm-3),1992-03-12 00:00:00,3.0769,25.0381,N
DENSITY (kgm-3),1992-03-12 00:00:00,3.8462,25.0238,N
DENSITY (kgm-3),1992-03-12 00:00:00,4.6154,25.0616,N
DENSITY (kgm-3),1992-03-12 00:00:00,5.3846,25.0997,N
DENSITY (kgm-3),1992-03-12 00:00:00,6.1538,25.0997,N
DENSITY (kgm-3),1992-03-12 00:00:00,6.9231,25.0997,N
DENSITY (kgm-3),1992-03-12 00:00:00,7.6923,25.0997,N
DENSITY (kgm-3),1992-03-12 00:00:00,8.4615,25.0997,N
DENSITY (kgm-3),1992-03-12 00:00:00,9.2308,25.114,N
DENSITY (kgm-3),1992-03-12 00:00:00,10.0,25.114,N
DENSITY (kgm-3),1992-03-12 00:00:00,10.7692,25.1426,N
DENSITY (kgm-3),1992-03-12 00:00:00,11.5385,25.1567,N
DENSITY (kgm-3),1992-03-12 00:00:00,12.3077,25.171,N
DENSITY (kgm-3),1992-03-12 00:00:00,13.0769,25.171,N
DENSITY (kgm-3),1992-03-12 00:00:00,13.8462,25.171,N
DENSITY (kgm-3),1992-03-12 00:00:00,14.6154,25.171,N
DENSITY (kgm-3),1992-03-12 00:00:00,15.3846,25.171,N
DENSITY (kgm-3),1992-03-12 00:00:00,16.1538,25.171,N
DENSITY (kgm-3),1992-03-12 00:00:00,16.9231,25.171,N
DENSITY (kgm-3),1992-03-12 00:00:00,17.6923,25.171,N
DENSITY (kgm-3),1992-03-12 00:00:00,18.4615,25.171,N
DENSITY (kgm-3),1992-03-12 00:00:00,19.2308,25.171,N
DENSITY (kgm-3),1992-03-12 00:00:00,20.0,25.171,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.0952,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.4762,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.9524,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,1.9048,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,2.8571,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,3.8095,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,4.7619,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,5.7143,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,6.6667,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,7.619,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,8.5714,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,9.5238,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,10.4762,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,11.4286,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,12.381,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,13.3333,25.17,N
DENSITY (kgm-3),1992-03-13 00:00:00,14.2857,25.17,N
