Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1992-03-10 00:00:00,0.1037,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,0.5185,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,1.037,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,2.0741,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,3.1111,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,4.1481,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,5.1852,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,6.2222,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,7.2593,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,8.2963,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,9.3333,25.0208,N
DENSITY (kgm-3),1992-03-10 00:00:00,10.3704,25.0283,N
DENSITY (kgm-3),1992-03-10 00:00:00,11.4074,25.0283,N
DENSITY (kgm-3),1992-03-10 00:00:00,12.4444,25.0283,N
DENSITY (kgm-3),1992-03-10 00:00:00,13.4815,25.0283,N
DENSITY (kgm-3),1992-03-10 00:00:00,14.5185,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,15.5556,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,16.5926,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,17.6296,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,18.6667,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,19.7037,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,20.7407,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,21.7778,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,22.8148,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,23.8519,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,24.8889,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,25.9259,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,26.963,25.036,N
DENSITY (kgm-3),1992-03-10 00:00:00,28.0,25.036,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.0966,25.0488,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.4828,25.0488,N
DENSITY (kgm-3),1992-03-11 00:00:00,0.9655,25.0488,N
DENSITY (kgm-3),1992-03-11 00:00:00,1.931,25.0488,N
DENSITY (kgm-3),1992-03-11 00:00:00,2.8966,25.0488,N
DENSITY (kgm-3),1992-03-11 00:00:00,3.8621,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,4.8276,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,5.7931,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,6.7586,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,7.7241,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,8.6897,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,9.6552,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,10.6207,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,11.5862,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,12.5517,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,13.5172,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,14.4828,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,15.4483,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,16.4138,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,17.3793,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,18.3448,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,19.3103,25.0771,N
DENSITY (kgm-3),1992-03-11 00:00:00,20.2759,25.0912,N
DENSITY (kgm-3),1992-03-11 00:00:00,21.2414,25.0912,N
DENSITY (kgm-3),1992-03-11 00:00:00,22.2069,25.0912,N
DENSITY (kgm-3),1992-03-11 00:00:00,23.1724,25.0912,N
DENSITY (kgm-3),1992-03-11 00:00:00,24.1379,25.0912,N
DENSITY (kgm-3),1992-03-11 00:00:00,25.1034,25.1063,N
DENSITY (kgm-3),1992-03-11 00:00:00,26.069,25.1063,N
DENSITY (kgm-3),1992-03-11 00:00:00,27.0345,25.1063,N
DENSITY (kgm-3),1992-03-11 00:00:00,28.0,25.1063,N
DENSITY (kgm-3),1992-03-12 00:00:00,0.1037,25.05,N
DENSITY (kgm-3),1992-03-12 00:00:00,0.5185,25.0558,N
DENSITY (kgm-3),1992-03-12 00:00:00,1.037,25.0558,N
DENSITY (kgm-3),1992-03-12 00:00:00,2.0741,25.0558,N
DENSITY (kgm-3),1992-03-12 00:00:00,3.1111,25.0558,N
DENSITY (kgm-3),1992-03-12 00:00:00,4.1481,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,5.1852,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,6.2222,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,7.2593,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,8.2963,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,9.3333,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,10.3704,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,11.4074,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,12.4444,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,13.4815,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,14.5185,25.0614,N
DENSITY (kgm-3),1992-03-12 00:00:00,15.5556,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,16.5926,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,17.6296,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,18.6667,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,19.7037,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,20.7407,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,21.7778,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,22.8148,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,23.8519,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,24.8889,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,25.9259,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,26.963,25.0784,N
DENSITY (kgm-3),1992-03-12 00:00:00,28.0,25.0784,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.1,25.0925,N
DENSITY (kgm-3),1992-03-13 00:00:00,0.5,25.0925,N
DENSITY (kgm-3),1992-03-13 00:00:00,1.0,25.0925,N
DENSITY (kgm-3),1992-03-13 00:00:00,2.0,25.101,N
DENSITY (kgm-3),1992-03-13 00:00:00,3.0,25.101,N
DENSITY (kgm-3),1992-03-13 00:00:00,4.0,25.101,N
DENSITY (kgm-3),1992-03-13 00:00:00,5.0,25.101,N
DENSITY (kgm-3),1992-03-13 00:00:00,6.0,25.1206,N
DENSITY (kgm-3),1992-03-13 00:00:00,7.0,25.1206,N
DENSITY (kgm-3),1992-03-13 00:00:00,8.0,25.1206,N
DENSITY (kgm-3),1992-03-13 00:00:00,9.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,10.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,11.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,12.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,13.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,14.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,15.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,16.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,17.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,18.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,19.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,20.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,21.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,22.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,23.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,24.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,25.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,26.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,27.0,25.1289,N
DENSITY (kgm-3),1992-03-13 00:00:00,28.0,25.1289,N
DENSITY (kgm-3),1992-03-23 00:00:00,0.1077,24.9048,N
DENSITY (kgm-3),1992-03-23 00:00:00,0.5385,25.1547,N
DENSITY (kgm-3),1992-03-23 00:00:00,1.0769,25.2229,N
DENSITY (kgm-3),1992-03-23 00:00:00,2.1538,25.2229,N
DENSITY (kgm-3),1992-03-23 00:00:00,3.2308,25.2229,N
DENSITY (kgm-3),1992-03-23 00:00:00,4.3077,25.4775,N
DENSITY (kgm-3),1992-03-23 00:00:00,5.3846,25.2363,N
DENSITY (kgm-3),1992-03-23 00:00:00,6.4615,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,7.5385,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,8.6154,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,9.6923,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,10.7692,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,11.8462,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,12.9231,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,14.0,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,15.0769,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,16.1538,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,17.2308,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,18.3077,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,19.3846,25.25,N
DENSITY (kgm-3),1992-03-23 00:00:00,20.4615,25.277,N
DENSITY (kgm-3),1992-03-23 00:00:00,21.5385,25.277,N
DENSITY (kgm-3),1992-03-23 00:00:00,22.6154,25.277,N
DENSITY (kgm-3),1992-03-23 00:00:00,23.6923,25.277,N
DENSITY (kgm-3),1992-03-23 00:00:00,24.7692,25.277,N
DENSITY (kgm-3),1992-03-23 00:00:00,25.8462,25.277,N
DENSITY (kgm-3),1992-03-23 00:00:00,26.9231,25.277,N
DENSITY (kgm-3),1992-03-23 00:00:00,28.0,25.277,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.0,25.0948,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.4828,25.0948,N
DENSITY (kgm-3),1992-03-24 00:00:00,0.9655,25.1224,N
DENSITY (kgm-3),1992-03-24 00:00:00,1.931,25.1774,N
DENSITY (kgm-3),1992-03-24 00:00:00,2.8966,25.2047,N
DENSITY (kgm-3),1992-03-24 00:00:00,3.8621,25.2047,N
DENSITY (kgm-3),1992-03-24 00:00:00,4.8276,25.2047,N
DENSITY (kgm-3),1992-03-24 00:00:00,5.7931,25.2047,N
DENSITY (kgm-3),1992-03-24 00:00:00,6.7586,25.2047,N
DENSITY (kgm-3),1992-03-24 00:00:00,7.7241,25.2094,N
DENSITY (kgm-3),1992-03-24 00:00:00,8.6897,25.2094,N
DENSITY (kgm-3),1992-03-24 00:00:00,9.6552,25.2229,N
DENSITY (kgm-3),1992-03-24 00:00:00,10.6207,25.2229,N
DENSITY (kgm-3),1992-03-24 00:00:00,11.5862,25.2229,N
DENSITY (kgm-3),1992-03-24 00:00:00,12.5517,25.2229,N
