Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-10 00:00:00,0.103,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,0.5152,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,1.0303,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,2.0606,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,3.0909,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,4.1212,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,5.1515,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,6.1818,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,7.2121,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,8.2424,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,9.2727,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,10.303,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,11.3333,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,12.3636,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,13.3939,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,14.4242,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,15.4545,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,16.4848,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,17.5152,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,18.5455,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,19.5758,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,20.6061,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,21.6364,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,22.6667,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,23.697,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,24.7273,22.05,N
TEMPERATURE (C),1992-03-10 00:00:00,25.7576,22.0,N
TEMPERATURE (C),1992-03-10 00:00:00,26.7879,22.0,N
TEMPERATURE (C),1992-03-10 00:00:00,27.8182,22.0,N
TEMPERATURE (C),1992-03-10 00:00:00,28.8485,22.0,N
TEMPERATURE (C),1992-03-10 00:00:00,29.8788,22.0,N
TEMPERATURE (C),1992-03-10 00:00:00,30.9091,22.0,N
TEMPERATURE (C),1992-03-10 00:00:00,31.9394,22.0,N
TEMPERATURE (C),1992-03-10 00:00:00,32.9697,22.0,N
TEMPERATURE (C),1992-03-10 00:00:00,34.0,22.0,N
TEMPERATURE (C),1992-03-11 00:00:00,0.1133,21.95,N
TEMPERATURE (C),1992-03-11 00:00:00,0.5667,21.95,N
TEMPERATURE (C),1992-03-11 00:00:00,1.1333,21.95,N
TEMPERATURE (C),1992-03-11 00:00:00,2.2667,21.95,N
TEMPERATURE (C),1992-03-11 00:00:00,3.4,21.95,N
TEMPERATURE (C),1992-03-11 00:00:00,4.5333,21.85,N
TEMPERATURE (C),1992-03-11 00:00:00,5.6667,21.85,N
TEMPERATURE (C),1992-03-11 00:00:00,6.8,21.85,N
TEMPERATURE (C),1992-03-11 00:00:00,7.9333,21.85,N
TEMPERATURE (C),1992-03-11 00:00:00,9.0667,21.85,N
TEMPERATURE (C),1992-03-11 00:00:00,10.2,21.85,N
TEMPERATURE (C),1992-03-11 00:00:00,11.3333,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,12.4667,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,13.6,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,14.7333,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,15.8667,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,17.0,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,18.1333,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,19.2667,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,20.4,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,21.5333,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,22.6667,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,23.8,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,24.9333,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,26.0667,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,27.2,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,28.3333,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,29.4667,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,30.6,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,31.7333,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,32.8667,21.75,N
TEMPERATURE (C),1992-03-11 00:00:00,34.0,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,0.103,21.95,N
TEMPERATURE (C),1992-03-12 00:00:00,0.5152,21.95,N
TEMPERATURE (C),1992-03-12 00:00:00,1.0303,21.9,N
TEMPERATURE (C),1992-03-12 00:00:00,2.0606,21.9,N
TEMPERATURE (C),1992-03-12 00:00:00,3.0909,21.9,N
TEMPERATURE (C),1992-03-12 00:00:00,4.1212,21.9,N
TEMPERATURE (C),1992-03-12 00:00:00,5.1515,21.85,N
TEMPERATURE (C),1992-03-12 00:00:00,6.1818,21.85,N
TEMPERATURE (C),1992-03-12 00:00:00,7.2121,21.85,N
TEMPERATURE (C),1992-03-12 00:00:00,8.2424,21.8,N
TEMPERATURE (C),1992-03-12 00:00:00,9.2727,21.8,N
TEMPERATURE (C),1992-03-12 00:00:00,10.303,21.8,N
TEMPERATURE (C),1992-03-12 00:00:00,11.3333,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,12.3636,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,13.3939,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,14.4242,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,15.4545,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,16.4848,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,17.5152,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,18.5455,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,19.5758,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,20.6061,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,21.6364,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,22.6667,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,23.697,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,24.7273,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,25.7576,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,26.7879,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,27.8182,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,28.8485,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,29.8788,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,30.9091,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,31.9394,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,32.9697,21.75,N
TEMPERATURE (C),1992-03-12 00:00:00,34.0,21.75,N
TEMPERATURE (C),1992-03-13 00:00:00,0.103,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,0.5152,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,1.0303,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,2.0606,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,3.0909,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,4.1212,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,5.1515,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,6.1818,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,7.2121,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,8.2424,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,9.2727,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,10.303,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,11.3333,21.765,N
TEMPERATURE (C),1992-03-13 00:00:00,12.3636,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,13.3939,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,14.4242,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,15.4545,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,16.4848,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,17.5152,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,18.5455,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,19.5758,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,20.6061,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,21.6364,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,22.6667,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,23.697,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,24.7273,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,25.7576,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,26.7879,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,27.8182,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,28.8485,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,29.8788,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,30.9091,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,31.9394,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,32.9697,21.695,N
TEMPERATURE (C),1992-03-13 00:00:00,34.0,21.695,N
TEMPERATURE (C),1992-03-23 00:00:00,1.0,22.045,N
TEMPERATURE (C),1992-03-23 00:00:00,2.0,21.395,N
TEMPERATURE (C),1992-03-23 00:00:00,3.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,4.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,5.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,6.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,7.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,8.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,9.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,10.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,11.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,12.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,13.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,14.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,15.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,16.0,21.295,N
TEMPERATURE (C),1992-03-23 00:00:00,17.0,21.195,N
TEMPERATURE (C),1992-03-23 00:00:00,18.0,21.195,N
TEMPERATURE (C),1992-03-23 00:00:00,19.0,21.195,N
TEMPERATURE (C),1992-03-23 00:00:00,20.0,21.195,N
TEMPERATURE (C),1992-03-23 00:00:00,21.0,21.195,N
TEMPERATURE (C),1992-03-23 00:00:00,22.0,21.195,N
TEMPERATURE (C),1992-03-23 00:00:00,23.0,21.095,N
TEMPERATURE (C),1992-03-23 00:00:00,24.0,20.895,N
TEMPERATURE (C),1992-03-23 00:00:00,25.0,20.745,N
TEMPERATURE (C),1992-03-23 00:00:00,26.0,20.745,N
TEMPERATURE (C),1992-03-23 00:00:00,27.0,20.745,N
TEMPERATURE (C),1992-03-23 00:00:00,28.0,20.745,N
TEMPERATURE (C),1992-03-23 00:00:00,29.0,20.745,N
TEMPERATURE (C),1992-03-23 00:00:00,30.0,20.745,N
TEMPERATURE (C),1992-03-23 00:00:00,31.0,20.745,N
TEMPERATURE (C),1992-03-23 00:00:00,32.0,20.745,N
TEMPERATURE (C),1992-03-23 00:00:00,33.0,20.745,N
TEMPERATURE (C),1992-03-23 00:00:00,34.0,20.745,N
TEMPERATURE (C),1992-03-24 00:00:00,0.0,21.895,N
TEMPERATURE (C),1992-03-24 00:00:00,0.5313,21.895,N
TEMPERATURE (C),1992-03-24 00:00:00,1.0625,21.895,N
TEMPERATURE (C),1992-03-24 00:00:00,2.125,21.645,N
TEMPERATURE (C),1992-03-24 00:00:00,3.1875,21.445,N
TEMPERATURE (C),1992-03-24 00:00:00,4.25,21.445,N
TEMPERATURE (C),1992-03-24 00:00:00,5.3125,21.445,N
TEMPERATURE (C),1992-03-24 00:00:00,6.375,21.445,N
TEMPERATURE (C),1992-03-24 00:00:00,7.4375,21.445,N
TEMPERATURE (C),1992-03-24 00:00:00,8.5,20.395,N
TEMPERATURE (C),1992-03-24 00:00:00,9.5625,20.395,N
TEMPERATURE (C),1992-03-24 00:00:00,10.625,20.395,N
TEMPERATURE (C),1992-03-24 00:00:00,11.6875,20.395,N
TEMPERATURE (C),1992-03-24 00:00:00,12.75,20.395,N
TEMPERATURE (C),1992-03-24 00:00:00,13.8125,20.395,N
TEMPERATURE (C),1992-03-24 00:00:00,14.875,20.395,N
TEMPERATURE (C),1992-03-24 00:00:00,15.9375,20.395,N
TEMPERATURE (C),1992-03-24 00:00:00,17.0,20.395,N
TEMPERATURE (C),1992-03-24 00:00:00,18.0625,20.395,N
TEMPERATURE (C),1992-03-24 00:00:00,19.125,20.295,N
TEMPERATURE (C),1992-03-24 00:00:00,20.1875,20.295,N
TEMPERATURE (C),1992-03-24 00:00:00,21.25,20.295,N
TEMPERATURE (C),1992-03-24 00:00:00,22.3125,20.295,N
TEMPERATURE (C),1992-03-24 00:00:00,23.375,20.295,N
TEMPERATURE (C),1992-03-24 00:00:00,24.4375,20.895,N
TEMPERATURE (C),1992-03-24 00:00:00,25.5,20.895,N
TEMPERATURE (C),1992-03-24 00:00:00,26.5625,20.795,N
TEMPERATURE (C),1992-03-24 00:00:00,27.625,20.795,N
TEMPERATURE (C),1992-03-24 00:00:00,28.6875,20.795,N
TEMPERATURE (C),1992-03-24 00:00:00,29.75,20.795,N
TEMPERATURE (C),1992-03-24 00:00:00,30.8125,20.795,N
TEMPERATURE (C),1992-03-24 00:00:00,31.875,20.795,N
TEMPERATURE (C),1992-03-24 00:00:00,32.9375,20.795,N
TEMPERATURE (C),1992-03-24 00:00:00,34.0,20.795,N
TEMPERATURE (C),1992-03-26 00:00:00,0.1,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,0.5,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,1.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,2.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,3.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,4.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,5.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,6.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,7.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,8.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,9.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,10.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,11.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,12.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,13.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,14.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,15.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,16.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,17.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,18.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,19.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,20.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,21.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,22.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,23.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,24.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,25.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,26.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,27.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,28.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,29.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,30.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,31.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,32.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,33.0,21.245,N
TEMPERATURE (C),1992-03-26 00:00:00,34.0,21.245,N
TEMPERATURE (C),1992-03-27 00:00:00,0.1,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,0.5,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,1.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,2.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,3.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,4.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,5.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,6.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,7.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,8.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,9.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,10.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,11.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,12.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,13.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,14.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,15.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,16.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,17.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,18.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,19.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,20.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,21.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,22.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,23.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,24.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,25.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,26.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,27.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,28.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,29.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,30.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,31.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,32.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,33.0,21.125,N
TEMPERATURE (C),1992-03-27 00:00:00,34.0,21.125,N
